Origin Time:2020/01/01 03:10:10
Lon:121.67°E
Lat:24.08°N
Depth:10.8km
Mag:4.9
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  93.37,AZ=140.72,PGA(V)=   0.37,PGA(NS)=   0.93,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.06
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  98.08,AZ= 47.70,PGA(V)=   0.15,PGA(NS)=   1.10,PGA(EW)=   1.63,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.10
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 100.56,AZ= 93.94,PGA(V)=   0.23,PGA(NS)=   0.66,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.12
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 103.88,AZ=167.08,PGA(V)=   0.48,PGA(NS)=   0.89,PGA(EW)=   0.89,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.07
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 104.96,AZ=129.30,PGA(V)=   0.20,PGA(NS)=   1.11,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.08
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 106.01,AZ=141.10,PGA(V)=   0.30,PGA(NS)=   0.82,PGA(EW)=   0.70,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.11
Stacode=NHY ,Staname=信義區,Stalon=121.57,Stalat=25.04,Dist= 106.39,AZ=174.44,PGA(V)=   0.65,PGA(NS)=   0.52,PGA(EW)=   0.86,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.08
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 108.13,AZ= 53.92,PGA(V)=   0.27,PGA(NS)=   0.58,PGA(EW)=   0.82,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 111.80,AZ= 83.00,PGA(V)=   0.94,PGA(NS)=   2.12,PGA(EW)=   1.30,PGV(V)=   0.08,PGV(NS)=   0.17,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.18
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 114.62,AZ= 61.99,PGA(V)=   0.77,PGA(NS)=   1.92,PGA(EW)=   2.00,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.53,PGV(SUM)=   0.19
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 120.21,AZ=148.30,PGA(V)=   0.14,PGA(NS)=   0.65,PGA(EW)=   0.83,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.12
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 120.48,AZ= 68.49,PGA(V)=   0.45,PGA(NS)=   0.96,PGA(EW)=   1.05,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.11
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 133.06,AZ= 81.35,PGA(V)=   0.30,PGA(NS)=   0.87,PGA(EW)=   0.75,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.12
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 136.36,AZ= 63.39,PGA(V)=   0.47,PGA(NS)=   0.80,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 141.97,AZ= 62.74,PGA(V)=   0.29,PGA(NS)=   1.02,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.03,PGV(SUM)=   0.10
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 142.74,AZ= 80.10,PGA(V)=   0.28,PGA(NS)=   0.72,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 154.91,AZ= 71.36,PGA(V)=   0.47,PGA(NS)=   2.03,PGA(EW)=   1.44,PGV(V)=   0.02,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.18
