Origin Time:2021/07/14 06:52:05
Lon:121.60°E
Lat:23.94°N
Depth:8.7km
Mag:5.4
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist=  95.55,AZ=118.49,PGA(V)=   0.74,PGA(NS)=   0.98,PGA(EW)=   0.84,PGV(V)=   0.08,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.11
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  95.56,AZ= 14.02,PGA(V)=   0.98,PGA(NS)=   1.91,PGA(EW)=   2.12,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.22
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  95.89,AZ= 24.77,PGA(V)=   0.58,PGA(NS)=   1.26,PGA(EW)=   1.59,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.11
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  96.00,AZ=104.07,PGA(V)=   0.66,PGA(NS)=   1.41,PGA(EW)=   1.38,PGV(V)=   0.09,PGV(NS)=   0.19,PGV(EW)=   0.28,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.32
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  97.56,AZ=142.05,PGA(V)=   0.88,PGA(NS)=   1.49,PGA(EW)=   1.38,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.13
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  98.62,AZ=143.09,PGA(V)=   0.92,PGA(NS)=   1.76,PGA(EW)=   1.04,PGV(V)=   0.08,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.10
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  99.65,AZ=122.19,PGA(V)=   1.09,PGA(NS)=   0.83,PGA(EW)=   0.49,PGV(V)=   0.09,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.15,PGV(SUM)=   0.13
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 100.78,AZ= 22.67,PGA(V)=   1.12,PGA(NS)=   1.43,PGA(EW)=   1.88,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   2.25,PGV(SUM)=   0.23
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 101.50,AZ= 35.31,PGA(V)=   0.57,PGA(NS)=   0.79,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 102.65,AZ=155.24,PGA(V)=   0.95,PGA(NS)=   2.80,PGA(EW)=   2.32,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.00,PGV(SUM)=   0.21
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 102.77,AZ=149.66,PGA(V)=   1.21,PGA(NS)=   1.88,PGA(EW)=   2.80,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.14,PGV(SUM)=   0.21
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 103.81,AZ= 91.55,PGA(V)=   1.24,PGA(NS)=   1.84,PGA(EW)=   1.80,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.24
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist= 104.47,AZ=192.90,PGA(V)=   0.66,PGA(NS)=   1.20,PGA(EW)=   1.59,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.18
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 105.80,AZ=129.08,PGA(V)=   1.68,PGA(NS)=   2.99,PGA(EW)=   2.59,PGV(V)=   0.13,PGV(NS)=   0.23,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.68,PGV(SUM)=   0.27
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 107.69,AZ=115.12,PGA(V)=   0.85,PGA(NS)=   0.82,PGA(EW)=   0.77,PGV(V)=   0.11,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.15
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 108.18,AZ= 98.05,PGA(V)=   1.61,PGA(NS)=   3.02,PGA(EW)=   2.23,PGV(V)=   0.15,PGV(NS)=   0.27,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   3.29,PGV(SUM)=   0.31
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 108.49,AZ= 75.18,PGA(V)=   0.95,PGA(NS)=   2.63,PGA(EW)=   2.27,PGV(V)=   0.12,PGV(NS)=   0.27,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.27
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 110.46,AZ=147.70,PGA(V)=   0.81,PGA(NS)=   0.83,PGA(EW)=   1.39,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.15
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 110.79,AZ= 15.83,PGA(V)=   0.80,PGA(NS)=   2.20,PGA(EW)=   1.81,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.14
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 110.81,AZ= 77.29,PGA(V)=   0.93,PGA(NS)=   2.55,PGA(EW)=   2.02,PGV(V)=   0.13,PGV(NS)=   0.27,PGV(EW)=   0.28,Int= 2級,PGA(SUM)=   2.78,PGV(SUM)=   0.28
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 111.15,AZ=138.24,PGA(V)=   1.55,PGA(NS)=   1.53,PGA(EW)=   1.74,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.22
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 115.38,AZ=149.03,PGA(V)=   0.98,PGA(NS)=   1.38,PGA(EW)=   1.28,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.50,PGV(SUM)=   0.16
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 115.41,AZ= 61.55,PGA(V)=   0.66,PGA(NS)=   1.85,PGA(EW)=   1.43,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.13
Stacode=BAC ,Staname=新北市,Stalon=121.44,Stalat=25.00,Dist= 118.77,AZ=172.26,PGA(V)=   1.17,PGA(NS)=   1.85,PGA(EW)=   2.51,PGV(V)=   0.10,PGV(NS)=   0.18,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.02,PGV(SUM)=   0.26
