Origin Time:2020/06/27 07:27:44
Lon:120.84¢XE
Lat:23.05¢XN
Depth:5.4km
Mag:5.0
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  81.42,AZ=129.99,PGA(V)=   1.45,PGA(NS)=   1.33,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.07
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  84.22,AZ=146.97,PGA(V)=   0.83,PGA(NS)=   1.36,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.08
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  89.88,AZ=136.25,PGA(V)=   0.72,PGA(NS)=   0.96,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.06
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist=  91.56,AZ= 31.72,PGA(V)=   0.31,PGA(NS)=   0.77,PGA(EW)=   0.88,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.12
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  92.33,AZ=184.48,PGA(V)=   0.39,PGA(NS)=   1.04,PGA(EW)=   0.87,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.14,PGV(SUM)=   0.12
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 104.18,AZ=165.38,PGA(V)=   0.64,PGA(NS)=   1.17,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.10
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 104.47,AZ=143.04,PGA(V)=   0.64,PGA(NS)=   0.67,PGA(EW)=   1.05,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.09
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 105.43,AZ=153.56,PGA(V)=   0.44,PGA(NS)=   0.70,PGA(EW)=   1.08,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 105.91,AZ=148.06,PGA(V)=   0.39,PGA(NS)=   0.61,PGA(EW)=   0.80,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.07
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 110.84,AZ=172.62,PGA(V)=   0.54,PGA(NS)=   0.63,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=SMS ,Staname=º¡¦{  ,Stalon=120.84,Stalat=22.02,Dist= 114.03,AZ=  0.03,PGA(V)=   0.29,PGA(NS)=   1.01,PGA(EW)=   0.48,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.10
Stacode=HEN ,Staname=«í¬K  ,Stalon=120.75,Stalat=22.00,Dist= 116.25,AZ=  4.65,PGA(V)=   0.32,PGA(NS)=   1.00,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.11
Stacode=WCH1,Staname=¹ü¤Æ¥«,Stalon=120.55,Stalat=24.07,Dist= 116.98,AZ=165.30,PGA(V)=   0.78,PGA(NS)=   1.09,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.07
Stacode=SNW ,Staname=«nÆW  ,Stalon=120.75,Stalat=21.96,Dist= 121.08,AZ=  4.29,PGA(V)=   0.59,PGA(NS)=   1.15,PGA(EW)=   1.38,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.48,PGV(SUM)=   0.16
Stacode=SEB ,Staname=ÃZÆq»ó,Stalon=120.86,Stalat=21.90,Dist= 127.27,AZ=359.19,PGA(V)=   0.36,PGA(NS)=   0.76,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.10
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 137.38,AZ=166.50,PGA(V)=   0.76,PGA(NS)=   1.62,PGA(EW)=   0.68,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.69,PGV(SUM)=   0.11
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist= 143.97,AZ=207.16,PGA(V)=   0.40,PGA(NS)=   0.85,PGA(EW)=   0.45,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.04
