Origin Time:2022/09/30 22:37:20
Lon:121.29¢XE
Lat:22.88¢XN
Depth:18.6km
Mag:4.9
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  98.74,AZ=261.92,PGA(V)=   0.74,PGA(NS)=   0.78,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.08
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 101.15,AZ=321.89,PGA(V)=   0.54,PGA(NS)=   1.45,PGA(EW)=   1.82,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.85,PGV(SUM)=   0.11
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 106.35,AZ=285.54,PGA(V)=   0.24,PGA(NS)=   1.43,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.16
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 109.23,AZ=279.29,PGA(V)=   0.78,PGA(NS)=   0.61,PGA(EW)=   1.85,PGV(V)=   0.12,PGV(NS)=   0.06,PGV(EW)=   0.31,Int= 1¯Å,PGA(SUM)=   2.04,PGV(SUM)=   0.34
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 110.28,AZ=310.99,PGA(V)=   1.20,PGA(NS)=   0.85,PGA(EW)=   1.35,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.09
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 111.09,AZ=308.00,PGA(V)=   0.40,PGA(NS)=   1.41,PGA(EW)=   1.86,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.12
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 115.53,AZ=320.57,PGA(V)=   0.50,PGA(NS)=   0.83,PGA(EW)=   0.77,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.09
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 120.18,AZ=320.40,PGA(V)=   0.54,PGA(NS)=   0.81,PGA(EW)=   0.75,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.16
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 120.80,AZ=295.45,PGA(V)=   0.17,PGA(NS)=   0.76,PGA(EW)=   1.13,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.26,PGV(SUM)=   0.15
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 129.82,AZ=303.32,PGA(V)=   0.23,PGA(NS)=   2.05,PGA(EW)=   1.59,PGV(V)=   0.02,PGV(NS)=   0.21,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.24
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 136.95,AZ=307.79,PGA(V)=   0.21,PGA(NS)=   1.54,PGA(EW)=   1.22,PGV(V)=   0.02,PGV(NS)=   0.16,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.19
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 139.93,AZ=328.89,PGA(V)=   0.60,PGA(NS)=   0.95,PGA(EW)=   0.95,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.15
