Origin Time:2020/07/26 20:52:29
Lon:122.42°E
Lat:24.26°N
Depth:53.6km
Mag:6.2
Stacode=ANP ,Staname=陽明山,Stalon=121.53,Stalat=25.18,Dist= 136.76,AZ=138.69,PGA(V)=   0.34,PGA(NS)=   0.88,PGA(EW)=   0.60,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.08
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist= 137.80,AZ=132.86,PGA(V)=   0.91,PGA(NS)=   1.62,PGA(EW)=   1.77,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.15
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 138.62,AZ=107.52,PGA(V)=   2.60,PGA(NS)=   1.28,PGA(EW)=   1.36,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.07
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 138.80,AZ=114.59,PGA(V)=   3.18,PGA(NS)=   4.22,PGA(EW)=   6.02,PGV(V)=   0.18,PGV(NS)=   0.51,PGV(EW)=   0.62,Int= 2級,PGA(SUM)=   6.05,PGV(SUM)=   0.69
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 138.86,AZ= 53.18,PGA(V)=   2.81,PGA(NS)=   5.99,PGA(EW)=   5.30,PGV(V)=   0.20,PGV(NS)=   0.33,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   5.55,PGV(SUM)=   0.38
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist= 140.53,AZ=125.93,PGA(V)=   2.06,PGA(NS)=   2.68,PGA(EW)=   3.24,PGV(V)=   0.10,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   3.03,PGV(SUM)=   0.19
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 140.78,AZ=135.67,PGA(V)=   1.13,PGA(NS)=   2.54,PGA(EW)=   2.50,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.16
Stacode=ECB ,Staname=長濱  ,Stalon=121.45,Stalat=23.32,Dist= 143.49,AZ= 43.56,PGA(V)=   5.28,PGA(NS)=   8.93,PGA(EW)=  11.09,PGV(V)=   0.28,PGV(NS)=   0.41,PGV(EW)=   0.47,Int= 3級,PGA(SUM)=  10.77,PGV(SUM)=   0.48
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 145.25,AZ=111.50,PGA(V)=   2.50,PGA(NS)=   6.72,PGA(EW)=   6.51,PGV(V)=   0.14,PGV(NS)=   0.33,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   6.81,PGV(SUM)=   0.37
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 148.94,AZ=106.94,PGA(V)=   1.64,PGA(NS)=   2.96,PGA(EW)=   2.85,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 2級,PGA(SUM)=   2.53,PGV(SUM)=   0.10
