Origin Time:2022/06/25 10:27:19
Lon:121.40¢XE
Lat:23.64¢XN
Depth:9.4km
Mag:5.0
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  85.19,AZ=273.20,PGA(V)=   0.98,PGA(NS)=   2.86,PGA(EW)=   6.01,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.52,Int= 2¯Å,PGA(SUM)=   6.39,PGV(SUM)=   0.54
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist=  86.11,AZ=199.02,PGA(V)=   0.55,PGA(NS)=   0.87,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.06
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  88.18,AZ=358.50,PGA(V)=   0.60,PGA(NS)=   1.70,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.06
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  88.65,AZ=275.25,PGA(V)=   1.28,PGA(NS)=   4.05,PGA(EW)=   4.68,PGV(V)=   0.06,PGV(NS)=   0.32,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   5.04,PGV(SUM)=   0.39
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  91.09,AZ=292.81,PGA(V)=   0.85,PGA(NS)=   1.24,PGA(EW)=   1.85,PGV(V)=   0.08,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.14,PGV(SUM)=   0.18
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist=  91.22,AZ=241.13,PGA(V)=   0.54,PGA(NS)=   1.62,PGA(EW)=   1.57,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.12
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  95.66,AZ=262.71,PGA(V)=   1.10,PGA(NS)=   2.84,PGA(EW)=   2.76,PGV(V)=   0.09,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.41,PGV(SUM)=   0.29
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist=  96.79,AZ= 23.15,PGA(V)=   0.87,PGA(NS)=   0.98,PGA(EW)=   0.67,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist=  98.87,AZ=299.38,PGA(V)=   1.22,PGA(NS)=   1.90,PGA(EW)=   2.37,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.57,PGV(SUM)=   0.18
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 100.48,AZ=260.79,PGA(V)=   0.76,PGA(NS)=   5.03,PGA(EW)=   5.63,PGV(V)=   0.07,PGV(NS)=   0.36,PGV(EW)=   0.44,Int= 2¯Å,PGA(SUM)=   5.63,PGV(SUM)=   0.45
