Origin Time:2022/03/23 09:55:55
Lon:121.48°E
Lat:23.45°N
Depth:26.8km
Mag:4.7
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  90.49,AZ=255.68,PGA(V)=   0.57,PGA(NS)=   0.84,PGA(EW)=   1.23,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.05
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  92.00,AZ=344.85,PGA(V)=   0.30,PGA(NS)=   0.64,PGA(EW)=   0.88,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.03
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  93.42,AZ=300.72,PGA(V)=   0.54,PGA(NS)=   0.83,PGA(EW)=   0.90,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.03
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  94.71,AZ=340.01,PGA(V)=   0.38,PGA(NS)=   0.81,PGA(EW)=   0.61,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  96.53,AZ=285.89,PGA(V)=   0.61,PGA(NS)=   1.05,PGA(EW)=   1.20,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.04
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 100.58,AZ=287.23,PGA(V)=   1.92,PGA(NS)=   1.44,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.04
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 101.49,AZ=253.46,PGA(V)=   0.49,PGA(NS)=   1.16,PGA(EW)=   0.77,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.07
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 102.17,AZ=258.68,PGA(V)=   0.55,PGA(NS)=   0.70,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.83,PGV(SUM)=   0.05
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 103.13,AZ=275.30,PGA(V)=   0.98,PGA(NS)=   1.38,PGA(EW)=   1.53,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.10
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 107.13,AZ=272.99,PGA(V)=   0.39,PGA(NS)=   1.50,PGA(EW)=   1.11,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 108.00,AZ=301.85,PGA(V)=   0.83,PGA(NS)=   0.82,PGA(EW)=   0.91,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.05
Stacode=WCH2,Staname=彰化市,Stalon=120.54,Stalat=24.06,Dist= 118.03,AZ=305.41,PGA(V)=   1.16,PGA(NS)=   1.36,PGA(EW)=   1.66,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.71,PGV(SUM)=   0.06
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist= 118.49,AZ=238.43,PGA(V)=   0.73,PGA(NS)=   1.39,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.09
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 121.17,AZ=270.58,PGA(V)=   0.57,PGA(NS)=   1.21,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 123.23,AZ=294.24,PGA(V)=   1.07,PGA(NS)=   1.70,PGA(EW)=   1.21,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.05
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 125.01,AZ=247.91,PGA(V)=   0.44,PGA(NS)=   0.90,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 128.16,AZ=273.80,PGA(V)=   0.41,PGA(NS)=   0.85,PGA(EW)=   0.63,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.03
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 128.95,AZ=265.15,PGA(V)=   0.68,PGA(NS)=   2.29,PGA(EW)=   2.29,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.10
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 146.31,AZ=256.91,PGA(V)=   1.01,PGA(NS)=   0.92,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.04
