Origin Time:2024/11/07 01:19:39
Lon:121.55¢XE
Lat:23.56¢XN
Depth:32.5km
Mag:5.5
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  89.31,BAZ= 92.34,PGA(V)=   2.64,PGA(NS)=   4.26,PGA(EW)=   7.47,PGV(V)=   0.12,PGV(NS)=   0.24,PGV(EW)=   0.33,Int= 2¯Å,PGA(SUM)=   7.45,PGV(SUM)=   0.34
Stacode=STYH,Staname=®ç·½  ,Stalon=120.78,Stalat=23.18,Dist=  89.53,BAZ= 61.56,PGA(V)=   2.63,PGA(NS)=   4.61,PGA(EW)=   3.28,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   5.10,PGV(SUM)=   0.19
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  94.13,BAZ=111.56,PGA(V)=   2.89,PGA(NS)=   5.98,PGA(EW)=   4.12,PGV(V)=   0.12,PGV(NS)=   0.18,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.69,PGV(SUM)=   0.18
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  95.75,BAZ= 30.24,PGA(V)=   0.97,PGA(NS)=   1.90,PGA(EW)=   1.93,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.08,PGV(SUM)=   0.14
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  96.57,BAZ=113.15,PGA(V)=   3.52,PGA(NS)=   2.72,PGA(EW)=   4.21,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   4.07,PGV(SUM)=   0.17
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist=  97.52,BAZ=191.91,PGA(V)=   1.99,PGA(NS)=   7.01,PGA(EW)=   7.26,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   4.21,PGV(SUM)=   0.16
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist=  97.66,BAZ= 81.80,PGA(V)=   4.66,PGA(NS)=   8.90,PGA(EW)=   8.89,PGV(V)=   0.21,PGV(NS)=   0.43,PGV(EW)=   0.42,Int= 3¯Å,PGA(SUM)=  10.15,PGV(SUM)=   0.45
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=  98.23,BAZ=169.87,PGA(V)=   1.62,PGA(NS)=   3.57,PGA(EW)=   3.31,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.60,PGV(SUM)=   0.16
Stacode=TTN ,Staname=»OªF¥«,Stalon=121.15,Stalat=22.75,Dist=  98.67,BAZ= 24.28,PGA(V)=   1.13,PGA(NS)=   1.92,PGA(EW)=   1.49,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.17
Stacode=LDU ,Staname=ºñ®q  ,Stalon=121.47,Stalat=22.67,Dist=  99.03,BAZ=  4.86,PGA(V)=   1.76,PGA(NS)=   2.75,PGA(EW)=   2.29,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   3.24,PGV(SUM)=   0.14
