Origin Time:2025/01/21 00:29:23
Lon:120.55¢XE
Lat:23.15¢XN
Depth:12.8km
Mag:4.7
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  61.39,BAZ=164.47,PGA(V)=   2.20,PGA(NS)=   4.27,PGA(EW)=   3.40,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   4.24,PGV(SUM)=   0.13
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  62.18,BAZ=178.96,PGA(V)=   1.29,PGA(NS)=   1.84,PGA(EW)=   1.93,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.09
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  62.66,BAZ=148.57,PGA(V)=   3.15,PGA(NS)=   5.88,PGA(EW)=   5.26,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   6.31,PGV(SUM)=   0.15
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist=  63.90,BAZ= 27.51,PGA(V)=   0.60,PGA(NS)=   0.88,PGA(EW)=   1.22,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.07
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  65.90,BAZ=304.39,PGA(V)=   0.75,PGA(NS)=   1.15,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.10
Stacode=EHD ,Staname=®üºÝ  ,Stalon=121.21,Stalat=23.15,Dist=  67.23,BAZ=270.44,PGA(V)=   1.31,PGA(NS)=   1.59,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.07
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  67.63,BAZ=207.31,PGA(V)=   0.81,PGA(NS)=   1.13,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.04
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  68.89,BAZ=275.38,PGA(V)=   0.64,PGA(NS)=   0.84,PGA(EW)=   0.77,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.05
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  74.22,BAZ=358.53,PGA(V)=   0.51,PGA(NS)=   0.90,PGA(EW)=   1.29,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.08
Stacode=ECL ,Staname=¤Ó³Â¨½,Stalon=120.96,Stalat=22.60,Dist=  74.86,BAZ=325.60,PGA(V)=   0.51,PGA(NS)=   0.71,PGA(EW)=   0.70,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.04
