Origin Time:2022/07/28 08:16:16
Lon:121.36°E
Lat:22.98°N
Depth:42.3km
Mag:5.4
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  91.85,AZ= 13.05,PGA(V)=   0.98,PGA(NS)=   1.82,PGA(EW)=   1.93,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.95,PGV(SUM)=   0.12
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  92.50,AZ=303.33,PGA(V)=   2.12,PGA(NS)=   6.46,PGA(EW)=   4.33,PGV(V)=   0.10,PGV(NS)=   0.33,PGV(EW)=   0.29,Int= 2級,PGA(SUM)=   6.92,PGV(SUM)=   0.33
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  92.58,AZ=  5.17,PGA(V)=   1.39,PGA(NS)=   3.54,PGA(EW)=   3.83,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.27,PGV(SUM)=   0.08
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  92.82,AZ=252.23,PGA(V)=   1.39,PGA(NS)=   3.12,PGA(EW)=   2.53,PGV(V)=   0.07,PGV(NS)=   0.43,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.25,PGV(SUM)=   0.43
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist=  93.56,AZ=289.74,PGA(V)=   1.61,PGA(NS)=   1.77,PGA(EW)=   2.63,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   2.81,PGV(SUM)=   0.18
Stacode=WHY ,Staname=信義鄉,Stalon=120.85,Stalat=23.70,Dist=  94.77,AZ=326.87,PGA(V)=   2.29,PGA(NS)=   3.52,PGA(EW)=   3.25,PGV(V)=   0.11,PGV(NS)=   0.30,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.92,PGV(SUM)=   0.31
Stacode=SPT ,Staname=屏東市,Stalon=120.49,Stalat=22.68,Dist=  95.52,AZ=249.55,PGA(V)=   1.82,PGA(NS)=   5.40,PGA(EW)=   4.19,PGV(V)=   0.08,PGV(NS)=   0.42,PGV(EW)=   0.34,Int= 2級,PGA(SUM)=   6.00,PGV(SUM)=   0.43
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  97.73,AZ=314.43,PGA(V)=   2.38,PGA(NS)=   6.23,PGA(EW)=   4.76,PGV(V)=   0.12,PGV(NS)=   0.56,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   6.51,PGV(SUM)=   0.57
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist=  98.13,AZ=235.96,PGA(V)=   1.58,PGA(NS)=   3.46,PGA(EW)=   2.73,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   3.78,PGV(SUM)=   0.26
Stacode=SCZ ,Staname=春日  ,Stalon=120.63,Stalat=22.37,Dist= 101.00,AZ=228.10,PGA(V)=   0.68,PGA(NS)=   1.64,PGA(EW)=   1.21,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.08
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist= 102.32,AZ=214.30,PGA(V)=   1.34,PGA(NS)=   1.76,PGA(EW)=   2.36,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.09
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 103.83,AZ=272.56,PGA(V)=   1.67,PGA(NS)=   2.49,PGA(EW)=   2.63,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.20
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 105.30,AZ= 13.59,PGA(V)=   1.18,PGA(NS)=   2.40,PGA(EW)=   2.74,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.67,PGV(SUM)=   0.15
Stacode=LAY ,Staname=蘭嶼  ,Stalon=121.56,Stalat=22.04,Dist= 106.31,AZ=168.94,PGA(V)=   1.44,PGA(NS)=   4.75,PGA(EW)=   3.92,PGV(V)=   0.04,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.48,PGV(SUM)=   0.16
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 108.08,AZ=256.60,PGA(V)=   4.22,PGA(NS)=   4.83,PGA(EW)=   2.69,PGV(V)=   0.09,PGV(NS)=   0.23,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   5.10,PGV(SUM)=   0.25
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 109.60,AZ=350.13,PGA(V)=   2.50,PGA(NS)=   2.28,PGA(EW)=   3.13,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 2級,PGA(SUM)=   3.16,PGV(SUM)=   0.10
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 110.01,AZ=335.20,PGA(V)=   0.78,PGA(NS)=   2.29,PGA(EW)=   2.20,PGV(V)=   0.05,PGV(NS)=   0.22,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.71,PGV(SUM)=   0.24
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist= 110.04,AZ=  7.09,PGA(V)=   1.69,PGA(NS)=   2.28,PGA(EW)=   1.72,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.08
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 110.81,AZ=301.10,PGA(V)=   0.97,PGA(NS)=   1.82,PGA(EW)=   2.29,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.17
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 111.18,AZ=278.97,PGA(V)=   0.56,PGA(NS)=   1.22,PGA(EW)=   1.13,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.08
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 113.26,AZ= 13.22,PGA(V)=   0.76,PGA(NS)=   2.30,PGA(EW)=   1.66,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.12
