Origin Time:2024/02/02 18:10:27
Lon:120.28°E
Lat:23.46°N
Depth:16.0km
Mag:4.7
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  92.34,BAZ=223.92,PGA(V)=   0.44,PGA(NS)=   0.99,PGA(EW)=   0.90,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.86,PGV(SUM)=   0.04
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist= 100.32,BAZ=289.82,PGA(V)=   0.45,PGA(NS)=   1.66,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.10
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 103.74,BAZ=292.65,PGA(V)=   0.70,PGA(NS)=   0.69,PGA(EW)=   1.16,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.05
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 105.24,BAZ=200.20,PGA(V)=   0.50,PGA(NS)=   1.09,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.03
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 105.91,BAZ=305.09,PGA(V)=   0.36,PGA(NS)=   0.69,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 106.44,BAZ=238.76,PGA(V)=   0.82,PGA(NS)=   1.54,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.70,PGV(SUM)=   0.05
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 107.03,BAZ=267.17,PGA(V)=   0.41,PGA(NS)=   0.90,PGA(EW)=   0.47,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.05
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 107.19,BAZ=285.41,PGA(V)=   0.32,PGA(NS)=   1.09,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.06
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 110.88,BAZ=207.19,PGA(V)=   1.02,PGA(NS)=   1.05,PGA(EW)=   1.34,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.04
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 113.29,BAZ=216.55,PGA(V)=   0.55,PGA(NS)=   0.79,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.03
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 125.42,BAZ=225.51,PGA(V)=   0.53,PGA(NS)=   2.00,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.09
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 126.31,BAZ=232.94,PGA(V)=   0.38,PGA(NS)=   1.15,PGA(EW)=   1.40,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.05
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 131.36,BAZ=228.13,PGA(V)=   0.22,PGA(NS)=   0.54,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.03
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 147.30,BAZ=247.03,PGA(V)=   0.24,PGA(NS)=   0.64,PGA(EW)=   1.00,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.06
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 147.71,BAZ=235.74,PGA(V)=   1.01,PGA(NS)=   1.82,PGA(EW)=   1.09,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.08
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 148.49,BAZ=203.70,PGA(V)=   0.66,PGA(NS)=   1.61,PGA(EW)=   1.43,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.40,PGV(SUM)=   0.04
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 163.65,BAZ=210.00,PGA(V)=   0.36,PGA(NS)=   1.31,PGA(EW)=   0.94,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.04
