Origin Time:2020/02/25 19:14:02
Lon:121.41¢XE
Lat:24.39¢XN
Depth:5.1km
Mag:5.3
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist=   5.67,AZ=153.71,PGA(V)=  97.67,PGA(NS)= 423.33,PGA(EW)= 364.26,PGV(V)=   2.20,PGV(NS)=  16.26,PGV(EW)=  16.63,Int= 5®z,PGA(SUM)= 411.98,PGV(SUM)=  18.75
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  75.85,AZ= 41.84,PGA(V)=   1.32,PGA(NS)=   1.88,PGA(EW)=   2.83,PGV(V)=   0.11,PGV(NS)=   0.22,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.32
Stacode=TIPB,Staname=Âù·Ë  ,Stalon=121.83,Stalat=24.97,Dist=  77.04,AZ=213.44,PGA(V)=   1.15,PGA(NS)=   0.71,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.05
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  77.08,AZ=349.25,PGA(V)=   0.55,PGA(NS)=   1.27,PGA(EW)=   1.18,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.23,PGV(SUM)=   0.07
Stacode=WDJ ,Staname=¤j¥Ò  ,Stalon=120.64,Stalat=24.35,Dist=  77.85,AZ= 86.44,PGA(V)=   1.11,PGA(NS)=   2.70,PGA(EW)=   1.86,PGV(V)=   0.14,PGV(NS)=   0.32,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   2.71,PGV(SUM)=   0.34
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist=  78.20,AZ= 69.63,PGA(V)=   0.67,PGA(NS)=   1.62,PGA(EW)=   1.35,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.18
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  81.62,AZ= 61.75,PGA(V)=   0.92,PGA(NS)=   1.68,PGA(EW)=   1.75,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 1¯Å,PGA(SUM)=   1.86,PGV(SUM)=   0.24
Stacode=ANP ,Staname=¶§©ú¤s,Stalon=121.53,Stalat=25.18,Dist=  88.51,AZ=188.08,PGA(V)=   0.77,PGA(NS)=   0.55,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist=  90.85,AZ= 80.51,PGA(V)=   2.33,PGA(NS)=   2.68,PGA(EW)=   3.46,PGV(V)=   0.24,PGV(NS)=   0.40,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   3.49,PGV(SUM)=   0.46
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  91.27,AZ= 53.97,PGA(V)=   0.99,PGA(NS)=   1.08,PGA(EW)=   0.90,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.11
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  92.26,AZ= 51.83,PGA(V)=   0.68,PGA(NS)=   1.06,PGA(EW)=   1.10,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.11
Stacode=NWR ,Staname=¸U¨½  ,Stalon=121.66,Stalat=25.20,Dist=  93.46,AZ=195.94,PGA(V)=   0.30,PGA(NS)=   0.93,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.04
Stacode=WCH1,Staname=¹ü¤Æ¥«,Stalon=120.55,Stalat=24.07,Dist=  94.19,AZ= 67.92,PGA(V)=   1.41,PGA(NS)=   2.72,PGA(EW)=   2.35,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.31
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist=  96.56,AZ= 60.36,PGA(V)=   1.32,PGA(NS)=   3.21,PGA(EW)=   2.19,PGV(V)=   0.12,PGV(NS)=   0.29,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   3.21,PGV(SUM)=   0.32
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  98.62,AZ=  4.51,PGA(V)=   0.75,PGA(NS)=   1.15,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.05
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 110.00,AZ= 24.44,PGA(V)=   0.38,PGA(NS)=   0.93,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.11
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 114.93,AZ= 31.66,PGA(V)=   0.36,PGA(NS)=   0.93,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.12
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 115.03,AZ= 40.12,PGA(V)=   0.78,PGA(NS)=   1.50,PGA(EW)=   1.72,PGV(V)=   0.07,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.18
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 115.59,AZ= 47.35,PGA(V)=   0.63,PGA(NS)=   1.45,PGA(EW)=   1.67,PGV(V)=   0.08,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.12,PGV(SUM)=   0.17
Stacode=EYUL,Staname=¥É¨½  ,Stalon=121.32,Stalat=23.35,Dist= 116.00,AZ=  4.38,PGA(V)=   0.34,PGA(NS)=   0.54,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 127.80,AZ= 62.67,PGA(V)=   0.74,PGA(NS)=   1.06,PGA(EW)=   1.20,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.12
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 129.57,AZ= 53.01,PGA(V)=   0.56,PGA(NS)=   1.41,PGA(EW)=   1.39,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.50,PGV(SUM)=   0.14
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist= 132.61,AZ=  4.95,PGA(V)=   0.27,PGA(NS)=   0.78,PGA(EW)=   0.89,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 134.37,AZ= 44.89,PGA(V)=   0.83,PGA(NS)=   1.53,PGA(EW)=   1.66,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.17
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 136.76,AZ= 61.59,PGA(V)=   0.73,PGA(NS)=   0.79,PGA(EW)=   0.88,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.13
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 138.93,AZ= 16.24,PGA(V)=   0.43,PGA(NS)=   0.61,PGA(EW)=   0.65,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 140.18,AZ= 44.99,PGA(V)=   0.35,PGA(NS)=   1.10,PGA(EW)=   1.41,PGV(V)=   0.06,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.13
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 146.00,AZ= 55.05,PGA(V)=   0.53,PGA(NS)=   1.27,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.15
Stacode=ICHU,Staname=¸q¦Ë  ,Stalon=120.28,Stalat=23.36,Dist= 161.88,AZ= 45.15,PGA(V)=   0.54,PGA(NS)=   0.94,PGA(EW)=   1.22,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.14
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 182.38,AZ= 42.30,PGA(V)=   0.32,PGA(NS)=   1.05,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.12
