Origin Time:2023/06/10 17:12:33
Lon:120.64°E
Lat:22.87°N
Depth:16.0km
Mag:5.0
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist=  64.00,BAZ=336.96,PGA(V)=   0.93,PGA(NS)=   3.38,PGA(EW)=   2.17,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   3.32,PGV(SUM)=   0.14
Stacode=WLC ,Staname=小琉球,Stalon=120.37,Stalat=22.35,Dist=  64.65,BAZ= 25.95,PGA(V)=   0.42,PGA(NS)=   0.88,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.08
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist=  64.78,BAZ=118.04,PGA(V)=   3.95,PGA(NS)=  11.34,PGA(EW)=  10.54,PGV(V)=   0.09,PGV(NS)=   0.36,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=  11.46,PGV(SUM)=   0.37
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  65.25,BAZ=241.94,PGA(V)=   2.39,PGA(NS)=   2.26,PGA(EW)=   2.16,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.12
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist=  68.11,BAZ=140.65,PGA(V)=   1.29,PGA(NS)=   3.91,PGA(EW)=   3.24,PGV(V)=   0.03,PGV(NS)=   0.16,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   3.73,PGV(SUM)=   0.18
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  68.57,BAZ=260.63,PGA(V)=   1.22,PGA(NS)=   2.34,PGA(EW)=   1.93,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.18
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  72.49,BAZ=162.60,PGA(V)=   2.23,PGA(NS)=   3.71,PGA(EW)=   2.84,PGV(V)=   0.05,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.81,PGV(SUM)=   0.21
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  72.61,BAZ=193.79,PGA(V)=   0.99,PGA(NS)=   2.35,PGA(EW)=   1.50,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.13
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  74.09,BAZ=151.04,PGA(V)=   2.12,PGA(NS)=   4.57,PGA(EW)=   5.68,PGV(V)=   0.07,PGV(NS)=   0.23,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   6.24,PGV(SUM)=   0.27
Stacode=SLIU,Staname=獅子  ,Stalon=120.80,Stalat=22.22,Dist=  74.30,BAZ=347.65,PGA(V)=   0.71,PGA(NS)=   1.19,PGA(EW)=   0.99,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  75.16,BAZ=166.62,PGA(V)=   1.99,PGA(NS)=   5.48,PGA(EW)=   2.69,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   4.94,PGV(SUM)=   0.16
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  75.42,BAZ=205.32,PGA(V)=   0.69,PGA(NS)=   1.34,PGA(EW)=   2.24,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.11
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  75.79,BAZ=241.44,PGA(V)=   0.99,PGA(NS)=   2.30,PGA(EW)=   2.65,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.50,PGV(SUM)=   0.18
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  78.80,BAZ=251.47,PGA(V)=   0.54,PGA(NS)=   1.41,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.63,PGV(SUM)=   0.11
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  80.42,BAZ=182.38,PGA(V)=   1.31,PGA(NS)=   4.26,PGA(EW)=   3.61,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   4.62,PGV(SUM)=   0.22
