Origin Time:2022/03/23 01:06:55
Lon:121.36¢XE
Lat:22.03¢XN
Depth:26.0km
Mag:5.5
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 165.35,AZ=318.08,PGA(V)=   0.48,PGA(NS)=   1.17,PGA(EW)=   1.03,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.14
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 167.15,AZ=345.65,PGA(V)=   0.49,PGA(NS)=   1.68,PGA(EW)=   3.09,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   3.14,PGV(SUM)=   0.23
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 173.66,AZ=341.06,PGA(V)=   0.69,PGA(NS)=   2.16,PGA(EW)=   2.42,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.72,PGV(SUM)=   0.21
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 174.40,AZ=316.82,PGA(V)=   0.37,PGA(NS)=   1.63,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.72,PGV(SUM)=   0.14
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 174.81,AZ=333.56,PGA(V)=   0.69,PGA(NS)=   1.95,PGA(EW)=   1.77,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.14
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 180.66,AZ=313.44,PGA(V)=   0.42,PGA(NS)=   0.95,PGA(EW)=   0.96,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.08
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 187.77,AZ=338.01,PGA(V)=   0.71,PGA(NS)=   1.62,PGA(EW)=   2.31,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.53,PGV(SUM)=   0.17
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 188.85,AZ=329.62,PGA(V)=   0.40,PGA(NS)=   2.33,PGA(EW)=   1.77,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.38,PGV(SUM)=   0.20
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 190.16,AZ=331.35,PGA(V)=   1.21,PGA(NS)=   1.44,PGA(EW)=   1.08,PGV(V)=   0.08,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.13
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist= 192.29,AZ=344.23,PGA(V)=   0.33,PGA(NS)=   0.89,PGA(EW)=   0.53,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.07
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 192.85,AZ=325.31,PGA(V)=   0.49,PGA(NS)=   0.92,PGA(EW)=   0.84,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.07
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 200.94,AZ=336.14,PGA(V)=   0.43,PGA(NS)=   1.30,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.70,PGV(SUM)=   0.16
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 202.67,AZ=324.91,PGA(V)=   0.38,PGA(NS)=   0.93,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.09
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 205.33,AZ=335.69,PGA(V)=   0.45,PGA(NS)=   1.73,PGA(EW)=   1.84,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.82,PGV(SUM)=   0.19
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 209.49,AZ=  6.73,PGA(V)=   0.28,PGA(NS)=   0.56,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.06
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 209.50,AZ=331.51,PGA(V)=   0.32,PGA(NS)=   1.58,PGA(EW)=   1.19,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.67,PGV(SUM)=   0.13
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 210.78,AZ=347.23,PGA(V)=   0.29,PGA(NS)=   0.85,PGA(EW)=   1.29,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.11
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 212.97,AZ=326.92,PGA(V)=   0.48,PGA(NS)=   1.31,PGA(EW)=   1.17,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.28,PGV(SUM)=   0.10
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 234.78,AZ=357.75,PGA(V)=   0.29,PGA(NS)=   0.60,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.98,PGV(SUM)=   0.07
