Origin Time:2020/09/23 12:00:02
Lon:121.50¢XE
Lat:23.32¢XN
Depth:32.8km
Mag:4.9
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 105.76,AZ=127.75,PGA(V)=   0.95,PGA(NS)=   0.51,PGA(EW)=   0.60,PGV(V)=   0.03,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.03
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 107.27,AZ=102.50,PGA(V)=   0.80,PGA(NS)=   1.02,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.07
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 110.72,AZ=100.03,PGA(V)=   0.28,PGA(NS)=   0.89,PGA(EW)=   0.76,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.07
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 113.78,AZ= 64.85,PGA(V)=   0.81,PGA(NS)=   0.94,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.08
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 117.43,AZ=127.01,PGA(V)=   0.84,PGA(NS)=   0.72,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.86,PGV(SUM)=   0.05
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 122.50,AZ= 74.22,PGA(V)=   0.42,PGA(NS)=   0.81,PGA(EW)=   0.85,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.06
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 125.66,AZ= 80.56,PGA(V)=   0.37,PGA(NS)=   1.21,PGA(EW)=   0.96,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 130.57,AZ= 91.23,PGA(V)=   0.42,PGA(NS)=   1.64,PGA(EW)=   2.17,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.13,PGV(SUM)=   0.11
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 134.91,AZ= 62.16,PGA(V)=   0.67,PGA(NS)=   1.19,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.06
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 142.41,AZ=357.57,PGA(V)=   0.64,PGA(NS)=   1.81,PGA(EW)=   1.72,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.05
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 143.52,AZ=136.13,PGA(V)=   1.33,PGA(NS)=   0.81,PGA(EW)=   1.44,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.08
