Origin Time:2019/04/03 09:52:55
Lon:120.85°E
Lat:22.95°N
Depth:4.1km
Mag:5.9
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  97.21,AZ=172.39,PGA(V)=   2.54,PGA(NS)=   5.08,PGA(EW)=   4.74
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  99.10,AZ=139.90,PGA(V)=   2.33,PGA(NS)=  11.35,PGA(EW)=   6.08
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 103.09,AZ=183.10,PGA(V)=   1.53,PGA(NS)=  11.74,PGA(EW)=   5.40
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 103.74,AZ=170.86,PGA(V)=   1.21,PGA(NS)=   4.36,PGA(EW)=   3.87
Stacode=HEN ,Staname=恆春  ,Stalon=120.75,Stalat=22.00,Dist= 105.56,AZ=  6.03,PGA(V)=   1.30,PGA(NS)=   4.40,PGA(EW)=   3.55
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist= 105.59,AZ=180.88,PGA(V)=   2.83,PGA(NS)=   4.18,PGA(EW)=   4.00
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 107.24,AZ=170.46,PGA(V)=   2.03,PGA(NS)=   2.81,PGA(EW)=   2.36
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 109.73,AZ=220.27,PGA(V)=   0.63,PGA(NS)=   1.49,PGA(EW)=   1.15
Stacode=SNW ,Staname=南灣  ,Stalon=120.75,Stalat=21.96,Dist= 110.37,AZ=  5.58,PGA(V)=   3.71,PGA(NS)=   3.81,PGA(EW)=   5.04
Stacode=TWK1,Staname=墾丁  ,Stalon=120.81,Stalat=21.94,Dist= 112.10,AZ=  2.11,PGA(V)=   0.84,PGA(NS)=   1.30,PGA(EW)=   1.75
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist= 112.63,AZ=212.23,PGA(V)=   1.14,PGA(NS)=   2.02,PGA(EW)=   1.83
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 115.81,AZ=196.51,PGA(V)=   1.44,PGA(NS)=   1.61,PGA(EW)=   1.86
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 115.97,AZ=155.22,PGA(V)=   2.55,PGA(NS)=   4.04,PGA(EW)=   6.92
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 116.12,AZ=150.20,PGA(V)=   1.97,PGA(NS)=   3.85,PGA(EW)=   6.59
Stacode=SEB ,Staname=鵝鑾鼻,Stalon=120.86,Stalat=21.90,Dist= 116.37,AZ=359.93,PGA(V)=   1.84,PGA(NS)=   2.95,PGA(EW)=   5.30
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist= 117.54,AZ=218.06,PGA(V)=   0.95,PGA(NS)=   2.07,PGA(EW)=   1.88
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist= 118.03,AZ=184.73,PGA(V)=   0.93,PGA(NS)=   1.31,PGA(EW)=   1.54
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 121.85,AZ=172.51,PGA(V)=   1.12,PGA(NS)=   3.28,PGA(EW)=   3.04
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 122.49,AZ=182.76,PGA(V)=   0.76,PGA(NS)=   2.10,PGA(EW)=   1.66
Stacode=WDG ,Staname=東吉島,Stalon=119.67,Stalat=23.26,Dist= 126.14,AZ=105.56,PGA(V)=   1.20,PGA(NS)=   2.17,PGA(EW)=   2.80
Stacode=WCH1,Staname=彰化市,Stalon=120.55,Stalat=24.07,Dist= 127.94,AZ=165.81,PGA(V)=   5.08,PGA(NS)=  13.98,PGA(EW)=  15.91
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist= 130.22,AZ=215.95,PGA(V)=   1.33,PGA(NS)=   3.00,PGA(EW)=   2.08
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 133.35,AZ=172.53,PGA(V)=   1.06,PGA(NS)=   2.60,PGA(EW)=   1.90
Stacode=HWA ,Staname=花蓮市,Stalon=121.61,Stalat=23.98,Dist= 137.35,AZ=214.40,PGA(V)=   1.38,PGA(NS)=   2.63,PGA(EW)=   3.23
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 138.71,AZ=197.94,PGA(V)=   2.65,PGA(NS)=   4.19,PGA(EW)=   4.04
