Origin Time:2023/02/07 04:20:17
Lon:121.76°E
Lat:24.27°N
Depth:22.1km
Mag:5.1
Stacode=TIPB,Staname=雙溪  ,Stalon=121.83,Stalat=24.97,Dist=  77.73,BAZ=184.89,PGA(V)=   0.32,PGA(NS)=   0.73,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.07
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  79.72,BAZ=162.64,PGA(V)=   0.80,PGA(NS)=   1.02,PGA(EW)=   1.13,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.07
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  81.44,BAZ=133.32,PGA(V)=   0.73,PGA(NS)=   1.72,PGA(EW)=   1.47,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.11
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  82.66,BAZ= 90.39,PGA(V)=   1.68,PGA(NS)=   2.25,PGA(EW)=   2.06,PGV(V)=   0.14,PGV(NS)=   0.16,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.27
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  85.25,BAZ=126.99,PGA(V)=   0.67,PGA(NS)=   1.82,PGA(EW)=   2.00,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.20
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  85.81,BAZ=117.43,PGA(V)=   0.81,PGA(NS)=   1.39,PGA(EW)=   1.01,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.13
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  86.03,BAZ=118.79,PGA(V)=   0.70,PGA(NS)=   1.45,PGA(EW)=   1.19,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.09
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist=  86.52,BAZ= 70.54,PGA(V)=   0.73,PGA(NS)=   1.12,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist=  88.31,BAZ=163.62,PGA(V)=   0.72,PGA(NS)=   0.89,PGA(EW)=   0.61,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.09
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist=  88.51,BAZ=181.40,PGA(V)=   0.60,PGA(NS)=   1.88,PGA(EW)=   1.49,PGV(V)=   0.03,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.21
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist=  89.46,BAZ= 74.48,PGA(V)=   0.37,PGA(NS)=   0.90,PGA(EW)=   0.59,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.06
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  93.15,BAZ=149.83,PGA(V)=   0.84,PGA(NS)=   1.03,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.11
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist=  93.75,BAZ=126.71,PGA(V)=   0.77,PGA(NS)=   0.76,PGA(EW)=   0.77,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.12
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  95.76,BAZ= 27.22,PGA(V)=   0.44,PGA(NS)=   0.92,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.05
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist=  96.35,BAZ=142.97,PGA(V)=   0.77,PGA(NS)=   1.04,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.13
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  96.85,BAZ= 63.41,PGA(V)=   0.45,PGA(NS)=   1.45,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.14
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist=  97.45,BAZ=129.17,PGA(V)=   0.57,PGA(NS)=   1.69,PGA(EW)=   1.28,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.14
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  99.71,BAZ= 94.70,PGA(V)=   1.24,PGA(NS)=   1.07,PGA(EW)=   0.82,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.10
