Origin Time:2024/04/03 23:39:10
Lon:121.68°E
Lat:24.16°N
Depth:19.4km
Mag:5.1
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 105.64,BAZ= 74.32,PGA(V)=   0.88,PGA(NS)=   1.26,PGA(EW)=   0.83,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.10
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist= 107.51,BAZ=100.86,PGA(V)=   0.44,PGA(NS)=   0.57,PGA(EW)=   0.97,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.18,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.18
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 113.13,BAZ=145.51,PGA(V)=   0.19,PGA(NS)=   0.74,PGA(EW)=   0.94,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.11
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist= 113.16,BAZ=168.08,PGA(V)=   0.39,PGA(NS)=   0.80,PGA(EW)=   0.64,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.09
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist= 114.01,BAZ= 20.21,PGA(V)=   0.42,PGA(NS)=   0.87,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.08
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.15,BAZ= 78.57,PGA(V)=   1.06,PGA(NS)=   1.43,PGA(EW)=   1.26,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.13
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 114.43,BAZ= 85.26,PGA(V)=   0.96,PGA(NS)=   1.94,PGA(EW)=   1.91,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.14
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 117.94,BAZ= 94.94,PGA(V)=   0.67,PGA(NS)=   0.90,PGA(EW)=   1.30,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.10
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 119.96,BAZ= 58.39,PGA(V)=   0.59,PGA(NS)=   1.39,PGA(EW)=   1.87,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.94,PGV(SUM)=   0.16
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 122.26,BAZ= 14.85,PGA(V)=   0.70,PGA(NS)=   1.09,PGA(EW)=   1.20,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.10
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 124.89,BAZ= 64.78,PGA(V)=   0.52,PGA(NS)=   1.41,PGA(EW)=   1.26,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.09
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 126.44,BAZ= 66.79,PGA(V)=   0.69,PGA(NS)=   1.17,PGA(EW)=   1.77,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.81,PGV(SUM)=   0.14
