Origin Time:2021/05/26 00:48:00
Lon:121.49°E
Lat:23.94°N
Depth:20.2km
Mag:5.0
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  92.10,AZ= 18.27,PGA(V)=   1.06,PGA(NS)=   1.65,PGA(EW)=   1.26,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.08
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  92.52,AZ= 91.50,PGA(V)=   0.74,PGA(NS)=   1.42,PGA(EW)=   1.03,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.39,PGV(SUM)=   0.15
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  93.85,AZ=  7.24,PGA(V)=   0.66,PGA(NS)=   1.55,PGA(EW)=   1.60,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.72,PGV(SUM)=   0.08
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  95.74,AZ= 29.64,PGA(V)=   1.18,PGA(NS)=   1.65,PGA(EW)=   1.25,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.89,PGV(SUM)=   0.07
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  97.22,AZ=155.28,PGA(V)=   0.42,PGA(NS)=   0.84,PGA(EW)=   0.85,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  97.36,AZ= 16.43,PGA(V)=   0.74,PGA(NS)=   0.80,PGA(EW)=   1.05,PGV(V)=   0.04,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.06
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  97.73,AZ= 73.26,PGA(V)=   0.58,PGA(NS)=   1.26,PGA(EW)=   0.98,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.13
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  98.10,AZ=161.12,PGA(V)=   0.47,PGA(NS)=   0.82,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.08
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 105.81,AZ= 58.44,PGA(V)=   0.58,PGA(NS)=   1.20,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.08
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 108.64,AZ= 10.01,PGA(V)=   0.58,PGA(NS)=   1.28,PGA(EW)=   1.24,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.07
Stacode=HSN ,Staname=竹北市,Stalon=121.01,Stalat=24.83,Dist= 109.67,AZ=153.97,PGA(V)=   0.37,PGA(NS)=   0.75,PGA(EW)=   0.65,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 112.80,AZ= 66.47,PGA(V)=   0.69,PGA(NS)=   1.19,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.07
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 115.49,AZ= 76.08,PGA(V)=   0.52,PGA(NS)=   1.38,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.10
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 118.31,AZ= 65.55,PGA(V)=   0.33,PGA(NS)=   1.01,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.07
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 122.44,AZ= 86.02,PGA(V)=   0.44,PGA(NS)=   0.83,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.07
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 129.77,AZ= 83.41,PGA(V)=   0.66,PGA(NS)=   0.90,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.07
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 132.59,AZ= 75.38,PGA(V)=   0.88,PGA(NS)=   1.46,PGA(EW)=   1.52,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.06
