Origin Time:2024/04/22 21:13:40
Lon:121.53°E
Lat:23.70°N
Depth:5.9km
Mag:5.4
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=   2.11,BAZ=237.31,PGA(V)= 253.27,PGA(NS)= 597.89,PGA(EW)= 537.21,PGV(V)=  13.86,PGV(NS)=  21.91,PGV(EW)=  87.13,Int= 6強,PGA(SUM)= 463.50,PGV(SUM)=  88.02
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 114.21,BAZ= 78.75,PGA(V)=   0.59,PGA(NS)=   3.00,PGA(EW)=   1.92,PGV(V)=   0.08,PGV(NS)=   0.31,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.04,PGV(SUM)=   0.32
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 116.04,BAZ=152.83,PGA(V)=   0.37,PGA(NS)=   0.85,PGA(EW)=   0.79,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.10
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 116.42,BAZ= 89.46,PGA(V)=   0.81,PGA(NS)=   1.54,PGA(EW)=   1.78,PGV(V)=   0.14,PGV(NS)=   0.36,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.36
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist= 117.02,BAZ= 60.98,PGA(V)=   0.50,PGA(NS)=   0.90,PGA(EW)=   0.54,PGV(V)=   0.07,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.11
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist= 117.85,BAZ= 54.56,PGA(V)=   0.34,PGA(NS)=   0.94,PGA(EW)=   0.92,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.09
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist= 118.81,BAZ=109.48,PGA(V)=   0.58,PGA(NS)=   1.20,PGA(EW)=   1.12,PGV(V)=   0.13,PGV(NS)=   0.21,PGV(EW)=   0.23,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.24
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 119.57,BAZ=100.95,PGA(V)=   0.79,PGA(NS)=   1.46,PGA(EW)=   2.84,PGV(V)=   0.11,PGV(NS)=   0.28,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   2.80,PGV(SUM)=   0.34
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 119.71,BAZ=121.15,PGA(V)=   1.33,PGA(NS)=   1.39,PGA(EW)=   1.54,PGV(V)=   0.11,PGV(NS)=   0.21,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.24
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 119.81,BAZ=143.31,PGA(V)=   0.57,PGA(NS)=   0.72,PGA(EW)=   0.68,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.12
Stacode=C015,Staname=白河  ,Stalon=120.41,Stalat=23.35,Dist= 120.16,BAZ= 71.47,PGA(V)=   1.16,PGA(NS)=   1.82,PGA(EW)=   2.19,PGV(V)=   0.13,PGV(NS)=   0.41,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   2.26,PGV(SUM)=   0.41
