Origin Time:2024/09/07 13:16:50
Lon:121.69¢XE
Lat:23.96¢XN
Depth:29.5km
Mag:5.3
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  85.97,BAZ=157.40,PGA(V)=   0.58,PGA(NS)=   0.95,PGA(EW)=   1.31,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.37,PGV(SUM)=   0.09
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  89.58,BAZ=184.17,PGA(V)=   0.91,PGA(NS)=   2.63,PGA(EW)=   2.28,PGV(V)=   0.06,PGV(NS)=   0.20,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   2.68,PGV(SUM)=   0.21
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  90.23,BAZ= 71.31,PGA(V)=   1.06,PGA(NS)=   2.66,PGA(EW)=   2.30,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.99,PGV(SUM)=   0.15
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  91.05,BAZ= 55.14,PGA(V)=   2.49,PGA(NS)=   4.48,PGA(EW)=   7.13,PGV(V)=   0.07,PGV(NS)=   0.22,PGV(EW)=   0.36,Int= 2¯Å,PGA(SUM)=   7.12,PGV(SUM)=   0.37
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  93.31,BAZ= 25.83,PGA(V)=   1.62,PGA(NS)=   3.82,PGA(EW)=   3.79,PGV(V)=   0.12,PGV(NS)=   0.23,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   4.49,PGV(SUM)=   0.26
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  99.32,BAZ= 81.32,PGA(V)=   1.01,PGA(NS)=   1.33,PGA(EW)=   1.40,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.10
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist= 100.59,BAZ= 18.90,PGA(V)=   1.68,PGA(NS)=   5.10,PGA(EW)=   4.55,PGV(V)=   0.08,PGV(NS)=   0.20,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   5.54,PGV(SUM)=   0.28
Stacode=A124,Staname=¯Q¨Ó  ,Stalon=121.55,Stalat=24.86,Dist= 101.39,BAZ=172.02,PGA(V)=   0.54,PGA(NS)=   0.81,PGA(EW)=   0.65,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.04
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 101.43,BAZ= 95.32,PGA(V)=   0.99,PGA(NS)=   2.43,PGA(EW)=   2.02,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.15
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist= 102.15,BAZ=114.97,PGA(V)=   0.56,PGA(NS)=   0.84,PGA(EW)=   0.76,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.07
