Origin Time:2021/01/17 07:10:59
Lon:121.35¢XE
Lat:22.54¢XN
Depth:21.1km
Mag:5.5
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist= 118.52,AZ=132.53,PGA(V)=   0.61,PGA(NS)=   0.85,PGA(EW)=   1.15,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.18,PGV(SUM)=   0.14
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 120.44,AZ=152.76,PGA(V)=   1.03,PGA(NS)=   1.43,PGA(EW)=   1.74,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.17
Stacode=EGFH,Staname=¥ú´_  ,Stalon=121.43,Stalat=23.67,Dist= 125.10,AZ=183.57,PGA(V)=   0.53,PGA(NS)=   0.84,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.09
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 125.42,AZ=142.39,PGA(V)=   0.86,PGA(NS)=   2.45,PGA(EW)=   1.58,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.49,PGV(SUM)=   0.13
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 126.99,AZ=115.66,PGA(V)=   0.60,PGA(NS)=   1.76,PGA(EW)=   1.44,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.19
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 127.46,AZ=121.11,PGA(V)=   0.58,PGA(NS)=   1.05,PGA(EW)=   1.18,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.22
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist= 128.74,AZ=112.98,PGA(V)=   1.35,PGA(NS)=   2.30,PGA(EW)=   1.99,PGV(V)=   0.06,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   2.65,PGV(SUM)=   0.20
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist= 130.73,AZ=188.84,PGA(V)=   0.48,PGA(NS)=   1.03,PGA(EW)=   0.90,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.11
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 137.17,AZ=120.69,PGA(V)=   0.77,PGA(NS)=   1.53,PGA(EW)=   2.55,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.18
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist= 137.68,AZ=158.25,PGA(V)=   0.64,PGA(NS)=   0.70,PGA(EW)=   0.66,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.06
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist= 139.69,AZ=188.91,PGA(V)=   0.41,PGA(NS)=   0.68,PGA(EW)=   0.99,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.10
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 141.61,AZ=138.32,PGA(V)=   0.55,PGA(NS)=   2.17,PGA(EW)=   1.58,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.28,PGV(SUM)=   0.18
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 141.81,AZ=140.67,PGA(V)=   0.87,PGA(NS)=   2.69,PGA(EW)=   2.12,PGV(V)=   0.07,PGV(NS)=   0.27,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.04,PGV(SUM)=   0.27
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 146.09,AZ=117.32,PGA(V)=   0.80,PGA(NS)=   1.81,PGA(EW)=   2.48,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.80,PGV(SUM)=   0.17
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 146.16,AZ=127.64,PGA(V)=   0.32,PGA(NS)=   1.02,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.12
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 149.74,AZ=147.71,PGA(V)=   0.49,PGA(NS)=   1.13,PGA(EW)=   0.78,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.10
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist= 153.04,AZ=189.65,PGA(V)=   0.68,PGA(NS)=   0.93,PGA(EW)=   1.22,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.09
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 154.32,AZ=147.36,PGA(V)=   0.60,PGA(NS)=   1.10,PGA(EW)=   1.22,PGV(V)=   0.30,PGV(NS)=   0.22,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.22,PGV(SUM)=   0.39
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 155.17,AZ=163.01,PGA(V)=   0.63,PGA(NS)=   0.88,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.11
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 158.32,AZ=133.34,PGA(V)=   0.43,PGA(NS)=   1.55,PGA(EW)=   1.23,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.16
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 160.74,AZ=142.16,PGA(V)=   0.49,PGA(NS)=   1.68,PGA(EW)=   1.81,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.19
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 161.03,AZ=189.59,PGA(V)=   0.28,PGA(NS)=   0.77,PGA(EW)=   0.92,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.10
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 167.05,AZ=136.55,PGA(V)=   0.60,PGA(NS)=   1.40,PGA(EW)=   1.25,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.11
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 175.85,AZ=153.34,PGA(V)=   0.51,PGA(NS)=   0.91,PGA(EW)=   0.71,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.15
Stacode=WCH1,Staname=¹ü¤Æ¥«,Stalon=120.55,Stalat=24.07,Dist= 188.41,AZ=154.10,PGA(V)=   0.55,PGA(NS)=   0.97,PGA(EW)=   0.96,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.10
