Origin Time:2025/01/27 09:58:42
Lon:120.53°E
Lat:23.21°N
Depth:11.6km
Mag:4.7
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  70.94,BAZ=196.32,PGA(V)=   0.94,PGA(NS)=   1.90,PGA(EW)=   2.43,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.07
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist=  73.30,BAZ=154.46,PGA(V)=   4.40,PGA(NS)=   3.87,PGA(EW)=   5.73,PGV(V)=   0.12,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   5.11,PGV(SUM)=   0.18
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  75.91,BAZ=192.41,PGA(V)=   1.69,PGA(NS)=   5.91,PGA(EW)=   3.74,PGV(V)=   0.02,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   4.80,PGV(SUM)=   0.12
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  76.63,BAZ=161.07,PGA(V)=   1.95,PGA(NS)=   4.14,PGA(EW)=   9.49,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.43,Int= 3級,PGA(SUM)=   8.70,PGV(SUM)=   0.43
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  77.92,BAZ=270.68,PGA(V)=   0.47,PGA(NS)=   1.94,PGA(EW)=   1.37,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.09,PGV(SUM)=   0.10
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  78.62,BAZ=168.42,PGA(V)=   6.00,PGA(NS)=   8.75,PGA(EW)=  18.14,PGV(V)=   0.17,PGV(NS)=   0.22,PGV(EW)=   0.56,Int= 3級,PGA(SUM)=  17.62,PGV(SUM)=   0.56
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  78.97,BAZ=190.99,PGA(V)=   1.32,PGA(NS)=   1.00,PGA(EW)=   1.23,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.06
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  83.57,BAZ=183.31,PGA(V)=   2.37,PGA(NS)=   2.99,PGA(EW)=   3.13,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 2級,PGA(SUM)=   2.98,PGV(SUM)=   0.14
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  83.93,BAZ=207.18,PGA(V)=   0.63,PGA(NS)=   1.00,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.20,PGV(SUM)=   0.10
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  84.60,BAZ=204.00,PGA(V)=   0.45,PGA(NS)=   0.82,PGA(EW)=   0.72,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
