Origin Time:2024/04/23 03:34:05
Lon:121.56¢XE
Lat:23.78¢XN
Depth:6.8km
Mag:5.0
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  82.03,BAZ= 68.10,PGA(V)=   0.67,PGA(NS)=   1.61,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.80,PGV(SUM)=   0.15
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  84.83,BAZ= 92.79,PGA(V)=   0.40,PGA(NS)=   0.53,PGA(EW)=   1.09,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.17
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  92.08,BAZ=108.03,PGA(V)=   0.39,PGA(NS)=   0.72,PGA(EW)=   0.81,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.09
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist=  93.66,BAZ= 16.19,PGA(V)=   0.69,PGA(NS)=   1.56,PGA(EW)=   1.47,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.08
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  94.50,BAZ=180.87,PGA(V)=   0.26,PGA(NS)=   0.98,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  95.42,BAZ=189.64,PGA(V)=   0.51,PGA(NS)=   0.66,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.08
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 101.45,BAZ= 83.72,PGA(V)=   0.49,PGA(NS)=   1.06,PGA(EW)=   1.11,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.15
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 101.64,BAZ=101.05,PGA(V)=   0.55,PGA(NS)=   0.79,PGA(EW)=   0.87,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.15
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 104.36,BAZ= 85.75,PGA(V)=   0.35,PGA(NS)=   1.27,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.17
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 104.70,BAZ= 68.53,PGA(V)=   0.52,PGA(NS)=   0.98,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.12
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 107.03,BAZ=107.76,PGA(V)=   0.64,PGA(NS)=   1.17,PGA(EW)=   1.72,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.10
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 109.38,BAZ= 90.25,PGA(V)=   0.31,PGA(NS)=   0.81,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.16
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 114.17,BAZ= 75.81,PGA(V)=   0.49,PGA(NS)=   0.83,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.92,PGV(SUM)=   0.08
Stacode=WWC ,Staname=±ï´Ï  ,Stalon=120.52,Stalat=24.26,Dist= 117.65,BAZ=116.38,PGA(V)=   0.46,PGA(NS)=   0.88,PGA(EW)=   0.83,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.25
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 118.80,BAZ=104.61,PGA(V)=   0.35,PGA(NS)=   1.01,PGA(EW)=   0.62,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.11
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 119.33,BAZ= 74.48,PGA(V)=   0.27,PGA(NS)=   1.02,PGA(EW)=   0.81,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.11
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 119.85,BAZ= 84.85,PGA(V)=   0.30,PGA(NS)=   1.07,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.27,PGV(SUM)=   0.17
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 121.05,BAZ= 96.19,PGA(V)=   0.52,PGA(NS)=   1.13,PGA(EW)=   1.45,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.17
Stacode=C015,Staname=¥Õªe  ,Stalon=120.41,Stalat=23.35,Dist= 126.30,BAZ= 67.74,PGA(V)=   0.35,PGA(NS)=   0.96,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.12
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 129.70,BAZ= 93.77,PGA(V)=   0.40,PGA(NS)=   0.80,PGA(EW)=   0.51,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.09
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 134.14,BAZ= 74.30,PGA(V)=   0.31,PGA(NS)=   0.70,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.10
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 138.91,BAZ= 77.94,PGA(V)=   0.19,PGA(NS)=   0.91,PGA(EW)=   0.92,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.09
