Origin Time:2024/04/23 05:24:31
Lon:121.53°E
Lat:23.73°N
Depth:6.7km
Mag:5.3
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  79.22,BAZ= 40.46,PGA(V)=   1.05,PGA(NS)=   1.58,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.08
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist=  79.62,BAZ=169.18,PGA(V)=   0.96,PGA(NS)=   2.07,PGA(EW)=   2.38,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.45,PGV(SUM)=   0.15
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist=  80.13,BAZ=196.26,PGA(V)=   1.00,PGA(NS)=   1.92,PGA(EW)=   1.89,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.08
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.19,BAZ= 97.01,PGA(V)=   0.84,PGA(NS)=   1.36,PGA(EW)=   2.81,PGV(V)=   0.12,PGV(NS)=   0.13,PGV(EW)=   0.47,Int= 2級,PGA(SUM)=   2.98,PGV(SUM)=   0.50
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  83.03,BAZ=197.82,PGA(V)=   1.01,PGA(NS)=   2.12,PGA(EW)=   2.57,PGV(V)=   0.05,PGV(NS)=   0.16,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   2.57,PGV(SUM)=   0.17
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  86.67,BAZ=100.70,PGA(V)=   0.78,PGA(NS)=   0.94,PGA(EW)=   0.92,PGV(V)=   0.11,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.16
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  87.11,BAZ= 15.27,PGA(V)=   1.22,PGA(NS)=   2.48,PGA(EW)=   3.14,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.04,PGV(SUM)=   0.15
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  88.11,BAZ= 80.29,PGA(V)=   1.00,PGA(NS)=   2.09,PGA(EW)=   3.16,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   3.23,PGV(SUM)=   0.23
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  88.57,BAZ=102.70,PGA(V)=   0.94,PGA(NS)=   0.76,PGA(EW)=   0.71,PGV(V)=   0.11,PGV(NS)=   0.09,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.18
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  91.14,BAZ=112.18,PGA(V)=   0.74,PGA(NS)=   1.16,PGA(EW)=   1.17,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.20,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.20
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  97.41,BAZ=118.10,PGA(V)=   0.32,PGA(NS)=   0.67,PGA(EW)=   0.95,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.18
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  97.83,BAZ= 86.95,PGA(V)=   0.97,PGA(NS)=   2.05,PGA(EW)=   2.89,PGV(V)=   0.16,PGV(NS)=   0.25,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   3.00,PGV(SUM)=   0.31
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  99.69,BAZ= 71.02,PGA(V)=   1.54,PGA(NS)=   2.90,PGA(EW)=   3.01,PGV(V)=   0.12,PGV(NS)=   0.22,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   3.21,PGV(SUM)=   0.24
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  99.89,BAZ=104.72,PGA(V)=   1.11,PGA(NS)=   1.74,PGA(EW)=   2.10,PGV(V)=   0.14,PGV(NS)=   0.26,PGV(EW)=   0.26,Int= 1級,PGA(SUM)=   2.39,PGV(SUM)=   0.33
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist= 100.50,BAZ=182.63,PGA(V)=   0.32,PGA(NS)=   1.34,PGA(EW)=   0.90,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.08
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 100.94,BAZ= 88.97,PGA(V)=   0.96,PGA(NS)=   2.45,PGA(EW)=   2.01,PGV(V)=   0.09,PGV(NS)=   0.25,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   2.80,PGV(SUM)=   0.27
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist= 101.79,BAZ=190.84,PGA(V)=   0.55,PGA(NS)=   0.90,PGA(EW)=   1.06,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.12,PGV(SUM)=   0.08
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 102.08,BAZ=131.87,PGA(V)=   0.56,PGA(NS)=   0.72,PGA(EW)=   0.66,PGV(V)=   0.07,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.09
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 105.66,BAZ=171.05,PGA(V)=   0.32,PGA(NS)=   0.78,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.07
