Origin Time:2024/04/23 09:45:45
Lon:121.57¢XE
Lat:23.81¢XN
Depth:7.4km
Mag:5.4
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist=  87.49,BAZ= 24.51,PGA(V)=   1.34,PGA(NS)=   2.11,PGA(EW)=   2.97,PGV(V)=   0.12,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   3.01,PGV(SUM)=   0.23
Stacode=NDT ,Staname=¤j¦P  ,Stalon=121.51,Stalat=24.60,Dist=  87.56,BAZ=175.90,PGA(V)=   0.68,PGA(NS)=   1.15,PGA(EW)=   1.81,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.13
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist=  89.27,BAZ= 38.94,PGA(V)=   0.64,PGA(NS)=   1.33,PGA(EW)=   1.21,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.06
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  90.11,BAZ= 94.41,PGA(V)=   0.78,PGA(NS)=   1.22,PGA(EW)=   1.26,PGV(V)=   0.12,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.18
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  91.24,BAZ=179.95,PGA(V)=   0.85,PGA(NS)=   2.18,PGA(EW)=   2.05,PGV(V)=   0.08,PGV(NS)=   0.16,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   2.73,PGV(SUM)=   0.20
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist=  91.66,BAZ= 96.46,PGA(V)=   1.13,PGA(NS)=   1.36,PGA(EW)=   1.13,PGV(V)=   0.11,PGV(NS)=   0.10,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.19
Stacode=NDS ,Staname=¥V¤s  ,Stalon=121.72,Stalat=24.63,Dist=  91.96,BAZ=189.04,PGA(V)=   1.37,PGA(NS)=   1.63,PGA(EW)=   2.51,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   2.84,PGV(SUM)=   0.22
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  92.58,BAZ=105.83,PGA(V)=   1.09,PGA(NS)=   2.66,PGA(EW)=   3.38,PGV(V)=   0.13,PGV(NS)=   0.36,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.39,PGV(SUM)=   0.42
Stacode=TWC ,Staname=Ä¬¿D  ,Stalon=121.86,Stalat=24.61,Dist=  92.62,BAZ=198.25,PGA(V)=   0.44,PGA(NS)=   0.58,PGA(EW)=   0.89,PGV(V)=   0.05,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.08
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist=  94.62,BAZ= 75.30,PGA(V)=   1.33,PGA(NS)=   3.57,PGA(EW)=   2.97,PGV(V)=   0.14,PGV(NS)=   0.44,PGV(EW)=   0.29,Int= 2¯Å,PGA(SUM)=   3.74,PGV(SUM)=   0.45
