Origin Time:2024/05/07 20:48:42
Lon:121.55°E
Lat:23.77°N
Depth:21.3km
Mag:4.8
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  91.33,BAZ=109.06,PGA(V)=   0.75,PGA(NS)=   2.22,PGA(EW)=   1.90,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.15
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  92.04,BAZ= 15.68,PGA(V)=   0.67,PGA(NS)=   1.06,PGA(EW)=   1.73,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.07
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  95.86,BAZ=181.60,PGA(V)=   0.42,PGA(NS)=   1.43,PGA(EW)=   1.38,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.06
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  96.94,BAZ=190.23,PGA(V)=   0.72,PGA(NS)=   0.95,PGA(EW)=   1.15,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.06
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  97.08,BAZ=115.18,PGA(V)=   0.30,PGA(NS)=   0.75,PGA(EW)=   0.93,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.06
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 100.09,BAZ= 84.39,PGA(V)=   0.39,PGA(NS)=   0.85,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.07
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 100.57,BAZ=129.19,PGA(V)=   0.47,PGA(NS)=   1.27,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.38,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 100.70,BAZ=101.92,PGA(V)=   2.10,PGA(NS)=   3.17,PGA(EW)=   3.20,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   4.02,PGV(SUM)=   0.15
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 101.47,BAZ=169.58,PGA(V)=   0.31,PGA(NS)=   0.73,PGA(EW)=   0.91,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 103.04,BAZ= 86.44,PGA(V)=   0.77,PGA(NS)=   1.09,PGA(EW)=   0.79,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.07
