Origin Time:2024/04/22 18:50:31
Lon:121.55°E
Lat:23.75°N
Depth:6.8km
Mag:5.7
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  79.79,BAZ= 24.66,PGA(V)=   2.76,PGA(NS)=   4.63,PGA(EW)=   6.26,PGV(V)=   0.59,PGV(NS)=   0.82,PGV(EW)=   0.79,Int= 2級,PGA(SUM)=   6.54,PGV(SUM)=   0.87
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist=  80.55,BAZ=197.13,PGA(V)=   3.40,PGA(NS)=   5.01,PGA(EW)=   6.46,PGV(V)=   0.20,PGV(NS)=   0.40,PGV(EW)=   0.51,Int= 2級,PGA(SUM)=   6.56,PGV(SUM)=   0.51
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  81.89,BAZ= 40.43,PGA(V)=   1.86,PGA(NS)=   2.70,PGA(EW)=   2.07,PGV(V)=   0.15,PGV(NS)=   0.23,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   2.60,PGV(SUM)=   0.31
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  83.65,BAZ= 95.46,PGA(V)=   1.85,PGA(NS)=   2.83,PGA(EW)=   4.40,PGV(V)=   0.31,PGV(NS)=   0.32,PGV(EW)=   0.55,Int= 2級,PGA(SUM)=   4.53,PGV(SUM)=   0.60
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  84.45,BAZ=133.80,PGA(V)=   1.03,PGA(NS)=   1.79,PGA(EW)=   2.55,PGV(V)=   0.27,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.34
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  87.98,BAZ= 99.17,PGA(V)=   1.48,PGA(NS)=   1.54,PGA(EW)=   2.05,PGV(V)=   0.40,PGV(NS)=   0.13,PGV(EW)=   0.34,Int= 1級,PGA(SUM)=   2.23,PGV(SUM)=   0.45
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  89.56,BAZ= 15.97,PGA(V)=   3.45,PGA(NS)=   6.47,PGA(EW)=   5.58,PGV(V)=   0.22,PGV(NS)=   0.41,PGV(EW)=   0.42,Int= 2級,PGA(SUM)=   7.35,PGV(SUM)=   0.46
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  89.80,BAZ=101.17,PGA(V)=   2.07,PGA(NS)=   2.53,PGA(EW)=   2.12,PGV(V)=   0.41,PGV(NS)=   0.24,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.45
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  90.14,BAZ= 79.18,PGA(V)=   1.74,PGA(NS)=   4.34,PGA(EW)=   5.23,PGV(V)=   0.23,PGV(NS)=   0.39,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   6.14,PGV(SUM)=   0.43
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  91.96,BAZ=110.59,PGA(V)=   2.15,PGA(NS)=   3.17,PGA(EW)=   3.65,PGV(V)=   0.40,PGV(NS)=   0.36,PGV(EW)=   0.47,Int= 2級,PGA(SUM)=   4.46,PGV(SUM)=   0.54
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  94.48,BAZ=178.02,PGA(V)=   1.15,PGA(NS)=   1.42,PGA(EW)=   2.02,PGV(V)=   0.17,PGV(NS)=   0.17,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.05,PGV(SUM)=   0.19
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  97.97,BAZ=116.57,PGA(V)=   0.88,PGA(NS)=   1.30,PGA(EW)=   1.74,PGV(V)=   0.45,PGV(NS)=   0.33,PGV(EW)=   0.46,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.50
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  98.37,BAZ=181.70,PGA(V)=   1.36,PGA(NS)=   3.27,PGA(EW)=   3.24,PGV(V)=   0.18,PGV(NS)=   0.28,PGV(EW)=   0.20,Int= 2級,PGA(SUM)=   3.91,PGV(SUM)=   0.30
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  99.45,BAZ=190.11,PGA(V)=   1.77,PGA(NS)=   3.68,PGA(EW)=   3.79,PGV(V)=   0.16,PGV(NS)=   0.24,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   4.26,PGV(SUM)=   0.33
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  99.65,BAZ= 85.82,PGA(V)=   1.93,PGA(NS)=   5.36,PGA(EW)=   5.16,PGV(V)=   0.38,PGV(NS)=   0.44,PGV(EW)=   0.84,Int= 2級,PGA(SUM)=   6.07,PGV(SUM)=   0.95
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist= 100.30,BAZ=198.61,PGA(V)=   0.81,PGA(NS)=   0.63,PGA(EW)=   1.32,PGV(V)=   0.10,PGV(NS)=   0.06,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.15
Stacode=STYH,Staname=桃源  ,Stalon=120.78,Stalat=23.18,Dist= 100.42,BAZ= 50.99,PGA(V)=   0.93,PGA(NS)=   1.22,PGA(EW)=   1.38,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.37,PGV(SUM)=   0.17
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 101.02,BAZ=103.34,PGA(V)=   2.75,PGA(NS)=   4.13,PGA(EW)=   4.79,PGV(V)=   0.50,PGV(NS)=   0.60,PGV(EW)=   0.72,Int= 2級,PGA(SUM)=   5.13,PGV(SUM)=   0.76
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 101.97,BAZ= 70.23,PGA(V)=   2.16,PGA(NS)=   3.96,PGA(EW)=   3.66,PGV(V)=   0.28,PGV(NS)=   0.31,PGV(EW)=   0.39,Int= 2級,PGA(SUM)=   4.48,PGV(SUM)=   0.42
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 102.00,BAZ=130.37,PGA(V)=   1.48,PGA(NS)=   2.81,PGA(EW)=   2.76,PGV(V)=   0.28,PGV(NS)=   0.39,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   3.81,PGV(SUM)=   0.40
Stacode=LONT,Staname=鹿野  ,Stalon=121.13,Stalat=22.91,Dist= 102.63,BAZ= 24.43,PGA(V)=   1.06,PGA(NS)=   1.46,PGA(EW)=   1.72,PGV(V)=   0.32,PGV(NS)=   0.39,PGV(EW)=   0.34,Int= 1級,PGA(SUM)=   2.01,PGV(SUM)=   0.44
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 102.68,BAZ= 87.83,PGA(V)=   2.25,PGA(NS)=   3.86,PGA(EW)=   3.71,PGV(V)=   0.32,PGV(NS)=   0.39,PGV(EW)=   0.59,Int= 2級,PGA(SUM)=   3.90,PGV(SUM)=   0.67
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 103.90,BAZ=169.96,PGA(V)=   1.24,PGA(NS)=   2.44,PGA(EW)=   2.23,PGV(V)=   0.15,PGV(NS)=   0.18,PGV(EW)=   0.25,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.25
