Origin Time:2024/04/03 08:46:44
Lon:121.70¢XE
Lat:24.19¢XN
Depth:6.1km
Mag:5.6
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist=   8.39,BAZ= 69.41,PGA(V)=  83.89,PGA(NS)= 412.80,PGA(EW)= 141.92,PGV(V)=   1.93,PGV(NS)=  11.14,PGV(EW)=   3.59,Int= 4¯Å,PGA(SUM)= 293.50,PGV(SUM)=  11.40
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  86.15,BAZ=126.39,PGA(V)=   1.31,PGA(NS)=   1.59,PGA(EW)=   1.11,PGV(V)=   0.16,PGV(NS)=   0.16,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.60,PGV(SUM)=   0.19
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  86.98,BAZ=134.49,PGA(V)=   1.35,PGA(NS)=   3.46,PGA(EW)=   2.62,PGV(V)=   0.19,PGV(NS)=   0.21,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   3.48,PGV(SUM)=   0.30
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  87.31,BAZ= 67.31,PGA(V)=   1.04,PGA(NS)=   2.65,PGA(EW)=   3.04,PGV(V)=   0.09,PGV(NS)=   0.24,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   3.35,PGV(SUM)=   0.31
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist=  87.57,BAZ=168.32,PGA(V)=   1.12,PGA(NS)=   2.03,PGA(EW)=   1.86,PGV(V)=   0.12,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.19,PGV(SUM)=   0.17
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist=  88.03,BAZ=151.56,PGA(V)=   1.16,PGA(NS)=   2.11,PGA(EW)=   1.54,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.26
Stacode=TIPB,Staname=Âù·Ë  ,Stalon=121.83,Stalat=24.97,Dist=  88.04,BAZ=188.29,PGA(V)=   0.60,PGA(NS)=   0.89,PGA(EW)=   1.00,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.12
Stacode=TWA ,Staname=¤ì¬]  ,Stalon=121.59,Stalat=24.98,Dist=  88.47,BAZ=172.90,PGA(V)=   0.86,PGA(NS)=   0.73,PGA(EW)=   1.01,PGV(V)=   0.13,PGV(NS)=   0.17,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.19
Stacode=NSX ,Staname=¤T®l  ,Stalon=121.37,Stalat=24.94,Dist=  89.78,BAZ=158.43,PGA(V)=   1.51,PGA(NS)=   1.82,PGA(EW)=   1.71,PGV(V)=   0.17,PGV(NS)=   0.17,PGV(EW)=   0.20,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.22
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  89.98,BAZ= 69.81,PGA(V)=   0.49,PGA(NS)=   0.75,PGA(EW)=   0.67,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.87,PGV(SUM)=   0.13
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  95.03,BAZ=100.83,PGA(V)=   1.56,PGA(NS)=   2.15,PGA(EW)=   2.00,PGV(V)=   0.15,PGV(NS)=   0.19,PGV(EW)=   0.22,Int= 1¯Å,PGA(SUM)=   2.36,PGV(SUM)=   0.24
