Origin Time:2024/09/19 01:10:15
Lon:121.50°E
Lat:24.08°N
Depth:19.6km
Mag:4.7
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist=  80.25,BAZ=199.11,PGA(V)=   0.61,PGA(NS)=   0.93,PGA(EW)=   0.98,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.06
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  81.22,BAZ= 87.09,PGA(V)=   0.76,PGA(NS)=   2.88,PGA(EW)=   1.99,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.76,PGV(SUM)=   0.07
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  82.98,BAZ= 95.09,PGA(V)=   0.60,PGA(NS)=   1.22,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.04
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  83.72,BAZ=150.29,PGA(V)=   0.94,PGA(NS)=   1.68,PGA(EW)=   2.15,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.43,PGV(SUM)=   0.09
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  83.91,BAZ=157.11,PGA(V)=   0.86,PGA(NS)=   1.77,PGA(EW)=   2.08,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   2.07,PGV(SUM)=   0.08
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  84.90,BAZ= 74.68,PGA(V)=   0.70,PGA(NS)=   1.27,PGA(EW)=   1.44,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.04
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  85.28,BAZ= 77.09,PGA(V)=   1.12,PGA(NS)=   0.85,PGA(EW)=   0.74,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.03
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist=  86.81,BAZ=128.29,PGA(V)=   0.65,PGA(NS)=   0.89,PGA(EW)=   0.97,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.04
Stacode=A124,Staname=烏來  ,Stalon=121.55,Stalat=24.86,Dist=  87.08,BAZ=183.75,PGA(V)=   0.46,PGA(NS)=   0.86,PGA(EW)=   0.62,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.03
Stacode=NTC ,Staname=頭城  ,Stalon=121.83,Stalat=24.85,Dist=  92.17,BAZ=201.49,PGA(V)=   0.46,PGA(NS)=   0.71,PGA(EW)=   0.80,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
