Origin Time:2021/09/01 06:27:56
Lon:120.71¢XE
Lat:23.27¢XN
Depth:13.7km
Mag:4.9
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  59.80,AZ=277.13,PGA(V)=   1.84,PGA(NS)=   5.32,PGA(EW)=   5.65,PGV(V)=   0.10,PGV(NS)=   0.26,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   6.43,PGV(SUM)=   0.34
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist=  60.83,AZ= 60.50,PGA(V)=   2.93,PGA(NS)=   4.90,PGA(EW)=   2.98,PGV(V)=   0.09,PGV(NS)=   0.18,PGV(EW)=   0.11,Int= 2¯Å,PGA(SUM)=   5.37,PGV(SUM)=   0.18
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  61.62,AZ=181.32,PGA(V)=   0.60,PGA(NS)=   1.41,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.07
Stacode=TWG ,Staname=¨õ«n  ,Stalon=121.08,Stalat=22.82,Dist=  62.18,AZ=322.92,PGA(V)=   1.34,PGA(NS)=   0.85,PGA(EW)=   1.38,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.45,PGV(SUM)=   0.09
Stacode=SMG ,Staname=º¿®a  ,Stalon=120.64,Stalat=22.71,Dist=  62.45,AZ=  6.52,PGA(V)=   0.76,PGA(NS)=   1.33,PGA(EW)=   1.30,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.05
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  63.95,AZ= 20.21,PGA(V)=   0.37,PGA(NS)=   1.19,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.08
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist=  64.29,AZ=129.69,PGA(V)=   2.39,PGA(NS)=   4.36,PGA(EW)=   3.71,PGV(V)=   0.07,PGV(NS)=   0.17,PGV(EW)=   0.17,Int= 2¯Å,PGA(SUM)=   4.23,PGV(SUM)=   0.18
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist=  65.56,AZ= 78.41,PGA(V)=   5.04,PGA(NS)=  11.62,PGA(EW)=  14.84,PGV(V)=   0.11,PGV(NS)=   0.37,PGV(EW)=   0.59,Int= 3¯Å,PGA(SUM)=  14.88,PGV(SUM)=   0.59
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  67.71,AZ=178.14,PGA(V)=   0.82,PGA(NS)=   2.40,PGA(EW)=   1.68,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   2.22,PGV(SUM)=   0.10
Stacode=EHY ,Staname=¬õ¸­  ,Stalon=121.33,Stalat=23.50,Dist=  68.26,AZ=247.27,PGA(V)=   0.66,PGA(NS)=   1.03,PGA(EW)=   0.93,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.07
