Origin Time:2024/02/29 13:26:27
Lon:120.28¢XE
Lat:23.46¢XN
Depth:16.8km
Mag:5.0
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist= 147.90,BAZ=235.88,PGA(V)=   1.17,PGA(NS)=   2.85,PGA(EW)=   1.78,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.12
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 148.46,BAZ=203.86,PGA(V)=   1.25,PGA(NS)=   3.82,PGA(EW)=   2.52,PGV(V)=   0.03,PGV(NS)=   0.12,PGV(EW)=   0.08,Int= 2¯Å,PGA(SUM)=   3.52,PGV(SUM)=   0.12
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 149.48,BAZ=209.73,PGA(V)=   0.55,PGA(NS)=   0.91,PGA(EW)=   1.54,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.49,PGV(SUM)=   0.08
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 151.51,BAZ=209.63,PGA(V)=   0.44,PGA(NS)=   1.31,PGA(EW)=   1.47,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.51,PGV(SUM)=   0.05
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 155.49,BAZ=213.24,PGA(V)=   0.32,PGA(NS)=   0.54,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.04
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist= 156.02,BAZ=225.93,PGA(V)=   0.32,PGA(NS)=   1.29,PGA(EW)=   1.04,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.13,PGV(SUM)=   0.08
Stacode=ETL ,Staname=¤Ó¾|»Õ,Stalon=121.62,Stalat=24.16,Dist= 157.34,BAZ=240.43,PGA(V)=   0.23,PGA(NS)=   0.93,PGA(EW)=   0.64,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 163.67,BAZ=210.14,PGA(V)=   0.84,PGA(NS)=   2.14,PGA(EW)=   1.49,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.14,PGV(SUM)=   0.08
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 172.16,BAZ=211.92,PGA(V)=   0.52,PGA(NS)=   1.08,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.24,PGV(SUM)=   0.08
Stacode=EAH ,Staname=¿Dªá  ,Stalon=121.74,Stalat=24.33,Dist= 177.21,BAZ=236.99,PGA(V)=   0.85,PGA(NS)=   3.01,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist= 184.02,BAZ=234.36,PGA(V)=   0.34,PGA(NS)=   0.82,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.05
Stacode=EWT ,Staname=ªZ¶ð  ,Stalon=121.78,Stalat=24.45,Dist= 187.66,BAZ=234.36,PGA(V)=   0.64,PGA(NS)=   0.92,PGA(EW)=   1.00,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.09
