Origin Time:2020/12/10 13:29:38
Lon:121.55¢XE
Lat:23.45¢XN
Depth:38.0km
Mag:5.4
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 108.93,AZ= 74.18,PGA(V)=   0.93,PGA(NS)=   1.65,PGA(EW)=   1.27,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.96,PGV(SUM)=   0.09
Stacode=ENA ,Staname=«n¿D  ,Stalon=121.75,Stalat=24.43,Dist= 109.60,AZ=190.47,PGA(V)=   1.07,PGA(NS)=   2.85,PGA(EW)=   2.69,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.64,PGV(SUM)=   0.07
Stacode=TWL ,Staname=ªF¤s  ,Stalon=120.50,Stalat=23.26,Dist= 109.70,AZ= 79.04,PGA(V)=   1.34,PGA(NS)=   1.83,PGA(EW)=   1.89,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.14
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 110.31,AZ=145.88,PGA(V)=   0.62,PGA(NS)=   1.88,PGA(EW)=   1.41,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.13,PGV(SUM)=   0.12
Stacode=NNS ,Staname=«n¤s  ,Stalon=121.38,Stalat=24.44,Dist= 110.40,AZ=170.88,PGA(V)=   0.80,PGA(NS)=   1.99,PGA(EW)=   1.82,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.94,PGV(SUM)=   0.11
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 110.54,AZ= 94.52,PGA(V)=   0.59,PGA(NS)=   1.05,PGA(EW)=   0.72,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.09
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 114.04,AZ=119.51,PGA(V)=   2.43,PGA(NS)=   2.18,PGA(EW)=   3.76,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.74,PGV(SUM)=   0.16
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 114.59,AZ= 92.39,PGA(V)=   0.85,PGA(NS)=   2.94,PGA(EW)=   2.26,PGV(V)=   0.05,PGV(NS)=   0.17,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.11,PGV(SUM)=   0.17
Stacode=SCS ,Staname=ºX¤s  ,Stalon=120.49,Stalat=22.89,Dist= 125.37,AZ= 59.91,PGA(V)=   1.61,PGA(NS)=   1.98,PGA(EW)=   1.45,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.11
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 126.87,AZ=141.25,PGA(V)=   2.09,PGA(NS)=   1.78,PGA(EW)=   1.43,PGV(V)=   0.11,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.97,PGV(SUM)=   0.15
