Origin Time:2022/04/07 11:41:00
Lon:121.34¢XE
Lat:23.09¢XN
Depth:19.6km
Mag:4.9
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 102.24,AZ=265.65,PGA(V)=   0.69,PGA(NS)=   1.31,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.65,PGV(SUM)=   0.10
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 102.71,AZ=309.75,PGA(V)=   0.68,PGA(NS)=   1.32,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.21,PGV(SUM)=   0.08
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 103.35,AZ=295.72,PGA(V)=   0.89,PGA(NS)=   1.78,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.79,PGV(SUM)=   0.11
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 107.35,AZ=310.03,PGA(V)=   0.65,PGA(NS)=   2.27,PGA(EW)=   1.65,PGV(V)=   0.03,PGV(NS)=   0.20,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.20
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 108.15,AZ=272.62,PGA(V)=   0.56,PGA(NS)=   0.97,PGA(EW)=   0.97,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.03,PGV(SUM)=   0.11
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 109.44,AZ=322.63,PGA(V)=   0.33,PGA(NS)=   0.90,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 109.92,AZ=250.09,PGA(V)=   0.93,PGA(NS)=   1.81,PGA(EW)=   1.97,PGV(V)=   0.04,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1¯Å,PGA(SUM)=   1.91,PGV(SUM)=   0.19
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 113.52,AZ=267.01,PGA(V)=   0.27,PGA(NS)=   0.84,PGA(EW)=   0.69,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.08
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist= 114.69,AZ=290.68,PGA(V)=   0.54,PGA(NS)=   1.35,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.55,PGV(SUM)=   0.09
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 117.21,AZ=274.45,PGA(V)=   0.32,PGA(NS)=   0.64,PGA(EW)=   1.04,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.19,PGV(SUM)=   0.13
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 117.79,AZ=304.10,PGA(V)=   0.57,PGA(NS)=   0.90,PGA(EW)=   1.00,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.09,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 118.09,AZ=283.89,PGA(V)=   0.63,PGA(NS)=   2.02,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   2.45,PGV(SUM)=   0.18
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 118.80,AZ=169.26,PGA(V)=   0.83,PGA(NS)=   2.29,PGA(EW)=   2.45,PGV(V)=   0.03,PGV(NS)=   0.15,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.58,PGV(SUM)=   0.15
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 123.64,AZ=292.72,PGA(V)=   1.66,PGA(NS)=   1.23,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.32,PGV(SUM)=   0.10
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 123.81,AZ=321.02,PGA(V)=   1.08,PGA(NS)=   1.08,PGA(EW)=   1.19,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.12
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 128.81,AZ=297.95,PGA(V)=   0.48,PGA(NS)=   1.06,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.07
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 128.81,AZ=272.73,PGA(V)=   0.25,PGA(NS)=   0.80,PGA(EW)=   0.72,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.96,PGV(SUM)=   0.10
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 137.49,AZ=342.87,PGA(V)=   0.39,PGA(NS)=   0.80,PGA(EW)=   0.71,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.09
