Origin Time:2022/12/24 05:17:59
Lon:121.18°E
Lat:23.13°N
Depth:13.9km
Mag:5.2
Stacode=SCS ,Staname=旗山  ,Stalon=120.49,Stalat=22.89,Dist=  75.00,BAZ= 69.14,PGA(V)=   1.97,PGA(NS)=   2.93,PGA(EW)=   2.65,PGV(V)=   0.09,PGV(NS)=   0.25,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.52,PGV(SUM)=   0.28
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  80.55,BAZ=199.57,PGA(V)=   0.90,PGA(NS)=   1.73,PGA(EW)=   1.76,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.06
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist=  82.71,BAZ= 57.32,PGA(V)=   0.68,PGA(NS)=   2.46,PGA(EW)=   2.55,PGV(V)=   0.09,PGV(NS)=   0.28,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.69,PGV(SUM)=   0.28
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist=  83.09,BAZ=208.27,PGA(V)=   0.37,PGA(NS)=   0.72,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  84.75,BAZ=121.97,PGA(V)=   0.98,PGA(NS)=   2.04,PGA(EW)=   1.63,PGV(V)=   0.09,PGV(NS)=   0.26,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.27
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist=  85.79,BAZ= 82.18,PGA(V)=   1.14,PGA(NS)=   1.98,PGA(EW)=   2.16,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.18
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  85.84,BAZ= 54.52,PGA(V)=   0.92,PGA(NS)=   1.85,PGA(EW)=   1.67,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   2.04,PGV(SUM)=   0.18
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist=  86.49,BAZ=118.25,PGA(V)=   0.63,PGA(NS)=   2.70,PGA(EW)=   1.95,PGV(V)=   0.06,PGV(NS)=   0.26,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   2.87,PGV(SUM)=   0.34
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  87.56,BAZ=134.87,PGA(V)=   0.58,PGA(NS)=   1.47,PGA(EW)=   1.45,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.69,PGV(SUM)=   0.25
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  87.98,BAZ=161.79,PGA(V)=   0.56,PGA(NS)=   1.08,PGA(EW)=   1.53,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.54,PGV(SUM)=   0.11
