Origin Time:2024/09/13 12:59:33
Lon:121.70°E
Lat:23.96°N
Depth:29.2km
Mag:5.0
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 107.32,BAZ= 27.00,PGA(V)=   0.52,PGA(NS)=   0.77,PGA(EW)=   1.07,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.10
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 109.53,BAZ= 38.72,PGA(V)=   0.75,PGA(NS)=   0.91,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.13,PGV(SUM)=   0.04
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 111.34,BAZ= 68.93,PGA(V)=   1.05,PGA(NS)=   2.18,PGA(EW)=   1.32,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.29,PGV(SUM)=   0.14
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 113.62,BAZ= 90.10,PGA(V)=   1.12,PGA(NS)=   1.29,PGA(EW)=   1.40,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.33,PGV(SUM)=   0.10
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 116.34,BAZ= 20.15,PGA(V)=   0.75,PGA(NS)=   2.02,PGA(EW)=   1.81,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.90,PGV(SUM)=   0.07
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 116.55,BAZ= 96.59,PGA(V)=   0.98,PGA(NS)=   1.98,PGA(EW)=   2.09,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.17,PGV(SUM)=   0.08
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 118.67,BAZ= 75.17,PGA(V)=   0.72,PGA(NS)=   1.72,PGA(EW)=   2.03,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.85,PGV(SUM)=   0.10
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 121.00,BAZ= 77.11,PGA(V)=   0.84,PGA(NS)=   1.82,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.88,PGV(SUM)=   0.10
Stacode=NWF ,Staname=五分山,Stalon=121.78,Stalat=25.07,Dist= 123.56,BAZ=184.00,PGA(V)=   0.29,PGA(NS)=   0.88,PGA(EW)=   0.65,PGV(V)=   0.01,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.91,PGV(SUM)=   0.10
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 124.66,BAZ= 81.33,PGA(V)=   1.04,PGA(NS)=   1.06,PGA(EW)=   1.27,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.05
