Origin Time:2024/04/23 04:03:07
Lon:121.60°E
Lat:23.83°N
Depth:8.1km
Mag:5.2
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  96.72,BAZ=165.57,PGA(V)=   0.38,PGA(NS)=   0.52,PGA(EW)=   0.93,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.11
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  97.92,BAZ= 74.87,PGA(V)=   0.27,PGA(NS)=   0.69,PGA(EW)=   1.29,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.12
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 104.80,BAZ=188.48,PGA(V)=   0.38,PGA(NS)=   0.77,PGA(EW)=   0.92,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.19
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 105.30,BAZ= 98.01,PGA(V)=   0.64,PGA(NS)=   0.90,PGA(EW)=   0.99,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.14,PGV(SUM)=   0.21
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 106.56,BAZ= 81.42,PGA(V)=   0.47,PGA(NS)=   0.86,PGA(EW)=   0.83,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.16
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 109.31,BAZ= 83.42,PGA(V)=   0.37,PGA(NS)=   1.74,PGA(EW)=   1.19,PGV(V)=   0.07,PGV(NS)=   0.28,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.28
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 110.02,BAZ=104.67,PGA(V)=   0.55,PGA(NS)=   0.95,PGA(EW)=   1.28,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.19
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 110.70,BAZ= 67.07,PGA(V)=   0.31,PGA(NS)=   0.72,PGA(EW)=   0.82,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.13
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 113.36,BAZ=152.48,PGA(V)=   0.52,PGA(NS)=   1.06,PGA(EW)=   0.83,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.17
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 113.77,BAZ=157.51,PGA(V)=   0.58,PGA(NS)=   0.91,PGA(EW)=   0.94,PGV(V)=   0.09,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.15
Stacode=C092,Staname=西螺  ,Stalon=120.49,Stalat=23.79,Dist= 113.97,BAZ= 87.82,PGA(V)=   0.45,PGA(NS)=   0.78,PGA(EW)=   1.24,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.25,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.26
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 119.72,BAZ=113.36,PGA(V)=   0.80,PGA(NS)=   1.29,PGA(EW)=   1.14,PGV(V)=   0.19,PGV(NS)=   0.32,PGV(EW)=   0.22,Int= 1級,PGA(SUM)=   1.47,PGV(SUM)=   0.38
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 119.78,BAZ= 74.11,PGA(V)=   0.43,PGA(NS)=   0.71,PGA(EW)=   0.92,PGV(V)=   0.08,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.14
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist= 120.54,BAZ=141.83,PGA(V)=   0.43,PGA(NS)=   0.55,PGA(EW)=   0.93,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.14
Stacode=HSN1,Staname=新竹市,Stalon=121.02,Stalat=24.78,Dist= 120.92,BAZ=150.55,PGA(V)=   0.46,PGA(NS)=   1.18,PGA(EW)=   0.67,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.18
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 121.34,BAZ=164.60,PGA(V)=   0.37,PGA(NS)=   0.70,PGA(EW)=   0.73,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.16
