Origin Time:2024/04/23 03:20:11
Lon:121.54°E
Lat:23.87°N
Depth:10.3km
Mag:5.2
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  93.99,BAZ=124.47,PGA(V)=   0.57,PGA(NS)=   0.93,PGA(EW)=   0.75,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.08
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  95.42,BAZ=188.55,PGA(V)=   0.56,PGA(NS)=   0.74,PGA(EW)=   1.33,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  98.62,BAZ= 96.08,PGA(V)=   1.03,PGA(NS)=   1.75,PGA(EW)=   1.38,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.24
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 100.47,BAZ=147.31,PGA(V)=   0.42,PGA(NS)=   0.65,PGA(EW)=   1.00,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.07
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 101.67,BAZ=148.25,PGA(V)=   0.36,PGA(NS)=   0.87,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.89,PGV(SUM)=   0.05
Stacode=ILA ,Staname=宜蘭市,Stalon=121.76,Stalat=24.76,Dist= 101.75,BAZ=192.27,PGA(V)=   0.41,PGA(NS)=   0.89,PGA(EW)=   1.32,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.10
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 101.94,BAZ= 13.87,PGA(V)=   1.03,PGA(NS)=   1.91,PGA(EW)=   1.89,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.30,PGV(SUM)=   0.14
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist= 102.98,BAZ=103.26,PGA(V)=   1.13,PGA(NS)=   1.85,PGA(EW)=   2.33,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.51,PGV(SUM)=   0.17
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 103.74,BAZ= 80.71,PGA(V)=   1.15,PGA(NS)=   3.35,PGA(EW)=   1.78,PGV(V)=   0.08,PGV(NS)=   0.35,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.35
Stacode=NML ,Staname=苗栗市,Stalon=120.83,Stalat=24.56,Dist= 106.29,BAZ=136.73,PGA(V)=   0.53,PGA(NS)=   0.95,PGA(EW)=   0.89,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.11
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 106.80,BAZ= 63.68,PGA(V)=   1.03,PGA(NS)=   1.65,PGA(EW)=   1.47,PGV(V)=   0.08,PGV(NS)=   0.18,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.73,PGV(SUM)=   0.19
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 106.81,BAZ=154.38,PGA(V)=   0.53,PGA(NS)=   1.48,PGA(EW)=   1.28,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.09
