Origin Time:2024/04/25 02:11:54
Lon:122.34°E
Lat:23.98°N
Depth:24.8km
Mag:5.7
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist= 136.03,BAZ=142.85,PGA(V)=   1.38,PGA(NS)=   1.94,PGA(EW)=   2.15,PGV(V)=   0.10,PGV(NS)=   0.16,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   2.28,PGV(SUM)=   0.20
Stacode=WPL ,Staname=埔里  ,Stalon=120.96,Stalat=24.01,Dist= 140.27,BAZ= 91.44,PGA(V)=   1.10,PGA(NS)=   0.90,PGA(EW)=   1.17,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.43,PGV(SUM)=   0.08
Stacode=NXZ ,Staname=汐止  ,Stalon=121.64,Stalat=25.08,Dist= 140.34,BAZ=149.87,PGA(V)=   1.07,PGA(NS)=   2.19,PGA(EW)=   2.44,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   2.58,PGV(SUM)=   0.23
Stacode=NOU ,Staname=基隆市,Stalon=121.77,Stalat=25.15,Dist= 141.42,BAZ=156.25,PGA(V)=   0.48,PGA(NS)=   0.76,PGA(EW)=   1.04,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.10
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist= 143.10,BAZ=120.27,PGA(V)=   0.55,PGA(NS)=   0.92,PGA(EW)=   0.78,PGV(V)=   0.06,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.09
Stacode=TAP ,Staname=臺北市,Stalon=121.51,Stalat=25.04,Dist= 143.66,BAZ=144.58,PGA(V)=   1.35,PGA(NS)=   1.81,PGA(EW)=   2.56,PGV(V)=   0.10,PGV(NS)=   0.28,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   2.85,PGV(SUM)=   0.34
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist= 144.10,BAZ=137.45,PGA(V)=   1.15,PGA(NS)=   1.36,PGA(EW)=   1.22,PGV(V)=   0.09,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 1級,PGA(SUM)=   1.59,PGV(SUM)=   0.24
Stacode=A024,Staname=新北市,Stalon=121.47,Stalat=25.02,Dist= 144.37,BAZ=142.82,PGA(V)=   1.60,PGA(NS)=   2.99,PGA(EW)=   2.17,PGV(V)=   0.19,PGV(NS)=   0.29,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   3.09,PGV(SUM)=   0.34
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 145.03,BAZ=103.11,PGA(V)=   1.06,PGA(NS)=   2.27,PGA(EW)=   2.91,PGV(V)=   0.07,PGV(NS)=   0.15,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   3.40,PGV(SUM)=   0.21
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 145.08,BAZ= 93.32,PGA(V)=   0.94,PGA(NS)=   2.48,PGA(EW)=   2.11,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.57,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 145.71,BAZ= 85.67,PGA(V)=   0.73,PGA(NS)=   1.26,PGA(EW)=   1.80,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.92,PGV(SUM)=   0.14
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist= 146.05,BAZ=133.25,PGA(V)=   0.76,PGA(NS)=   1.33,PGA(EW)=   1.58,PGV(V)=   0.09,PGV(NS)=   0.16,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.22
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist= 147.08,BAZ=126.85,PGA(V)=   1.30,PGA(NS)=   2.99,PGA(EW)=   2.36,PGV(V)=   0.11,PGV(NS)=   0.23,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.36,PGV(SUM)=   0.26
