Origin Time:2024/04/03 23:42:36
Lon:121.68°E
Lat:24.17°N
Depth:18.8km
Mag:5.1
Stacode=KSHI,Staname=關西  ,Stalon=121.18,Stalat=24.78,Dist=  84.46,BAZ=142.91,PGA(V)=   0.69,PGA(NS)=   1.56,PGA(EW)=   2.31,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.16
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  84.52,BAZ= 67.86,PGA(V)=   0.36,PGA(NS)=   0.96,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.10
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist=  84.91,BAZ=126.95,PGA(V)=   0.99,PGA(NS)=   1.60,PGA(EW)=   2.34,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.56,PGV(SUM)=   0.19
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  85.46,BAZ=128.28,PGA(V)=   1.09,PGA(NS)=   2.26,PGA(EW)=   1.92,PGV(V)=   0.06,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.84,PGV(SUM)=   0.11
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist=  86.70,BAZ=136.40,PGA(V)=   1.19,PGA(NS)=   2.40,PGA(EW)=   2.65,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.88,PGV(SUM)=   0.18
Stacode=B011,Staname=大溪  ,Stalon=121.29,Stalat=24.88,Dist=  88.61,BAZ=153.41,PGA(V)=   0.84,PGA(NS)=   1.75,PGA(EW)=   1.60,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.86,PGV(SUM)=   0.14
Stacode=NHDH,Staname=新店  ,Stalon=121.53,Stalat=24.96,Dist=  88.94,BAZ=169.98,PGA(V)=   0.85,PGA(NS)=   2.38,PGA(EW)=   2.62,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.13
Stacode=TWA ,Staname=木柵  ,Stalon=121.59,Stalat=24.98,Dist=  90.03,BAZ=174.47,PGA(V)=   0.44,PGA(NS)=   0.65,PGA(EW)=   0.82,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.05
Stacode=NSX ,Staname=三峽  ,Stalon=121.37,Stalat=24.94,Dist=  90.69,BAZ=160.18,PGA(V)=   0.70,PGA(NS)=   1.05,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.19,PGV(SUM)=   0.10
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  93.17,BAZ=102.19,PGA(V)=   1.09,PGA(NS)=   1.64,PGA(EW)=   2.20,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.37,PGV(SUM)=   0.18
