Origin Time:2024/04/23 10:21:00
Lon:121.54°E
Lat:23.86°N
Depth:8.9km
Mag:5.5
Stacode=EYL ,Staname=鹽寮  ,Stalon=121.60,Stalat=23.90,Dist=   7.89,BAZ=231.36,PGA(V)=  96.18,PGA(NS)= 265.06,PGA(EW)= 302.03,PGV(V)=   4.35,PGV(NS)=  12.58,PGV(EW)=  14.42,Int= 5弱,PGA(SUM)= 321.09,PGV(SUM)=  18.26
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  82.40,BAZ=178.00,PGA(V)=   0.84,PGA(NS)=   1.06,PGA(EW)=   2.02,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.11
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  82.94,BAZ= 87.16,PGA(V)=   0.98,PGA(NS)=   2.03,PGA(EW)=   4.16,PGV(V)=   0.12,PGV(NS)=   0.17,PGV(EW)=   0.45,Int= 2級,PGA(SUM)=   4.28,PGV(SUM)=   0.46
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist=  83.76,BAZ= 62.38,PGA(V)=   1.00,PGA(NS)=   3.26,PGA(EW)=   2.40,PGV(V)=   0.08,PGV(NS)=   0.24,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   3.63,PGV(SUM)=   0.27
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  85.77,BAZ= 23.51,PGA(V)=   0.95,PGA(NS)=   1.33,PGA(EW)=   1.42,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.15
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  86.03,BAZ= 11.51,PGA(V)=   1.36,PGA(NS)=   3.21,PGA(EW)=   3.55,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.87,PGV(SUM)=   0.25
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  86.32,BAZ=182.19,PGA(V)=   1.10,PGA(NS)=   3.25,PGA(EW)=   3.45,PGV(V)=   0.07,PGV(NS)=   0.18,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.36,PGV(SUM)=   0.20
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  86.45,BAZ= 91.29,PGA(V)=   1.47,PGA(NS)=   1.73,PGA(EW)=   1.29,PGV(V)=   0.11,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.80,PGV(SUM)=   0.16
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  87.67,BAZ=191.74,PGA(V)=   1.81,PGA(NS)=   2.09,PGA(EW)=   2.90,PGV(V)=   0.09,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 2級,PGA(SUM)=   2.92,PGV(SUM)=   0.22
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  87.83,BAZ= 93.48,PGA(V)=   1.33,PGA(NS)=   1.78,PGA(EW)=   1.71,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.24,Int= 1級,PGA(SUM)=   2.18,PGV(SUM)=   0.24
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  88.03,BAZ=103.31,PGA(V)=   1.68,PGA(NS)=   4.32,PGA(EW)=   3.88,PGV(V)=   0.17,PGV(NS)=   0.42,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   5.17,PGV(SUM)=   0.49
Stacode=TWC ,Staname=蘇澳  ,Stalon=121.86,Stalat=24.61,Dist=  89.07,BAZ=201.32,PGA(V)=   0.62,PGA(NS)=   0.75,PGA(EW)=   1.36,PGV(V)=   0.07,PGV(NS)=   0.04,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.38,PGV(SUM)=   0.08
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  90.76,BAZ= 21.25,PGA(V)=   1.32,PGA(NS)=   2.42,PGA(EW)=   2.86,PGV(V)=   0.18,PGV(NS)=   0.27,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   3.05,PGV(SUM)=   0.38
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  91.18,BAZ= 35.30,PGA(V)=   0.94,PGA(NS)=   1.26,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.42,PGV(SUM)=   0.07
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist=  91.96,BAZ=168.89,PGA(V)=   1.18,PGA(NS)=   2.24,PGA(EW)=   2.42,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.17
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  92.76,BAZ= 71.79,PGA(V)=   1.45,PGA(NS)=   3.82,PGA(EW)=   6.68,PGV(V)=   0.12,PGV(NS)=   0.29,PGV(EW)=   0.55,Int= 2級,PGA(SUM)=   6.67,PGV(SUM)=   0.57
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist=  92.79,BAZ=110.00,PGA(V)=   2.39,PGA(NS)=   2.81,PGA(EW)=   1.51,PGV(V)=   0.11,PGV(NS)=   0.17,PGV(EW)=   0.21,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.25
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist=  94.28,BAZ=124.94,PGA(V)=   1.25,PGA(NS)=   1.72,PGA(EW)=   1.57,PGV(V)=   0.11,PGV(NS)=   0.13,PGV(EW)=   0.17,Int= 1級,PGA(SUM)=   2.14,PGV(SUM)=   0.17
Stacode=NFF ,Staname=五峰  ,Stalon=121.12,Stalat=24.63,Dist=  95.79,BAZ=153.33,PGA(V)=   0.60,PGA(NS)=   0.88,PGA(EW)=   1.01,PGV(V)=   0.06,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.08
Stacode=TWE ,Staname=內城  ,Stalon=121.68,Stalat=24.72,Dist=  96.23,BAZ=188.60,PGA(V)=   0.90,PGA(NS)=   1.91,PGA(EW)=   1.69,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.22,PGV(SUM)=   0.16
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  98.51,BAZ= 96.55,PGA(V)=   2.57,PGA(NS)=   5.88,PGA(EW)=   3.15,PGV(V)=   0.19,PGV(NS)=   0.41,PGV(EW)=   0.31,Int= 2級,PGA(SUM)=   4.37,PGV(SUM)=   0.49
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  99.66,BAZ=128.12,PGA(V)=   0.80,PGA(NS)=   1.18,PGA(EW)=   0.97,PGV(V)=   0.11,PGV(NS)=   0.15,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.16
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 100.82,BAZ= 78.94,PGA(V)=   1.15,PGA(NS)=   3.89,PGA(EW)=   2.35,PGV(V)=   0.14,PGV(NS)=   0.46,PGV(EW)=   0.26,Int= 2級,PGA(SUM)=   4.12,PGV(SUM)=   0.47
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 101.03,BAZ=147.65,PGA(V)=   0.70,PGA(NS)=   1.12,PGA(EW)=   1.35,PGV(V)=   0.07,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.61,PGV(SUM)=   0.11
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 101.12,BAZ= 13.87,PGA(V)=   1.19,PGA(NS)=   2.04,PGA(EW)=   2.46,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.19
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 102.24,BAZ=148.58,PGA(V)=   0.80,PGA(NS)=   1.51,PGA(EW)=   1.07,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.49,PGV(SUM)=   0.10
