Origin Time:2022/03/23 05:41:08
Lon:121.42°E
Lat:23.33°N
Depth:19.3km
Mag:5.0
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 117.03,AZ=320.27,PGA(V)=   0.34,PGA(NS)=   0.87,PGA(EW)=   0.80,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 117.65,AZ=259.31,PGA(V)=   0.54,PGA(NS)=   0.80,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.10
Stacode=WCH2,Staname=彰化市,Stalon=120.54,Stalat=24.06,Dist= 120.95,AZ=311.97,PGA(V)=   1.91,PGA(NS)=   1.96,PGA(EW)=   2.14,PGV(V)=   0.07,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.10
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 122.21,AZ=270.75,PGA(V)=   0.51,PGA(NS)=   1.24,PGA(EW)=   1.72,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.09
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 122.37,AZ=358.26,PGA(V)=   0.49,PGA(NS)=   0.77,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.05
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 123.40,AZ=279.80,PGA(V)=   0.32,PGA(NS)=   0.95,PGA(EW)=   0.77,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.07
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist= 123.43,AZ=300.74,PGA(V)=   0.70,PGA(NS)=   0.74,PGA(EW)=   0.82,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.00,PGV(SUM)=   0.05
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 125.69,AZ= 15.56,PGA(V)=   0.34,PGA(NS)=   1.07,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 125.91,AZ=285.48,PGA(V)=   0.48,PGA(NS)=   0.60,PGA(EW)=   0.88,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.05
Stacode=SNJ ,Staname=楠梓  ,Stalon=120.34,Stalat=22.75,Dist= 128.18,AZ=239.94,PGA(V)=   0.81,PGA(NS)=   1.00,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.10
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 128.51,AZ= 16.60,PGA(V)=   0.55,PGA(NS)=   0.90,PGA(EW)=   0.92,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 129.21,AZ=296.95,PGA(V)=   0.33,PGA(NS)=   0.80,PGA(EW)=   0.57,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.81,PGV(SUM)=   0.05
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.77,Stalat=24.35,Dist= 130.04,AZ=329.68,PGA(V)=   0.48,PGA(NS)=   0.72,PGA(EW)=   0.64,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.04
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 136.99,AZ=318.28,PGA(V)=   0.78,PGA(NS)=   1.12,PGA(EW)=   0.83,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.06
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 137.78,AZ=261.39,PGA(V)=   0.25,PGA(NS)=   0.84,PGA(EW)=   0.53,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.96,PGV(SUM)=   0.06
