Origin Time:2023/04/07 18:36:31
Lon:121.36¢XE
Lat:23.20¢XN
Depth:17.1km
Mag:4.7
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 101.39,BAZ=137.95,PGA(V)=   0.44,PGA(NS)=   0.88,PGA(EW)=   1.14,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.16,PGV(SUM)=   0.06
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist= 101.47,BAZ=124.43,PGA(V)=   0.52,PGA(NS)=   1.53,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.68,PGV(SUM)=   0.14
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 104.74,BAZ=138.68,PGA(V)=   0.55,PGA(NS)=   0.65,PGA(EW)=   0.50,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.05
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist= 105.23,BAZ= 79.36,PGA(V)=   0.29,PGA(NS)=   0.59,PGA(EW)=   0.87,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.08
Stacode=ETLH,Staname=¦èÄ_  ,Stalon=121.48,Stalat=24.21,Dist= 112.57,BAZ=186.45,PGA(V)=   0.61,PGA(NS)=   0.79,PGA(EW)=   0.70,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.80,PGV(SUM)=   0.03
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 112.95,BAZ=118.76,PGA(V)=   0.55,PGA(NS)=   0.68,PGA(EW)=   0.84,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.09
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist= 115.76,BAZ= 64.89,PGA(V)=   0.51,PGA(NS)=   0.92,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.09
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 115.99,BAZ=136.81,PGA(V)=   0.58,PGA(NS)=   1.30,PGA(EW)=   1.30,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.35,PGV(SUM)=   0.09
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 117.30,BAZ= 98.17,PGA(V)=   0.31,PGA(NS)=   1.71,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.14,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.78,PGV(SUM)=   0.17
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 121.01,BAZ=107.35,PGA(V)=   0.22,PGA(NS)=   1.33,PGA(EW)=   0.69,PGV(V)=   0.01,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.06
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 125.11,BAZ=112.89,PGA(V)=   0.37,PGA(NS)=   1.20,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 126.92,BAZ=128.01,PGA(V)=   0.50,PGA(NS)=   1.03,PGA(EW)=   1.37,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.13,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.16
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 127.31,BAZ=140.16,PGA(V)=   0.56,PGA(NS)=   1.38,PGA(EW)=   1.15,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.05
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 130.04,BAZ=350.88,PGA(V)=   0.40,PGA(NS)=   1.39,PGA(EW)=   1.02,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.07
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 131.62,BAZ=124.02,PGA(V)=   0.28,PGA(NS)=   0.74,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.07
