Origin Time:2023/12/02 06:27:30
Lon:121.44°E
Lat:23.42°N
Depth:23.8km
Mag:4.9
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist=  93.42,BAZ=108.33,PGA(V)=   0.47,PGA(NS)=   1.23,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.10
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  93.88,BAZ=167.77,PGA(V)=   0.34,PGA(NS)=   0.88,PGA(EW)=   1.03,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.03
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  94.40,BAZ=124.92,PGA(V)=   1.03,PGA(NS)=   1.71,PGA(EW)=   1.39,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.93,PGV(SUM)=   0.10
Stacode=SGS ,Staname=甲仙  ,Stalon=120.59,Stalat=23.08,Dist=  94.55,BAZ= 66.62,PGA(V)=   0.29,PGA(NS)=   0.91,PGA(EW)=   0.59,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist=  96.20,BAZ=162.93,PGA(V)=   0.33,PGA(NS)=   0.88,PGA(EW)=   0.53,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.90,PGV(SUM)=   0.05
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.18,Dist=  96.66,BAZ= 74.43,PGA(V)=   0.58,PGA(NS)=   1.15,PGA(EW)=   0.89,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.09
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.27,Dist=  97.53,BAZ= 79.92,PGA(V)=   0.54,PGA(NS)=   0.75,PGA(EW)=   0.67,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist=  97.58,BAZ=109.61,PGA(V)=   0.42,PGA(NS)=   0.98,PGA(EW)=   1.22,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.07
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist=  99.32,BAZ= 97.22,PGA(V)=   0.70,PGA(NS)=   1.51,PGA(EW)=   1.62,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.60,PGV(SUM)=   0.10
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 103.18,BAZ= 94.75,PGA(V)=   0.43,PGA(NS)=   0.88,PGA(EW)=   0.98,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.22,PGV(SUM)=   0.09
Stacode=EAH ,Staname=澳花  ,Stalon=121.74,Stalat=24.33,Dist= 105.34,BAZ=196.88,PGA(V)=   0.47,PGA(NS)=   0.86,PGA(EW)=   0.72,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.11,PGV(SUM)=   0.05
