Origin Time:2024/05/30 23:52:17
Lon:121.65¢XE
Lat:23.96¢XN
Depth:37.5km
Mag:5.0
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  83.77,BAZ=159.99,PGA(V)=   0.55,PGA(NS)=   1.05,PGA(EW)=   1.46,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.42,PGV(SUM)=   0.08
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  86.29,BAZ= 69.97,PGA(V)=   0.44,PGA(NS)=   0.97,PGA(EW)=   0.73,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.05
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  87.86,BAZ= 53.15,PGA(V)=   0.45,PGA(NS)=   1.54,PGA(EW)=   1.44,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.90,PGV(SUM)=   0.10
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  89.36,BAZ=187.00,PGA(V)=   0.71,PGA(NS)=   1.10,PGA(EW)=   1.14,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.15,PGV(SUM)=   0.07
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  91.63,BAZ=143.95,PGA(V)=   0.51,PGA(NS)=   0.74,PGA(EW)=   0.64,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.83,PGV(SUM)=   0.04
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  92.07,BAZ= 23.18,PGA(V)=   0.35,PGA(NS)=   0.66,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.05
Stacode=B219,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist=  97.00,BAZ= 95.18,PGA(V)=   0.82,PGA(NS)=   1.99,PGA(EW)=   1.57,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.80,PGV(SUM)=   0.12
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  97.84,BAZ= 84.39,PGA(V)=   0.41,PGA(NS)=   1.00,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.02
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.78,Stalat=24.35,Dist=  97.91,BAZ=115.71,PGA(V)=   0.67,PGA(NS)=   0.95,PGA(EW)=   0.77,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.07
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist=  98.36,BAZ=138.65,PGA(V)=   0.46,PGA(NS)=   1.29,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.58,PGV(SUM)=   0.09
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist=  99.30,BAZ=139.70,PGA(V)=   0.44,PGA(NS)=   0.93,PGA(EW)=   1.03,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.05,PGV(SUM)=   0.05
Stacode=CHK ,Staname=¦¨¥\  ,Stalon=121.37,Stalat=23.10,Dist=  99.87,BAZ= 16.38,PGA(V)=   0.57,PGA(NS)=   1.20,PGA(EW)=   1.44,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.36,PGV(SUM)=   0.05
Stacode=TCU ,Staname=»O¤¤¥«,Stalon=120.68,Stalat=24.15,Dist= 100.19,BAZ=101.65,PGA(V)=   0.56,PGA(NS)=   1.46,PGA(EW)=   1.07,PGV(V)=   0.01,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.39,PGV(SUM)=   0.08
Stacode=NTC ,Staname=ÀY«°  ,Stalon=121.83,Stalat=24.85,Dist= 100.33,BAZ=190.55,PGA(V)=   0.45,PGA(NS)=   1.02,PGA(EW)=   1.28,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.41,PGV(SUM)=   0.08
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 102.18,BAZ=151.94,PGA(V)=   0.72,PGA(NS)=   2.06,PGA(EW)=   2.18,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 1¯Å,PGA(SUM)=   2.33,PGV(SUM)=   0.18
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 102.78,BAZ=146.38,PGA(V)=   1.05,PGA(NS)=   3.90,PGA(EW)=   4.68,PGV(V)=   0.04,PGV(NS)=   0.20,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   5.06,PGV(SUM)=   0.21
Stacode=NML ,Staname=­]®ß¥«,Stalon=120.83,Stalat=24.56,Dist= 106.91,BAZ=128.58,PGA(V)=   0.45,PGA(NS)=   1.18,PGA(EW)=   1.26,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.59,PGV(SUM)=   0.08
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 107.03,BAZ= 67.76,PGA(V)=   0.34,PGA(NS)=   0.93,PGA(EW)=   1.06,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.08
Stacode=B011,Staname=¤j·Ë  ,Stalon=121.29,Stalat=24.88,Dist= 108.46,BAZ=160.18,PGA(V)=   0.49,PGA(NS)=   0.97,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.05
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 108.80,BAZ= 89.85,PGA(V)=   1.08,PGA(NS)=   1.84,PGA(EW)=   1.43,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   2.01,PGV(SUM)=   0.11
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 111.10,BAZ=173.51,PGA(V)=   0.61,PGA(NS)=   1.62,PGA(EW)=   1.30,PGV(V)=   0.02,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.80,PGV(SUM)=   0.08
Stacode=WCHH,Staname=¹ü¤Æ¥«,Stalon=120.56,Stalat=24.08,Dist= 111.71,BAZ= 96.63,PGA(V)=   1.57,PGA(NS)=   3.75,PGA(EW)=   3.60,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 2¯Å,PGA(SUM)=   2.91,PGV(SUM)=   0.12
Stacode=NJN ,Staname=¦Ë«n  ,Stalon=120.87,Stalat=24.68,Dist= 112.32,BAZ=135.28,PGA(V)=   0.44,PGA(NS)=   1.29,PGA(EW)=   1.02,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.09
