Origin Time:2024/07/26 21:49:09
Lon:120.68¢XE
Lat:22.85¢XN
Depth:17.4km
Mag:4.6
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  73.57,BAZ=238.23,PGA(V)=   0.25,PGA(NS)=   0.87,PGA(EW)=   0.61,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.94,PGV(SUM)=   0.04
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist=  74.22,BAZ=190.31,PGA(V)=   0.38,PGA(NS)=   0.84,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.06,PGV(SUM)=   0.08
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  76.12,BAZ=201.77,PGA(V)=   0.44,PGA(NS)=   1.00,PGA(EW)=   1.37,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.57,PGV(SUM)=   0.09
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  76.16,BAZ=160.27,PGA(V)=   1.07,PGA(NS)=   3.69,PGA(EW)=   2.06,PGV(V)=   0.04,PGV(NS)=   0.17,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   4.13,PGV(SUM)=   0.18
Stacode=CHY1,Staname=¤Ó«O¥«,Stalon=120.29,Stalat=23.46,Dist=  78.27,BAZ=149.34,PGA(V)=   1.05,PGA(NS)=   3.09,PGA(EW)=   2.06,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.06,Int= 2¯Å,PGA(SUM)=   2.78,PGV(SUM)=   0.08
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  78.60,BAZ=164.19,PGA(V)=   0.92,PGA(NS)=   1.57,PGA(EW)=   1.82,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   2.07,PGV(SUM)=   0.11
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist=  87.99,BAZ=147.97,PGA(V)=   0.50,PGA(NS)=   1.08,PGA(EW)=   0.90,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.04
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist=  93.24,BAZ=172.85,PGA(V)=   0.38,PGA(NS)=   0.79,PGA(EW)=   1.36,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.38,PGV(SUM)=   0.05
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  97.04,BAZ=171.20,PGA(V)=   0.54,PGA(NS)=   1.00,PGA(EW)=   0.94,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.06
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist=  97.65,BAZ=161.99,PGA(V)=   0.75,PGA(NS)=   2.66,PGA(EW)=   2.84,PGV(V)=   0.02,PGV(NS)=   0.10,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   3.71,PGV(SUM)=   0.12
Stacode=C092,Staname=¦èÁ³  ,Stalon=120.49,Stalat=23.79,Dist= 106.03,BAZ=169.02,PGA(V)=   0.55,PGA(NS)=   0.85,PGA(EW)=   0.75,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.04
Stacode=WML ,Staname=³Á¼d  ,Stalon=120.22,Stalat=23.80,Dist= 115.81,BAZ=156.01,PGA(V)=   0.50,PGA(NS)=   0.66,PGA(EW)=   0.68,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.03
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 119.18,BAZ=160.22,PGA(V)=   0.32,PGA(NS)=   0.83,PGA(EW)=   0.67,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.03
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 120.79,BAZ=165.01,PGA(V)=   1.01,PGA(NS)=   1.38,PGA(EW)=   1.27,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.07
Stacode=B112,Staname=³À´ä  ,Stalon=120.43,Stalat=24.06,Dist= 136.07,BAZ=169.03,PGA(V)=   0.41,PGA(NS)=   0.72,PGA(EW)=   0.73,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.06
