Origin Time:2016/05/12 11:17:15
Lon:121.98°E
Lat:24.69°N
Depth:8.9km
Mag:6.1
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 163.57,AZ= 60.32,PGA(V)=   1.79,PGA(NS)=   4.31,PGA(EW)=   4.97
Stacode=WES ,Staname=二水  ,Stalon=120.62,Stalat=23.81,Dist= 169.29,AZ= 54.81,PGA(V)=   1.14,PGA(NS)=   2.51,PGA(EW)=   1.50
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 176.80,AZ= 42.15,PGA(V)=   1.20,PGA(NS)=   2.27,PGA(EW)=   2.51
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 179.53,AZ= 47.53,PGA(V)=   2.03,PGA(NS)=   3.29,PGA(EW)=   4.13
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 181.57,AZ= 52.09,PGA(V)=   1.56,PGA(NS)=   4.55,PGA(EW)=   2.99
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.72,Dist= 182.09,AZ= 53.55,PGA(V)=   1.56,PGA(NS)=   3.05,PGA(EW)=   4.37
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist= 187.08,AZ= 19.31,PGA(V)=   0.60,PGA(NS)=   1.08,PGA(EW)=   1.14
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist= 192.95,AZ= 30.26,PGA(V)=   0.60,PGA(NS)=   0.78,PGA(EW)=   0.84
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist= 193.06,AZ= 23.67,PGA(V)=   1.08,PGA(NS)=   1.08,PGA(EW)=   1.26
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 194.79,AZ= 61.83,PGA(V)=   0.78,PGA(NS)=   2.21,PGA(EW)=   2.03
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist= 202.56,AZ= 19.86,PGA(V)=   0.48,PGA(NS)=   0.96,PGA(EW)=   1.02
Stacode=CHN4,Staname=草山  ,Stalon=120.59,Stalat=23.35,Dist= 204.77,AZ= 43.53,PGA(V)=   1.26,PGA(NS)=   3.05,PGA(EW)=   2.81
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 205.67,AZ= 49.91,PGA(V)=   1.32,PGA(NS)=   2.69,PGA(EW)=   3.17
Stacode=STY ,Staname=桃源  ,Stalon=120.77,Stalat=23.16,Dist= 209.86,AZ= 36.09,PGA(V)=   0.60,PGA(NS)=   1.02,PGA(EW)=   0.78
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 212.85,AZ= 56.68,PGA(V)=   0.96,PGA(NS)=   2.69,PGA(EW)=   3.89
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 218.25,AZ= 43.56,PGA(V)=   0.48,PGA(NS)=   1.02,PGA(EW)=   1.32
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 221.91,AZ= 52.90,PGA(V)=   0.66,PGA(NS)=   2.45,PGA(EW)=   2.27
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 222.91,AZ= 41.52,PGA(V)=   0.66,PGA(NS)=   1.14,PGA(EW)=   0.96
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist= 230.72,AZ= 21.40,PGA(V)=   0.48,PGA(NS)=   1.02,PGA(EW)=   0.96
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 243.13,AZ= 42.58,PGA(V)=   0.60,PGA(NS)=   1.38,PGA(EW)=   1.02
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 247.10,AZ= 47.11,PGA(V)=   0.60,PGA(NS)=   1.68,PGA(EW)=   2.09
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 255.12,AZ= 44.11,PGA(V)=   0.42,PGA(NS)=   1.56,PGA(EW)=   1.50
Stacode=TWM1,Staname=旗山  ,Stalon=120.43,Stalat=22.82,Dist= 260.49,AZ= 37.33,PGA(V)=   0.30,PGA(NS)=   1.14,PGA(EW)=   0.90
Stacode=TAI ,Staname=臺南市,Stalon=120.21,Stalat=22.99,Dist= 260.95,AZ= 43.87,PGA(V)=   0.96,PGA(NS)=   1.20,PGA(EW)=   0.90
Stacode=SGL ,Staname=九如  ,Stalon=120.50,Stalat=22.72,Dist= 265.22,AZ= 34.73,PGA(V)=   0.72,PGA(NS)=   1.44,PGA(EW)=   1.26
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 269.68,AZ= 34.15,PGA(V)=   0.42,PGA(NS)=   0.90,PGA(EW)=   0.72
