Origin Time:2024/04/13 02:44:36
Lon:120.20°E
Lat:23.36°N
Depth:11.2km
Mag:5.0
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  77.03,BAZ=210.03,PGA(V)=   1.80,PGA(NS)=   1.97,PGA(EW)=   2.36,PGV(V)=   0.06,PGV(NS)=   0.08,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.40,PGV(SUM)=   0.14
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  77.94,BAZ=218.76,PGA(V)=   1.26,PGA(NS)=   1.22,PGA(EW)=   1.26,PGV(V)=   0.05,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.44,PGV(SUM)=   0.08
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist=  78.70,BAZ=259.54,PGA(V)=   0.64,PGA(NS)=   1.55,PGA(EW)=   1.57,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.74,PGV(SUM)=   0.08
Stacode=WSS ,Staname=壽山  ,Stalon=120.26,Stalat=22.64,Dist=  79.60,BAZ=355.58,PGA(V)=   1.15,PGA(NS)=   1.50,PGA(EW)=   1.77,PGV(V)=   0.04,PGV(NS)=   0.12,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.99,PGV(SUM)=   0.13
Stacode=B112,Staname=鹿港  ,Stalon=120.43,Stalat=24.06,Dist=  80.61,BAZ=196.78,PGA(V)=   2.51,PGA(NS)=   3.07,PGA(EW)=   1.98,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.46,PGV(SUM)=   0.10
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist=  81.28,BAZ=338.23,PGA(V)=   0.65,PGA(NS)=   1.92,PGA(EW)=   2.63,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.70,PGV(SUM)=   0.17
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist=  81.47,BAZ=326.57,PGA(V)=   0.85,PGA(NS)=   1.13,PGA(EW)=   0.99,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.05
Stacode=KAU1,Staname=高雄市,Stalon=120.31,Stalat=22.59,Dist=  85.37,BAZ=352.75,PGA(V)=   0.57,PGA(NS)=   1.30,PGA(EW)=   1.04,PGV(V)=   0.03,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.12
Stacode=SMG ,Staname=瑪家  ,Stalon=120.64,Stalat=22.71,Dist=  85.37,BAZ=327.90,PGA(V)=   0.52,PGA(NS)=   1.66,PGA(EW)=   0.86,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.06
Stacode=ELD ,Staname=利稻  ,Stalon=121.03,Stalat=23.19,Dist=  86.31,BAZ=282.69,PGA(V)=   1.17,PGA(NS)=   1.35,PGA(EW)=   1.06,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.46,PGV(SUM)=   0.06
Stacode=WCHH,Staname=彰化市,Stalon=120.56,Stalat=24.08,Dist=  87.74,BAZ=204.45,PGA(V)=   3.69,PGA(NS)=   8.30,PGA(EW)=  10.03,PGV(V)=   0.10,PGV(NS)=   0.20,PGV(EW)=   0.17,Int= 3級,PGA(SUM)=   8.99,PGV(SUM)=   0.20
Stacode=B219,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist=  91.14,BAZ=213.82,PGA(V)=   1.96,PGA(NS)=   3.91,PGA(EW)=   4.14,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.13,Int= 2級,PGA(SUM)=   4.66,PGV(SUM)=   0.13
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  92.45,BAZ=231.21,PGA(V)=   0.45,PGA(NS)=   1.10,PGA(EW)=   1.34,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.09
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 100.09,BAZ=209.41,PGA(V)=   0.81,PGA(NS)=   1.58,PGA(EW)=   1.65,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.06
Stacode=D033,Staname=東港  ,Stalon=120.46,Stalat=22.46,Dist= 102.72,BAZ=345.04,PGA(V)=   0.48,PGA(NS)=   0.82,PGA(EW)=   1.01,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.09
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist= 103.90,BAZ=338.81,PGA(V)=   0.27,PGA(NS)=   0.65,PGA(EW)=   0.80,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.08
Stacode=WWC ,Staname=梧棲  ,Stalon=120.52,Stalat=24.26,Dist= 104.74,BAZ=198.22,PGA(V)=   1.85,PGA(NS)=   1.68,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.76,PGV(SUM)=   0.09
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist= 105.32,BAZ=282.73,PGA(V)=   0.60,PGA(NS)=   1.35,PGA(EW)=   0.79,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.05
