Origin Time:2025/02/04 16:19:18
Lon:121.74°E
Lat:24.41°N
Depth:62.0km
Mag:4.8
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist=  76.39,BAZ= 48.24,PGA(V)=   1.12,PGA(NS)=   1.79,PGA(EW)=   1.33,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.28,PGV(SUM)=   0.04
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist=  77.42,BAZ=109.47,PGA(V)=   0.38,PGA(NS)=   1.49,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.25,PGV(SUM)=   0.04
Stacode=NTY ,Staname=桃園市,Stalon=121.30,Stalat=25.00,Dist=  78.64,BAZ=145.61,PGA(V)=   0.78,PGA(NS)=   1.25,PGA(EW)=   1.71,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.45,PGV(SUM)=   0.06
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist=  80.53,BAZ= 13.81,PGA(V)=   0.80,PGA(NS)=   1.36,PGA(EW)=   1.27,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.03
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist=  81.65,BAZ= 79.36,PGA(V)=   1.47,PGA(NS)=   0.88,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.17,PGV(SUM)=   0.04
Stacode=TWS1,Staname=五股  ,Stalon=121.42,Stalat=25.10,Dist=  82.49,BAZ=157.41,PGA(V)=   0.48,PGA(NS)=   1.03,PGA(EW)=   1.18,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.03
Stacode=NTS ,Staname=淡水  ,Stalon=121.45,Stalat=25.16,Dist=  88.07,BAZ=160.73,PGA(V)=   0.60,PGA(NS)=   1.07,PGA(EW)=   0.85,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  88.29,BAZ= 20.86,PGA(V)=   0.99,PGA(NS)=   1.28,PGA(EW)=   1.61,PGV(V)=   0.02,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.23,PGV(SUM)=   0.03
Stacode=NJN ,Staname=竹南  ,Stalon=120.87,Stalat=24.68,Dist=  92.71,BAZ=108.80,PGA(V)=   0.43,PGA(NS)=   0.63,PGA(EW)=   0.61,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.80,PGV(SUM)=   0.03
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist=  95.78,BAZ=133.29,PGA(V)=   0.51,PGA(NS)=   2.27,PGA(EW)=   2.22,PGV(V)=   0.01,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.98,PGV(SUM)=   0.05
