Origin Time:2022/11/15 19:53:21
Lon:121.03¢XE
Lat:22.40¢XN
Depth:10.6km
Mag:5.1
Stacode=CHN1,Staname=·£¦è  ,Stalon=120.53,Stalat=23.19,Dist= 100.63,BAZ=149.48,PGA(V)=   0.37,PGA(NS)=   0.89,PGA(EW)=   0.62,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.08
Stacode=WTP ,Staname=¤j®H  ,Stalon=120.62,Stalat=23.24,Dist= 102.01,BAZ=156.01,PGA(V)=   0.42,PGA(NS)=   0.89,PGA(EW)=   0.63,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.01,PGV(SUM)=   0.10
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist= 107.42,BAZ=130.95,PGA(V)=   0.30,PGA(NS)=   0.79,PGA(EW)=   0.84,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   0.88,PGV(SUM)=   0.14
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist= 107.57,BAZ=127.63,PGA(V)=   0.48,PGA(NS)=   1.57,PGA(EW)=   1.58,PGV(V)=   0.03,PGV(NS)=   0.21,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.61,PGV(SUM)=   0.22
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist= 111.13,BAZ=136.99,PGA(V)=   0.35,PGA(NS)=   0.89,PGA(EW)=   0.79,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   0.91,PGV(SUM)=   0.14
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 120.26,BAZ=135.25,PGA(V)=   0.36,PGA(NS)=   1.53,PGA(EW)=   0.75,PGV(V)=   0.03,PGV(NS)=   0.13,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.54,PGV(SUM)=   0.13
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 120.37,BAZ=176.72,PGA(V)=   0.25,PGA(NS)=   0.42,PGA(EW)=   0.81,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.89,PGV(SUM)=   0.09
Stacode=WCKO,Staname=µf¸ô  ,Stalon=120.60,Stalat=23.44,Dist= 122.64,BAZ=159.35,PGA(V)=   0.48,PGA(NS)=   1.36,PGA(EW)=   0.85,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.40,PGV(SUM)=   0.13
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 124.42,BAZ=169.89,PGA(V)=   0.41,PGA(NS)=   0.79,PGA(EW)=   0.66,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.10
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist= 135.61,BAZ=153.32,PGA(V)=   0.29,PGA(NS)=   0.80,PGA(EW)=   0.75,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.84,PGV(SUM)=   0.11
Stacode=CHN5,Staname=¯óÀ­  ,Stalon=120.68,Stalat=23.60,Dist= 137.09,BAZ=164.89,PGA(V)=   0.45,PGA(NS)=   1.30,PGA(EW)=   1.03,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.30,PGV(SUM)=   0.13
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist= 137.31,BAZ=155.66,PGA(V)=   0.54,PGA(NS)=   0.76,PGA(EW)=   1.10,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.10,PGV(SUM)=   0.11
Stacode=WGK ,Staname=¥j§|  ,Stalon=120.57,Stalat=23.68,Dist= 149.49,BAZ=161.78,PGA(V)=   0.31,PGA(NS)=   0.49,PGA(EW)=   0.73,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   0.81,PGV(SUM)=   0.12
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 156.64,BAZ=155.34,PGA(V)=   0.26,PGA(NS)=   0.52,PGA(EW)=   0.78,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.82,PGV(SUM)=   0.08
