Origin Time:2020/06/11 09:38:26
Lon:122.39°E
Lat:24.50°N
Depth:90.8km
Mag:5.4
Stacode=NCU ,Staname=中壢  ,Stalon=121.19,Stalat=24.97,Dist= 131.16,AZ=113.25,PGA(V)=   1.52,PGA(NS)=   1.68,PGA(EW)=   1.27,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.68,PGV(SUM)=   0.07
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist= 134.03,AZ= 46.63,PGA(V)=   1.47,PGA(NS)=   2.22,PGA(EW)=   2.94,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.34,PGV(SUM)=   0.06
Stacode=OWD ,Staname=奧萬大,Stalon=121.18,Stalat=23.95,Dist= 136.91,AZ= 63.82,PGA(V)=   1.74,PGA(NS)=   2.19,PGA(EW)=   2.03,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.05,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.08
Stacode=LIOB,Staname=峨眉  ,Stalon=121.02,Stalat=24.65,Dist= 139.66,AZ= 96.70,PGA(V)=   0.89,PGA(NS)=   1.61,PGA(EW)=   1.11,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.04
Stacode=NST ,Staname=南庄  ,Stalon=121.01,Stalat=24.63,Dist= 140.22,AZ= 95.88,PGA(V)=   1.05,PGA(NS)=   0.88,PGA(EW)=   0.74,PGV(V)=   0.03,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.03
Stacode=NHW ,Staname=新屋  ,Stalon=121.05,Stalat=25.01,Dist= 146.53,AZ=112.53,PGA(V)=   0.50,PGA(NS)=   2.87,PGA(EW)=   3.22,PGV(V)=   0.01,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   3.35,PGV(SUM)=   0.12
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 148.11,AZ= 80.44,PGA(V)=   1.45,PGA(NS)=   0.97,PGA(EW)=   0.91,PGV(V)=   0.05,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.05
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist= 153.97,AZ= 44.24,PGA(V)=   0.64,PGA(NS)=   1.20,PGA(EW)=   1.46,PGV(V)=   0.01,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   1.08,PGV(SUM)=   0.03
Stacode=NMLH,Staname=苗栗市,Stalon=120.79,Stalat=24.54,Dist= 161.64,AZ= 91.47,PGA(V)=   1.54,PGA(NS)=   1.05,PGA(EW)=   1.17,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.16,PGV(SUM)=   0.04
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 164.98,AZ= 65.47,PGA(V)=   0.58,PGA(NS)=   0.81,PGA(EW)=   1.09,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.18,PGV(SUM)=   0.07
