Origin Time:2015/10/13 19:49:04
Lon:121.65°E
Lat:23.48°N
Depth:49.1km
Mag:5.5
Stacode=NSD ,Staname=獅潭  ,Stalon=120.92,Stalat=24.54,Dist= 138.32,AZ=147.69,PGA(V)=   0.42,PGA(NS)=   0.84,PGA(EW)=   1.14
Stacode=CHN3,Staname=新化  ,Stalon=120.36,Stalat=23.08,Dist= 138.82,AZ= 70.96,PGA(V)=   1.44,PGA(NS)=   5.50,PGA(EW)=   3.77
Stacode=CHN7,Staname=六腳  ,Stalon=120.24,Stalat=23.48,Dist= 143.81,AZ= 89.95,PGA(V)=   0.90,PGA(NS)=   3.11,PGA(EW)=   2.09
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 144.27,AZ= 74.49,PGA(V)=   1.20,PGA(NS)=   2.75,PGA(EW)=   3.05
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist= 144.71,AZ=106.77,PGA(V)=   1.68,PGA(NS)=   3.71,PGA(EW)=   3.71
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 145.69,AZ= 96.63,PGA(V)=   0.84,PGA(NS)=   2.33,PGA(EW)=   2.39
Stacode=TAW ,Staname=大武  ,Stalon=120.90,Stalat=22.36,Dist= 146.44,AZ= 31.40,PGA(V)=   0.72,PGA(NS)=   1.38,PGA(EW)=   1.08
Stacode=EAS ,Staname=安朔  ,Stalon=120.86,Stalat=22.38,Dist= 146.63,AZ= 33.57,PGA(V)=   0.60,PGA(NS)=   1.20,PGA(EW)=   1.26
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 148.06,AZ= 52.83,PGA(V)=   0.90,PGA(NS)=   2.33,PGA(EW)=   1.97
Stacode=NJD ,Staname=竹東  ,Stalon=121.09,Stalat=24.74,Dist= 149.80,AZ=157.69,PGA(V)=   0.72,PGA(NS)=   2.15,PGA(EW)=   1.62
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 151.80,AZ= 76.89,PGA(V)=   0.54,PGA(NS)=   2.45,PGA(EW)=   2.69
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 152.57,AZ= 71.09,PGA(V)=   0.84,PGA(NS)=   2.33,PGA(EW)=   1.97
