Origin Time:2023/11/21 01:16:35
Lon:120.86°E
Lat:23.82°N
Depth:28.9km
Mag:4.6
Stacode=EHY ,Staname=紅葉  ,Stalon=121.33,Stalat=23.50,Dist=  59.55,BAZ=305.93,PGA(V)=   1.06,PGA(NS)=   0.98,PGA(EW)=   0.95,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.02,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.03
Stacode=ESL ,Staname=西林  ,Stalon=121.44,Stalat=23.81,Dist=  59.55,BAZ=270.78,PGA(V)=   0.56,PGA(NS)=   1.04,PGA(EW)=   0.99,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.84,PGV(SUM)=   0.05
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist=  60.48,BAZ=285.99,PGA(V)=   2.25,PGA(NS)=   1.12,PGA(EW)=   1.38,PGV(V)=   0.04,PGV(NS)=   0.03,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   1.35,PGV(SUM)=   0.04
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist=  61.61,BAZ=219.66,PGA(V)=   0.72,PGA(NS)=   1.55,PGA(EW)=   2.05,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   2.30,PGV(SUM)=   0.09
Stacode=WDJ ,Staname=大甲  ,Stalon=120.64,Stalat=24.35,Dist=  62.55,BAZ=159.36,PGA(V)=   1.20,PGA(NS)=   3.94,PGA(EW)=   4.73,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.69,PGV(SUM)=   0.13
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist=  64.61,BAZ= 88.53,PGA(V)=   3.61,PGA(NS)=   6.01,PGA(EW)=   4.71,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   3.97,PGV(SUM)=   0.14
Stacode=NSY ,Staname=三義  ,Stalon=120.77,Stalat=24.41,Dist=  66.50,BAZ=172.32,PGA(V)=   2.16,PGA(NS)=   2.43,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   2.30,PGV(SUM)=   0.07
Stacode=ETM ,Staname=銅門  ,Stalon=121.49,Stalat=23.97,Dist=  66.73,BAZ=255.92,PGA(V)=   0.79,PGA(NS)=   1.07,PGA(EW)=   1.66,PGV(V)=   0.02,PGV(NS)=   0.03,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   1.55,PGV(SUM)=   0.05
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist=  67.10,BAZ= 72.42,PGA(V)=   5.06,PGA(NS)=  15.03,PGA(EW)=  12.55,PGV(V)=   0.09,PGV(NS)=   0.29,PGV(EW)=   0.22,Int= 3級,PGA(SUM)=  13.99,PGV(SUM)=   0.37
Stacode=WTP ,Staname=大埔  ,Stalon=120.62,Stalat=23.24,Dist=  68.10,BAZ= 20.62,PGA(V)=   0.23,PGA(NS)=   1.14,PGA(EW)=   1.33,PGV(V)=   0.01,PGV(NS)=   0.02,PGV(EW)=   0.03,Int= 1級,PGA(SUM)=   0.97,PGV(SUM)=   0.03
