Origin Time:2024/04/17 17:17:10
Lon:121.66¢XE
Lat:23.92¢XN
Depth:33.8km
Mag:5.4
Stacode=ENT ,Staname=¤û°«  ,Stalon=121.57,Stalat=24.64,Dist=  79.56,BAZ=173.94,PGA(V)=   1.46,PGA(NS)=   5.58,PGA(EW)=   4.09,PGV(V)=   0.03,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   5.29,PGV(SUM)=   0.14
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist=  80.12,BAZ= 88.53,PGA(V)=   0.51,PGA(NS)=   0.98,PGA(EW)=   0.86,PGV(V)=   0.07,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   0.95,PGV(SUM)=   0.09
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist=  82.21,BAZ=118.50,PGA(V)=   1.34,PGA(NS)=   2.41,PGA(EW)=   2.78,PGV(V)=   0.10,PGV(NS)=   0.11,PGV(EW)=   0.18,Int= 2¯Å,PGA(SUM)=   3.14,PGV(SUM)=   0.18
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist=  85.63,BAZ= 72.90,PGA(V)=   1.25,PGA(NS)=   2.34,PGA(EW)=   2.91,PGV(V)=   0.13,PGV(NS)=   0.14,PGV(EW)=   0.24,Int= 2¯Å,PGA(SUM)=   2.97,PGV(SUM)=   0.27
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist=  85.95,BAZ= 55.80,PGA(V)=   2.32,PGA(NS)=   6.64,PGA(EW)=   7.83,PGV(V)=   0.12,PGV(NS)=   0.39,PGV(EW)=   0.50,Int= 3¯Å,PGA(SUM)=   8.51,PGV(SUM)=   0.51
Stacode=TWE ,Staname=¤º«°  ,Stalon=121.68,Stalat=24.72,Dist=  88.05,BAZ=181.74,PGA(V)=   0.86,PGA(NS)=   1.11,PGA(EW)=   1.08,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.11,PGV(SUM)=   0.07
Stacode=NSK ,Staname=¤T¥ú  ,Stalon=121.37,Stalat=24.67,Dist=  88.15,BAZ=160.50,PGA(V)=   0.58,PGA(NS)=   1.60,PGA(EW)=   1.75,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.74,PGV(SUM)=   0.08
Stacode=FULB,Staname=´I¨½  ,Stalon=121.29,Stalat=23.20,Dist=  88.38,BAZ= 24.76,PGA(V)=   1.66,PGA(NS)=   3.94,PGA(EW)=   4.33,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   4.38,PGV(SUM)=   0.18
Stacode=ILA ,Staname=©yÄõ¥«,Stalon=121.76,Stalat=24.76,Dist=  93.62,BAZ=186.21,PGA(V)=   0.79,PGA(NS)=   1.42,PGA(EW)=   1.24,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.47,PGV(SUM)=   0.10
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  95.24,BAZ= 83.21,PGA(V)=   0.83,PGA(NS)=   1.46,PGA(EW)=   1.70,PGV(V)=   0.09,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.13
