Origin Time:2023/10/11 18:36:57
Lon:121.24°E
Lat:23.27°N
Depth:14.5km
Mag:5.8
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=   9.74,BAZ=328.37,PGA(V)= 163.69,PGA(NS)= 293.93,PGA(EW)= 543.52,PGV(V)=   6.59,PGV(NS)=  16.72,PGV(EW)=  27.98,Int= 5弱,PGA(SUM)= 554.30,PGV(SUM)=  29.59
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist=  98.67,BAZ=117.69,PGA(V)=   1.36,PGA(NS)=   5.39,PGA(EW)=   3.68,PGV(V)=   0.32,PGV(NS)=   1.17,PGV(EW)=   0.84,Int= 2級,PGA(SUM)=   5.69,PGV(SUM)=   1.20
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist=  99.01,BAZ= 81.15,PGA(V)=   1.26,PGA(NS)=   6.25,PGA(EW)=   3.82,PGV(V)=   0.18,PGV(NS)=   0.84,PGV(EW)=   0.59,Int= 2級,PGA(SUM)=   6.72,PGV(SUM)=   0.84
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist=  99.23,BAZ=101.81,PGA(V)=   1.98,PGA(NS)=   6.22,PGA(EW)=   3.82,PGV(V)=   0.19,PGV(NS)=   0.77,PGV(EW)=   0.48,Int= 2級,PGA(SUM)=   6.37,PGV(SUM)=   0.80
Stacode=SPT ,Staname=屏東市,Stalon=120.50,Stalat=22.68,Dist= 101.24,BAZ= 49.23,PGA(V)=   0.73,PGA(NS)=   2.63,PGA(EW)=   1.57,PGV(V)=   0.06,PGV(NS)=   0.22,PGV(EW)=   0.17,Int= 2級,PGA(SUM)=   2.77,PGV(SUM)=   0.23
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 101.87,BAZ=138.30,PGA(V)=   4.17,PGA(NS)=   9.03,PGA(EW)=   9.99,PGV(V)=   0.47,PGV(NS)=   1.73,PGV(EW)=   1.35,Int= 3級,PGA(SUM)=  12.63,PGV(SUM)=   2.04
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 104.77,BAZ= 94.46,PGA(V)=   0.69,PGA(NS)=   5.74,PGA(EW)=   4.25,PGV(V)=   0.21,PGV(NS)=   0.84,PGV(EW)=   0.53,Int= 2級,PGA(SUM)=   5.84,PGV(SUM)=   0.84
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 105.36,BAZ=201.51,PGA(V)=   1.64,PGA(NS)=   6.93,PGA(EW)=   4.80,PGV(V)=   0.05,PGV(NS)=   0.26,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   6.75,PGV(SUM)=   0.28
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 106.15,BAZ=193.20,PGA(V)=   8.90,PGA(NS)=  11.60,PGA(EW)=   9.87,PGV(V)=   0.29,PGV(NS)=   0.53,PGV(EW)=   0.36,Int= 3級,PGA(SUM)=  12.24,PGV(SUM)=   0.55
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 106.40,BAZ= 75.80,PGA(V)=   1.16,PGA(NS)=   2.83,PGA(EW)=   2.60,PGV(V)=   0.10,PGV(NS)=   0.43,PGV(EW)=   0.33,Int= 2級,PGA(SUM)=   3.37,PGV(SUM)=   0.50
Stacode=EAS ,Staname=達仁  ,Stalon=120.86,Stalat=22.38,Dist= 106.45,BAZ= 21.94,PGA(V)=   0.63,PGA(NS)=   0.86,PGA(EW)=   0.80,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.06
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 107.22,BAZ= 84.11,PGA(V)=   1.01,PGA(NS)=   4.75,PGA(EW)=   3.06,PGV(V)=   0.11,PGV(NS)=   0.64,PGV(EW)=   0.27,Int= 2級,PGA(SUM)=   4.75,PGV(SUM)=   0.65
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 107.46,BAZ=104.87,PGA(V)=   0.93,PGA(NS)=   6.64,PGA(EW)=   5.11,PGV(V)=   0.11,PGV(NS)=   0.59,PGV(EW)=   0.63,Int= 3級,PGA(SUM)=   8.04,PGV(SUM)=   0.85
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 107.86,BAZ=179.99,PGA(V)=   2.77,PGA(NS)=   4.56,PGA(EW)=   4.91,PGV(V)=   0.26,PGV(NS)=   0.39,PGV(EW)=   0.30,Int= 2級,PGA(SUM)=   5.62,PGV(SUM)=   0.40
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 108.40,BAZ=175.57,PGA(V)=   2.16,PGA(NS)=   5.46,PGA(EW)=   5.67,PGV(V)=   0.14,PGV(NS)=   0.38,PGV(EW)=   0.35,Int= 2級,PGA(SUM)=   6.31,PGV(SUM)=   0.41
Stacode=TAWH,Staname=大武  ,Stalon=120.89,Stalat=22.34,Dist= 109.68,BAZ= 19.46,PGA(V)=   0.47,PGA(NS)=   0.78,PGA(EW)=   0.76,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.05
