Origin Time:2025/01/21 00:26:25
Lon:120.53°E
Lat:23.18°N
Depth:12.7km
Mag:5.0
Stacode=EHD ,Staname=海端  ,Stalon=121.21,Stalat=23.15,Dist=  69.59,BAZ=273.03,PGA(V)=   0.61,PGA(NS)=   1.54,PGA(EW)=   1.36,PGV(V)=   0.04,PGV(NS)=   0.09,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.52,PGV(SUM)=   0.10
Stacode=ECS ,Staname=池上  ,Stalon=121.22,Stalat=23.10,Dist=  71.50,BAZ=277.73,PGA(V)=   0.84,PGA(NS)=   1.17,PGA(EW)=   1.08,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.08
Stacode=WJS ,Staname=竹山  ,Stalon=120.73,Stalat=23.82,Dist=  73.77,BAZ=196.12,PGA(V)=   0.64,PGA(NS)=   1.33,PGA(EW)=   1.58,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   1.62,PGV(SUM)=   0.07
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist=  75.60,BAZ=155.74,PGA(V)=   3.91,PGA(NS)=   4.83,PGA(EW)=   8.50,PGV(V)=   0.12,PGV(NS)=   0.14,PGV(EW)=   0.29,Int= 3級,PGA(SUM)=   8.56,PGV(SUM)=   0.30
Stacode=SSP ,Staname=新埤  ,Stalon=120.57,Stalat=22.48,Dist=  77.46,BAZ=356.90,PGA(V)=   0.45,PGA(NS)=   0.70,PGA(EW)=   0.87,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.87,PGV(SUM)=   0.08
Stacode=FULB,Staname=富里  ,Stalon=121.29,Stalat=23.20,Dist=  78.49,BAZ=268.64,PGA(V)=   0.68,PGA(NS)=   1.89,PGA(EW)=   2.64,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   2.65,PGV(SUM)=   0.16
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist=  78.75,BAZ=192.36,PGA(V)=   1.53,PGA(NS)=   3.40,PGA(EW)=   2.27,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 2級,PGA(SUM)=   2.82,PGV(SUM)=   0.08
Stacode=WTC ,Staname=大城  ,Stalon=120.29,Stalat=23.86,Dist=  79.11,BAZ=162.10,PGA(V)=   1.42,PGA(NS)=   4.71,PGA(EW)=   6.86,PGV(V)=   0.05,PGV(NS)=   0.23,PGV(EW)=   0.40,Int= 2級,PGA(SUM)=   7.81,PGV(SUM)=   0.47
Stacode=D033,Staname=東港  ,Stalon=120.46,Stalat=22.46,Dist=  80.00,BAZ=  4.91,PGA(V)=   1.56,PGA(NS)=   0.96,PGA(EW)=   0.77,PGV(V)=   0.10,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.11
Stacode=TTN ,Staname=臺東市,Stalon=121.15,Stalat=22.75,Dist=  80.03,BAZ=306.49,PGA(V)=   0.29,PGA(NS)=   0.62,PGA(EW)=   0.97,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   0.99,PGV(SUM)=   0.10
Stacode=WRL ,Staname=二林  ,Stalon=120.38,Stalat=23.90,Dist=  81.25,BAZ=169.19,PGA(V)=   5.01,PGA(NS)=   7.66,PGA(EW)=  10.46,PGV(V)=   0.15,PGV(NS)=   0.34,PGV(EW)=   0.32,Int= 3級,PGA(SUM)=  12.31,PGV(SUM)=   0.44
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist=  81.81,BAZ=191.00,PGA(V)=   1.32,PGA(NS)=   1.08,PGA(EW)=   1.00,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.51,PGV(SUM)=   0.06
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  82.88,BAZ=286.26,PGA(V)=   0.38,PGA(NS)=   1.25,PGA(EW)=   1.03,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.07
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist=  83.04,BAZ=257.27,PGA(V)=   0.44,PGA(NS)=   0.87,PGA(EW)=   0.92,PGV(V)=   0.02,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.09,PGV(SUM)=   0.09
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  86.38,BAZ=183.56,PGA(V)=   2.05,PGA(NS)=   1.84,PGA(EW)=   2.63,PGV(V)=   0.07,PGV(NS)=   0.10,PGV(EW)=   0.10,Int= 2級,PGA(SUM)=   2.67,PGV(SUM)=   0.12
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist=  86.66,BAZ=206.66,PGA(V)=   0.45,PGA(NS)=   1.18,PGA(EW)=   1.10,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.32,PGV(SUM)=   0.09
Stacode=CHK ,Staname=成功  ,Stalon=121.37,Stalat=23.10,Dist=  87.11,BAZ=276.15,PGA(V)=   0.34,PGA(NS)=   0.80,PGA(EW)=   0.88,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.05,PGV(SUM)=   0.09
Stacode=TYC ,Staname=魚池  ,Stalon=120.87,Stalat=23.91,Dist=  87.37,BAZ=203.59,PGA(V)=   0.40,PGA(NS)=   0.96,PGA(EW)=   1.11,PGV(V)=   0.02,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.27,PGV(SUM)=   0.05
