Origin Time:2019/06/04 17:46:18
Lon:121.61°E
Lat:22.84°N
Depth:14.7km
Mag:5.9
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 142.69,AZ= 98.73,PGA(V)=   1.33,PGA(NS)=   4.45,PGA(EW)=   3.19
Stacode=WDLH,Staname=斗六市,Stalon=120.54,Stalat=23.69,Dist= 144.40,AZ=130.48,PGA(V)=   2.33,PGA(NS)=   9.57,PGA(EW)=   6.16
Stacode=ETL ,Staname=太魯閣,Stalon=121.62,Stalat=24.16,Dist= 145.73,AZ=180.46,PGA(V)=   0.54,PGA(NS)=   2.31,PGA(EW)=   1.73
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=23.00,Dist= 146.08,AZ= 96.65,PGA(V)=   3.19,PGA(NS)=   3.92,PGA(EW)=   8.05
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 146.24,AZ=131.35,PGA(V)=   5.08,PGA(NS)=  15.28,PGA(EW)=  16.10
Stacode=WPL ,Staname=埔里  ,Stalon=120.95,Stalat=24.01,Dist= 146.35,AZ=152.45,PGA(V)=   0.42,PGA(NS)=   1.01,PGA(EW)=   1.00
Stacode=ICHU,Staname=義竹  ,Stalon=120.28,Stalat=23.36,Dist= 148.05,AZ=112.81,PGA(V)=   1.65,PGA(NS)=   4.18,PGA(EW)=   7.55
Stacode=WNT ,Staname=名間  ,Stalon=120.69,Stalat=23.88,Dist= 148.16,AZ=140.64,PGA(V)=   1.48,PGA(NS)=   3.53,PGA(EW)=   3.61
Stacode=WHF ,Staname=合歡山,Stalon=121.27,Stalat=24.14,Dist= 148.20,AZ=166.48,PGA(V)=   0.99,PGA(NS)=   2.46,PGA(EW)=   3.07
Stacode=SCL ,Staname=佳里  ,Stalon=120.20,Stalat=23.17,Dist= 149.10,AZ=104.24,PGA(V)=   1.27,PGA(NS)=   6.84,PGA(EW)=   5.11
Stacode=DPDB,Staname=埔里  ,Stalon=120.93,Stalat=24.03,Dist= 149.34,AZ=152.04,PGA(V)=   1.02,PGA(NS)=   1.55,PGA(EW)=   2.35
Stacode=WNT1,Staname=南投市,Stalon=120.68,Stalat=23.91,Dist= 151.56,AZ=141.06,PGA(V)=   1.66,PGA(NS)=   4.52,PGA(EW)=   3.22
Stacode=ETLH,Staname=西寶  ,Stalon=121.48,Stalat=24.21,Dist= 151.69,AZ=174.99,PGA(V)=   2.10,PGA(NS)=   3.23,PGA(EW)=   3.44
Stacode=WCS ,Staname=國姓  ,Stalon=120.91,Stalat=24.06,Dist= 152.31,AZ=151.99,PGA(V)=   0.78,PGA(NS)=   2.85,PGA(EW)=   2.15
Stacode=CHN8,Staname=義竹  ,Stalon=120.22,Stalat=23.35,Dist= 152.88,AZ=111.46,PGA(V)=   1.05,PGA(NS)=   4.96,PGA(EW)=   6.19
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 156.27,AZ=126.80,PGA(V)=   1.58,PGA(NS)=   7.09,PGA(EW)=   6.06
Stacode=SCK ,Staname=七股  ,Stalon=120.09,Stalat=23.15,Dist= 159.94,AZ=102.17,PGA(V)=   1.79,PGA(NS)=   5.86,PGA(EW)=   5.76
Stacode=FUSS,Staname=梨山  ,Stalon=121.24,Stalat=24.25,Dist= 160.10,AZ=166.43,PGA(V)=   2.46,PGA(NS)=   4.54,PGA(EW)=   6.95
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 160.45,AZ=118.00,PGA(V)=   1.44,PGA(NS)=  10.15,PGA(EW)=   7.99
Stacode=WWF ,Staname=霧峰  ,Stalon=120.70,Stalat=24.04,Dist= 162.42,AZ=144.93,PGA(V)=   1.20,PGA(NS)=   2.37,PGA(EW)=   2.97
Stacode=TWT ,Staname=德基  ,Stalon=121.16,Stalat=24.25,Dist= 162.46,AZ=163.59,PGA(V)=   0.79,PGA(NS)=   1.96,PGA(EW)=   1.22
