Origin Time:2023/02/08 18:49:59
Lon:121.55°E
Lat:23.44°N
Depth:36.7km
Mag:5.6
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 110.16,BAZ= 95.04,PGA(V)=   3.50,PGA(NS)=  10.52,PGA(EW)=   8.97,PGV(V)=   0.16,PGV(NS)=   0.55,PGV(EW)=   0.45,Int= 3級,PGA(SUM)=  11.80,PGV(SUM)=   0.58
Stacode=ENA ,Staname=南澳  ,Stalon=121.75,Stalat=24.43,Dist= 110.59,BAZ=190.62,PGA(V)=   2.48,PGA(NS)=   4.07,PGA(EW)=   4.84,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.12,Int= 2級,PGA(SUM)=   3.57,PGV(SUM)=   0.13
Stacode=WHP ,Staname=烏石坑,Stalon=120.95,Stalat=24.28,Dist= 110.85,BAZ=146.35,PGA(V)=   1.24,PGA(NS)=   2.27,PGA(EW)=   2.50,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.41,PGV(SUM)=   0.15
Stacode=NNS ,Staname=南山  ,Stalon=121.38,Stalat=24.44,Dist= 111.28,BAZ=171.19,PGA(V)=   1.38,PGA(NS)=   4.91,PGA(EW)=   3.87,PGV(V)=   0.05,PGV(NS)=   0.14,PGV(EW)=   0.23,Int= 2級,PGA(SUM)=   5.17,PGV(SUM)=   0.23
Stacode=ECL ,Staname=太麻里,Stalon=120.96,Stalat=22.60,Dist= 111.61,BAZ= 32.63,PGA(V)=   0.87,PGA(NS)=   1.38,PGA(EW)=   1.89,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   2.20,PGV(SUM)=   0.06
Stacode=EWT ,Staname=武塔  ,Stalon=121.78,Stalat=24.45,Dist= 113.24,BAZ=191.90,PGA(V)=   2.24,PGA(NS)=   4.46,PGA(EW)=   3.28,PGV(V)=   0.11,PGV(NS)=   0.20,PGV(EW)=   0.16,Int= 2級,PGA(SUM)=   4.51,PGV(SUM)=   0.21
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist= 114.14,BAZ=120.05,PGA(V)=   5.64,PGA(NS)=   6.73,PGA(EW)=   7.68,PGV(V)=   0.20,PGV(NS)=   0.36,PGV(EW)=   0.25,Int= 3級,PGA(SUM)=   9.31,PGV(SUM)=   0.36
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 114.18,BAZ= 92.88,PGA(V)=   1.31,PGA(NS)=   5.94,PGA(EW)=   4.59,PGV(V)=   0.06,PGV(NS)=   0.29,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   5.91,PGV(SUM)=   0.31
Stacode=TCU ,Staname=臺中市,Stalon=120.68,Stalat=24.15,Dist= 117.45,BAZ=131.39,PGA(V)=   1.26,PGA(NS)=   5.31,PGA(EW)=   3.09,PGV(V)=   0.05,PGV(NS)=   0.21,PGV(EW)=   0.15,Int= 2級,PGA(SUM)=   5.54,PGV(SUM)=   0.23
Stacode=SSD ,Staname=三地門,Stalon=120.64,Stalat=22.74,Dist= 121.16,BAZ= 50.21,PGA(V)=   1.15,PGA(NS)=   1.41,PGA(EW)=   1.73,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.78,PGV(SUM)=   0.09
