Origin Time:2022/09/17 22:35:14
Lon:121.18¢XE
Lat:23.10¢XN
Depth:9.9km
Mag:5.4
Stacode=EGC ,Staname=ÁF±T  ,Stalon=121.55,Stalat=23.71,Dist=  77.21,AZ= 29.25,PGA(V)=   0.58,PGA(NS)=   1.21,PGA(EW)=   1.06,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.29,PGV(SUM)=   0.07
Stacode=SGL ,Staname=¤E¦p  ,Stalon=120.50,Stalat=22.72,Dist=  81.21,AZ=239.17,PGA(V)=   0.48,PGA(NS)=   2.49,PGA(EW)=   1.95,PGV(V)=   0.06,PGV(NS)=   0.24,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.52,PGV(SUM)=   0.24
Stacode=ESL ,Staname=¦èªL  ,Stalon=121.44,Stalat=23.81,Dist=  83.37,AZ= 18.81,PGA(V)=   0.96,PGA(NS)=   1.71,PGA(EW)=   1.40,PGV(V)=   0.03,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.05
Stacode=SPT ,Staname=«ÌªF¥«,Stalon=120.49,Stalat=22.68,Dist=  84.82,AZ=236.63,PGA(V)=   0.87,PGA(NS)=   1.74,PGA(EW)=   2.18,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   2.39,PGV(SUM)=   0.17
Stacode=SHH ,Staname=·s¤Æ  ,Stalon=120.35,Stalat=23.02,Dist=  85.53,AZ=264.19,PGA(V)=   1.80,PGA(NS)=   4.59,PGA(EW)=   4.20,PGV(V)=   0.20,PGV(NS)=   0.51,PGV(EW)=   0.44,Int= 2¯Å,PGA(SUM)=   5.77,PGV(SUM)=   0.52
Stacode=SHUL,Staname=¤ôæ£  ,Stalon=121.56,Stalat=23.79,Dist=  85.72,AZ= 27.27,PGA(V)=   0.41,PGA(NS)=   0.65,PGA(EW)=   0.73,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   0.85,PGV(SUM)=   0.07
Stacode=EAS ,Staname=¹F¤¯  ,Stalon=120.86,Stalat=22.38,Dist=  86.06,AZ=202.59,PGA(V)=   0.46,PGA(NS)=   0.93,PGA(EW)=   0.95,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   1.12,PGV(SUM)=   0.07
Stacode=CHN2,Staname=¥Á¶¯  ,Stalon=120.47,Stalat=23.53,Dist=  86.46,AZ=303.63,PGA(V)=   1.59,PGA(NS)=   2.02,PGA(EW)=   2.11,PGV(V)=   0.10,PGV(NS)=   0.21,PGV(EW)=   0.24,Int= 1¯Å,PGA(SUM)=   2.23,PGV(SUM)=   0.26
Stacode=CHY ,Staname=¹Å¸q¥«,Stalon=120.43,Stalat=23.50,Dist=  88.04,AZ=299.94,PGA(V)=   0.91,PGA(NS)=   4.09,PGA(EW)=   3.79,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.43,Int= 2¯Å,PGA(SUM)=   4.58,PGV(SUM)=   0.44
Stacode=TAWH,Staname=¤jªZ  ,Stalon=120.89,Stalat=22.34,Dist=  89.27,AZ=199.53,PGA(V)=   0.49,PGA(NS)=   0.95,PGA(EW)=   0.88,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.97,PGV(SUM)=   0.06
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist=  90.87,AZ=342.33,PGA(V)=   0.64,PGA(NS)=   1.47,PGA(EW)=   2.01,PGV(V)=   0.04,PGV(NS)=   0.14,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   2.18,PGV(SUM)=   0.18
Stacode=SSH ,Staname=µ½¤Æ  ,Stalon=120.29,Stalat=23.14,Dist=  91.27,AZ=272.54,PGA(V)=   0.79,PGA(NS)=   2.98,PGA(EW)=   2.83,PGV(V)=   0.11,PGV(NS)=   0.36,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.21,PGV(SUM)=   0.36
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist=  92.29,AZ=330.09,PGA(V)=   0.83,PGA(NS)=   1.70,PGA(EW)=   1.12,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.88,PGV(SUM)=   0.17
Stacode=SSP ,Staname=·s°ñ  ,Stalon=120.57,Stalat=22.48,Dist=  92.62,AZ=222.56,PGA(V)=   0.76,PGA(NS)=   2.77,PGA(EW)=   1.56,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   2.90,PGV(SUM)=   0.24
Stacode=WDL ,Staname=¤æ¤»¥«,Stalon=120.54,Stalat=23.71,Dist=  94.43,AZ=316.19,PGA(V)=   1.02,PGA(NS)=   2.64,PGA(EW)=   2.40,PGV(V)=   0.08,PGV(NS)=   0.19,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.00,PGV(SUM)=   0.23
Stacode=SNJ ,Staname=·£±ê  ,Stalon=120.34,Stalat=22.75,Dist=  94.59,AZ=246.09,PGA(V)=   1.35,PGA(NS)=   3.32,PGA(EW)=   4.11,PGV(V)=   0.10,PGV(NS)=   0.36,PGV(EW)=   0.40,Int= 2¯Å,PGA(SUM)=   4.36,PGV(SUM)=   0.44
Stacode=TAI1,Staname=¥Ã±d  ,Stalon=120.24,Stalat=23.04,Dist=  96.75,AZ=265.96,PGA(V)=   0.97,PGA(NS)=   4.66,PGA(EW)=   3.02,PGV(V)=   0.08,PGV(NS)=   0.50,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   4.84,PGV(SUM)=   0.55
Stacode=SCZ ,Staname=¬K¤é  ,Stalon=120.63,Stalat=22.37,Dist=  98.55,AZ=214.98,PGA(V)=   0.59,PGA(NS)=   0.65,PGA(EW)=   0.66,PGV(V)=   0.07,PGV(NS)=   0.04,PGV(EW)=   0.06,Int= 1¯Å,PGA(SUM)=   0.90,PGV(SUM)=   0.08
Stacode=EYL ,Staname=ÆQ¼d  ,Stalon=121.60,Stalat=23.90,Dist=  99.02,AZ= 25.91,PGA(V)=   0.70,PGA(NS)=   1.16,PGA(EW)=   1.43,PGV(V)=   0.03,PGV(NS)=   0.06,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.08
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist=  99.35,AZ=330.04,PGA(V)=   1.04,PGA(NS)=   7.16,PGA(EW)=   2.57,PGV(V)=   0.04,PGV(NS)=   0.44,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   7.05,PGV(SUM)=   0.45
Stacode=SCL ,Staname=¨Î¨½  ,Stalon=120.20,Stalat=23.17,Dist= 100.35,AZ=274.68,PGA(V)=   0.96,PGA(NS)=   2.47,PGA(EW)=   3.83,PGV(V)=   0.06,PGV(NS)=   0.18,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   3.97,PGV(SUM)=   0.28
Stacode=ETM ,Staname=»Éªù  ,Stalon=121.49,Stalat=23.97,Dist= 101.14,AZ= 18.51,PGA(V)=   1.03,PGA(NS)=   1.42,PGA(EW)=   1.22,PGV(V)=   0.03,PGV(NS)=   0.05,PGV(EW)=   0.05,Int= 1¯Å,PGA(SUM)=   1.52,PGV(SUM)=   0.06
Stacode=TAI ,Staname=»O«n¥«,Stalon=120.20,Stalat=23.00,Dist= 101.22,AZ=263.45,PGA(V)=   2.19,PGA(NS)=   4.22,PGA(EW)=   3.39,PGV(V)=   0.13,PGV(NS)=   0.33,PGV(EW)=   0.31,Int= 2¯Å,PGA(SUM)=   4.19,PGV(SUM)=   0.37
Stacode=CHN8,Staname=¸q¦Ë  ,Stalon=120.22,Stalat=23.35,Dist= 101.58,AZ=285.68,PGA(V)=   0.76,PGA(NS)=   3.02,PGA(EW)=   3.11,PGV(V)=   0.06,PGV(NS)=   0.23,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   4.03,PGV(SUM)=   0.35
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 102.89,AZ=330.34,PGA(V)=   2.30,PGA(NS)=   4.85,PGA(EW)=   2.65,PGV(V)=   0.11,PGV(NS)=   0.34,PGV(EW)=   0.26,Int= 2¯Å,PGA(SUM)=   5.30,PGV(SUM)=   0.42
Stacode=WTK ,Staname=¤g®w  ,Stalon=120.39,Stalat=23.69,Dist= 103.72,AZ=308.90,PGA(V)=   1.49,PGA(NS)=   3.14,PGA(EW)=   2.06,PGV(V)=   0.05,PGV(NS)=   0.24,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.65,PGV(SUM)=   0.29
Stacode=KAU1,Staname=°ª¶¯¥«,Stalon=120.31,Stalat=22.59,Dist= 105.51,AZ=237.93,PGA(V)=   0.54,PGA(NS)=   1.25,PGA(EW)=   0.99,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 1¯Å,PGA(SUM)=   1.33,PGV(SUM)=   0.16
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist= 106.66,AZ= 24.62,PGA(V)=   0.57,PGA(NS)=   1.13,PGA(EW)=   1.52,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.46,PGV(SUM)=   0.08
Stacode=WSS ,Staname=¹Ø¤s  ,Stalon=120.26,Stalat=22.64,Dist= 106.83,AZ=241.68,PGA(V)=   0.63,PGA(NS)=   0.85,PGA(EW)=   1.41,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.44,PGV(SUM)=   0.15
Stacode=WSL ,Staname=¤ôªL  ,Stalon=120.23,Stalat=23.52,Dist= 107.92,AZ=295.73,PGA(V)=   0.80,PGA(NS)=   4.56,PGA(EW)=   3.66,PGV(V)=   0.04,PGV(NS)=   0.24,PGV(EW)=   0.25,Int= 2¯Å,PGA(SUM)=   4.72,PGV(SUM)=   0.25
Stacode=SCK ,Staname=¤CªÑ  ,Stalon=120.09,Stalat=23.15,Dist= 111.94,AZ=272.68,PGA(V)=   0.74,PGA(NS)=   7.26,PGA(EW)=   3.57,PGV(V)=   0.04,PGV(NS)=   0.61,PGV(EW)=   0.46,Int= 2¯Å,PGA(SUM)=   7.31,PGV(SUM)=   0.76
Stacode=WYL ,Staname=­ûªL  ,Stalon=120.58,Stalat=23.96,Dist= 113.23,AZ=327.35,PGA(V)=   1.59,PGA(NS)=   3.61,PGA(EW)=   2.57,PGV(V)=   0.11,PGV(NS)=   0.36,PGV(EW)=   0.30,Int= 2¯Å,PGA(SUM)=   4.14,PGV(SUM)=   0.46
Stacode=WSF ,Staname=¥|´ò  ,Stalon=120.23,Stalat=23.64,Dist= 113.75,AZ=301.52,PGA(V)=   1.12,PGA(NS)=   2.67,PGA(EW)=   2.36,PGV(V)=   0.05,PGV(NS)=   0.22,PGV(EW)=   0.19,Int= 2¯Å,PGA(SUM)=   3.24,PGV(SUM)=   0.23
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 115.38,AZ=334.87,PGA(V)=   0.53,PGA(NS)=   1.09,PGA(EW)=   1.63,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.16,Int= 1¯Å,PGA(SUM)=   1.66,PGV(SUM)=   0.16
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist= 116.01,AZ=  4.75,PGA(V)=   0.58,PGA(NS)=   1.25,PGA(EW)=   1.63,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.10
Stacode=WLC ,Staname=¤p¯[²y,Stalon=120.37,Stalat=22.35,Dist= 117.71,AZ=224.92,PGA(V)=   0.29,PGA(NS)=   0.91,PGA(EW)=   0.75,PGV(V)=   0.06,PGV(NS)=   0.09,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.00,PGV(SUM)=   0.11
Stacode=WRL ,Staname=¤GªL  ,Stalon=120.38,Stalat=23.90,Dist= 120.79,AZ=317.42,PGA(V)=   0.67,PGA(NS)=   1.65,PGA(EW)=   1.09,PGV(V)=   0.05,PGV(NS)=   0.15,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.73,PGV(SUM)=   0.16
Stacode=LAY ,Staname=ÄõÀ¬  ,Stalon=121.56,Stalat=22.04,Dist= 123.93,AZ=161.63,PGA(V)=   0.33,PGA(NS)=   1.17,PGA(EW)=   1.03,PGV(V)=   0.01,PGV(NS)=   0.04,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.04,PGV(SUM)=   0.05
Stacode=WTC ,Staname=¤j«°  ,Stalon=120.29,Stalat=23.86,Dist= 123.99,AZ=312.91,PGA(V)=   0.35,PGA(NS)=   1.24,PGA(EW)=   1.32,PGV(V)=   0.03,PGV(NS)=   0.11,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   1.31,PGV(SUM)=   0.14
