Origin Time:2021/09/06 22:00:26
Lon:122.08¢XE
Lat:23.85¢XN
Depth:41.1km
Mag:5.9
Stacode=NWL ,Staname=¯Q¨Ó  ,Stalon=121.50,Stalat=24.78,Dist= 118.07,AZ=150.43,PGA(V)=   0.96,PGA(NS)=   1.64,PGA(EW)=   1.39,PGV(V)=   0.02,PGV(NS)=   0.06,PGV(EW)=   0.04,Int= 1¯Å,PGA(SUM)=   1.63,PGV(SUM)=   0.06
Stacode=SML ,Staname=¤é¤ë¼æ,Stalon=120.91,Stalat=23.88,Dist= 119.02,AZ= 91.67,PGA(V)=   2.43,PGA(NS)=   2.86,PGA(EW)=   7.72,PGV(V)=   0.14,PGV(NS)=   0.24,PGV(EW)=   0.69,Int= 2¯Å,PGA(SUM)=   7.82,PGV(SUM)=   0.69
Stacode=WCS ,Staname=°ê©m  ,Stalon=120.91,Stalat=24.06,Dist= 120.75,AZ=100.92,PGA(V)=   3.79,PGA(NS)=   4.13,PGA(EW)=   3.48,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.16,Int= 2¯Å,PGA(SUM)=   3.98,PGV(SUM)=   0.16
Stacode=YUS ,Staname=¥É¤s  ,Stalon=120.96,Stalat=23.49,Dist= 120.84,AZ= 70.59,PGA(V)=   3.27,PGA(NS)=   7.72,PGA(EW)=  11.12,PGV(V)=   0.15,PGV(NS)=   0.43,PGV(EW)=   0.67,Int= 3¯Å,PGA(SUM)=  12.69,PGV(SUM)=   0.69
Stacode=ECS ,Staname=¦À¤W  ,Stalon=121.22,Stalat=23.10,Dist= 121.06,AZ= 46.34,PGA(V)=   3.51,PGA(NS)=   6.03,PGA(EW)=   7.94,PGV(V)=   0.22,PGV(NS)=   0.40,PGV(EW)=   0.50,Int= 2¯Å,PGA(SUM)=   7.64,PGV(SUM)=   0.50
Stacode=TYC ,Staname=³½¦À  ,Stalon=120.87,Stalat=23.91,Dist= 123.05,AZ= 92.85,PGA(V)=   0.65,PGA(NS)=   0.91,PGA(EW)=   0.76,PGV(V)=   0.08,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1¯Å,PGA(SUM)=   1.07,PGV(SUM)=   0.08
Stacode=WHP ,Staname=¯Q¥Û§|,Stalon=120.95,Stalat=24.28,Dist= 124.36,AZ=112.39,PGA(V)=   2.01,PGA(NS)=   2.13,PGA(EW)=   2.31,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   2.51,PGV(SUM)=   0.23
Stacode=EDH ,Staname=ªFªe  ,Stalon=121.30,Stalat=22.97,Dist= 125.21,AZ= 39.09,PGA(V)=   5.47,PGA(NS)=  17.23,PGA(EW)=  13.41,PGV(V)=   0.17,PGV(NS)=   0.53,PGV(EW)=   0.54,Int= 3¯Å,PGA(SUM)=  14.84,PGV(SUM)=   0.64
Stacode=WHY ,Staname=«H¸q¶m,Stalon=120.85,Stalat=23.70,Dist= 125.83,AZ= 82.22,PGA(V)=   1.14,PGA(NS)=   3.24,PGA(EW)=   2.23,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.12,Int= 2¯Å,PGA(SUM)=   3.36,PGV(SUM)=   0.15
Stacode=ELD ,Staname=§Q½_  ,Stalon=121.03,Stalat=23.19,Dist= 130.07,AZ= 55.64,PGA(V)=   3.10,PGA(NS)=   3.72,PGA(EW)=   3.36,PGV(V)=   0.10,PGV(NS)=   0.15,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   4.60,PGV(SUM)=   0.17
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist= 130.31,AZ=131.65,PGA(V)=   1.09,PGA(NS)=   1.98,PGA(EW)=   1.68,PGV(V)=   0.07,PGV(NS)=   0.19,PGV(EW)=   0.14,Int= 1¯Å,PGA(SUM)=   1.93,PGV(SUM)=   0.20
Stacode=TWA ,Staname=¤ì¬]  ,Stalon=121.59,Stalat=24.98,Dist= 134.22,AZ=158.54,PGA(V)=   0.68,PGA(NS)=   0.82,PGA(EW)=   0.94,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1¯Å,PGA(SUM)=   1.02,PGV(SUM)=   0.09
Stacode=ALS ,Staname=ªü¨½¤s,Stalon=120.81,Stalat=23.51,Dist= 134.27,AZ= 73.63,PGA(V)=   2.27,PGA(NS)=   4.35,PGA(EW)=   2.84,PGV(V)=   0.14,PGV(NS)=   0.39,PGV(EW)=   0.21,Int= 2¯Å,PGA(SUM)=   4.46,PGV(SUM)=   0.39
Stacode=NHDH,Staname=·s©±  ,Stalon=121.53,Stalat=24.96,Dist= 135.37,AZ=155.60,PGA(V)=   1.27,PGA(NS)=   2.39,PGA(EW)=   1.49,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.09,Int= 2¯Å,PGA(SUM)=   2.52,PGV(SUM)=   0.12
Stacode=WJS ,Staname=¦Ë¤s  ,Stalon=120.73,Stalat=23.82,Dist= 137.41,AZ= 88.70,PGA(V)=   1.11,PGA(NS)=   2.23,PGA(EW)=   2.47,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   2.70,PGV(SUM)=   0.16
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist= 137.43,AZ=138.31,PGA(V)=   2.31,PGA(NS)=   3.85,PGA(EW)=   3.57,PGV(V)=   0.12,PGV(NS)=   0.25,PGV(EW)=   0.41,Int= 2¯Å,PGA(SUM)=   4.75,PGV(SUM)=   0.43
Stacode=NST ,Staname=«nÉÜ  ,Stalon=121.01,Stalat=24.63,Dist= 138.62,AZ=128.53,PGA(V)=   0.91,PGA(NS)=   1.83,PGA(EW)=   1.98,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.17,Int= 1¯Å,PGA(SUM)=   2.03,PGV(SUM)=   0.19
Stacode=LIOB,Staname=®o¬Ü  ,Stalon=121.02,Stalat=24.65,Dist= 139.22,AZ=129.34,PGA(V)=   1.21,PGA(NS)=   2.16,PGA(EW)=   1.47,PGV(V)=   0.09,PGV(NS)=   0.21,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.34,PGV(SUM)=   0.24
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist= 140.33,AZ=134.36,PGA(V)=   3.04,PGA(NS)=   5.84,PGA(EW)=   4.33,PGV(V)=   0.14,PGV(NS)=   0.30,PGV(EW)=   0.23,Int= 2¯Å,PGA(SUM)=   5.93,PGV(SUM)=   0.34
Stacode=WNT ,Staname=¦W¶¡  ,Stalon=120.69,Stalat=23.88,Dist= 140.99,AZ= 91.20,PGA(V)=   2.23,PGA(NS)=   3.89,PGA(EW)=   3.00,PGV(V)=   0.08,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 2¯Å,PGA(SUM)=   3.10,PGV(SUM)=   0.14
Stacode=NHY ,Staname=«H¸q°Ï,Stalon=121.57,Stalat=25.04,Dist= 141.41,AZ=158.68,PGA(V)=   1.67,PGA(NS)=   1.40,PGA(EW)=   2.67,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.28,Int= 2¯Å,PGA(SUM)=   2.87,PGV(SUM)=   0.28
Stacode=WWF ,Staname=Ãú®p  ,Stalon=120.70,Stalat=24.04,Dist= 141.89,AZ= 98.65,PGA(V)=   4.59,PGA(NS)=   3.63,PGA(EW)=   5.61,PGV(V)=   0.16,PGV(NS)=   0.17,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   5.42,PGV(SUM)=   0.36
Stacode=WNT1,Staname=«n§ë¥«,Stalon=120.68,Stalat=23.91,Dist= 142.37,AZ= 92.53,PGA(V)=   4.54,PGA(NS)=   3.84,PGA(EW)=   2.66,PGV(V)=   0.15,PGV(NS)=   0.17,PGV(EW)=   0.14,Int= 2¯Å,PGA(SUM)=   5.11,PGV(SUM)=   0.20
Stacode=LONT,Staname=³À³¥  ,Stalon=121.13,Stalat=22.91,Dist= 142.42,AZ= 42.80,PGA(V)=   1.73,PGA(NS)=   1.93,PGA(EW)=   1.98,PGV(V)=   0.09,PGV(NS)=   0.15,PGV(EW)=   0.11,Int= 1¯Å,PGA(SUM)=   2.06,PGV(SUM)=   0.18
Stacode=BAC ,Staname=·s¥_¥«,Stalon=121.44,Stalat=25.00,Dist= 142.47,AZ=153.14,PGA(V)=   1.38,PGA(NS)=   1.68,PGA(EW)=   1.99,PGV(V)=   0.09,PGV(NS)=   0.13,PGV(EW)=   0.15,Int= 1¯Å,PGA(SUM)=   1.87,PGV(SUM)=   0.16
Stacode=TAP ,Staname=»O¥_¥«,Stalon=121.51,Stalat=25.04,Dist= 143.39,AZ=156.55,PGA(V)=   0.75,PGA(NS)=   0.94,PGA(EW)=   0.88,PGV(V)=   0.06,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1¯Å,PGA(SUM)=   1.08,PGV(SUM)=   0.13
Stacode=TWQ1,Staname=ÃU³½¼æ,Stalon=120.77,Stalat=24.35,Dist= 143.45,AZ=112.54,PGA(V)=   1.32,PGA(NS)=   1.49,PGA(EW)=   1.50,PGV(V)=   0.08,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1¯Å,PGA(SUM)=   1.89,PGV(SUM)=   0.15
