Origin Time:2022/09/14 09:35:51
Lon:121.37°E
Lat:22.49°N
Depth:19.2km
Mag:5.3
Stacode=CHN1,Staname=楠西  ,Stalon=120.53,Stalat=23.19,Dist= 115.34,AZ=311.60,PGA(V)=   0.94,PGA(NS)=   2.23,PGA(EW)=   1.88,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 2級,PGA(SUM)=   2.99,PGV(SUM)=   0.14
Stacode=YUS ,Staname=玉山  ,Stalon=120.96,Stalat=23.49,Dist= 117.80,AZ=339.10,PGA(V)=   0.83,PGA(NS)=   2.08,PGA(EW)=   1.68,PGV(V)=   0.03,PGV(NS)=   0.09,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   2.11,PGV(SUM)=   0.12
Stacode=SHH ,Staname=新化  ,Stalon=120.35,Stalat=23.02,Dist= 120.04,AZ=299.14,PGA(V)=   1.87,PGA(NS)=   3.16,PGA(EW)=   2.93,PGV(V)=   0.08,PGV(NS)=   0.21,PGV(EW)=   0.22,Int= 2級,PGA(SUM)=   3.45,PGV(SUM)=   0.22
Stacode=TWL ,Staname=東山  ,Stalon=120.50,Stalat=23.26,Dist= 123.47,AZ=313.77,PGA(V)=   0.73,PGA(NS)=   1.10,PGA(EW)=   1.43,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.56,PGV(SUM)=   0.11
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 125.99,AZ=333.13,PGA(V)=   0.88,PGA(NS)=   2.24,PGA(EW)=   1.67,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   2.32,PGV(SUM)=   0.14
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 130.74,AZ=323.17,PGA(V)=   1.55,PGA(NS)=   3.86,PGA(EW)=   3.86,PGV(V)=   0.07,PGV(NS)=   0.24,PGV(EW)=   0.24,Int= 2級,PGA(SUM)=   4.53,PGV(SUM)=   0.25
Stacode=TAI1,Staname=永康  ,Stalon=120.24,Stalat=23.04,Dist= 130.99,AZ=297.40,PGA(V)=   0.59,PGA(NS)=   0.93,PGA(EW)=   0.97,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.06,PGV(SUM)=   0.08
Stacode=SSH ,Staname=善化  ,Stalon=120.29,Stalat=23.14,Dist= 131.81,AZ=302.67,PGA(V)=   0.65,PGA(NS)=   1.94,PGA(EW)=   2.01,PGV(V)=   0.04,PGV(NS)=   0.11,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.27,PGV(SUM)=   0.14
Stacode=TAI ,Staname=臺南市,Stalon=120.20,Stalat=23.00,Dist= 132.56,AZ=294.78,PGA(V)=   0.85,PGA(NS)=   1.33,PGA(EW)=   1.44,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.36,PGV(SUM)=   0.11
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 135.71,AZ=  7.74,PGA(V)=   0.43,PGA(NS)=   1.17,PGA(EW)=   0.87,PGV(V)=   0.02,PGV(NS)=   0.04,PGV(EW)=   0.05,Int= 1級,PGA(SUM)=   1.10,PGV(SUM)=   0.05
