Origin Time:2023/09/12 19:03:17
Lon:121.08°E
Lat:19.30°N
Depth:59.9km
Mag:6.8
Stacode=EYUL,Staname=玉里  ,Stalon=121.32,Stalat=23.35,Dist= 448.84,BAZ=183.17,PGA(V)=   0.33,PGA(NS)=   1.00,PGA(EW)=   0.53,PGV(V)=   0.06,PGV(NS)=   0.14,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   0.98,PGV(SUM)=   0.15
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist= 460.92,BAZ=173.86,PGA(V)=   0.75,PGA(NS)=   1.17,PGA(EW)=   1.55,PGV(V)=   0.04,PGV(NS)=   0.08,PGV(EW)=   0.11,Int= 1級,PGA(SUM)=   1.57,PGV(SUM)=   0.11
Stacode=ALS ,Staname=阿里山,Stalon=120.81,Stalat=23.51,Dist= 466.82,BAZ=176.61,PGA(V)=   0.45,PGA(NS)=   0.94,PGA(EW)=   1.13,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.31,PGV(SUM)=   0.15
Stacode=CHY1,Staname=太保市,Stalon=120.29,Stalat=23.46,Dist= 467.47,BAZ=169.96,PGA(V)=   1.11,PGA(NS)=   1.55,PGA(EW)=   1.44,PGV(V)=   0.10,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.67,PGV(SUM)=   0.15
Stacode=CHY ,Staname=嘉義市,Stalon=120.43,Stalat=23.50,Dist= 469.49,BAZ=171.78,PGA(V)=   0.92,PGA(NS)=   2.01,PGA(EW)=   1.91,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   2.36,PGV(SUM)=   0.15
Stacode=CHN2,Staname=民雄  ,Stalon=120.47,Stalat=23.53,Dist= 472.79,BAZ=172.37,PGA(V)=   1.29,PGA(NS)=   2.47,PGA(EW)=   1.53,PGV(V)=   0.07,PGV(NS)=   0.12,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   2.12,PGV(SUM)=   0.14
Stacode=WSL ,Staname=水林  ,Stalon=120.23,Stalat=23.52,Dist= 475.85,BAZ=169.30,PGA(V)=   0.83,PGA(NS)=   1.48,PGA(EW)=   1.64,PGV(V)=   0.07,PGV(NS)=   0.14,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.77,PGV(SUM)=   0.14
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist= 477.67,BAZ=174.98,PGA(V)=   0.50,PGA(NS)=   1.22,PGA(EW)=   1.78,PGV(V)=   0.04,PGV(NS)=   0.13,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.84,PGV(SUM)=   0.13
Stacode=EGFH,Staname=光復  ,Stalon=121.43,Stalat=23.67,Dist= 485.12,BAZ=184.26,PGA(V)=   0.66,PGA(NS)=   0.81,PGA(EW)=   0.73,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.92,PGV(SUM)=   0.09
Stacode=WSF ,Staname=四湖  ,Stalon=120.23,Stalat=23.64,Dist= 488.18,BAZ=169.60,PGA(V)=   1.61,PGA(NS)=   4.11,PGA(EW)=   3.36,PGV(V)=   0.05,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 2級,PGA(SUM)=   3.92,PGV(SUM)=   0.16
Stacode=WGK ,Staname=古坑  ,Stalon=120.57,Stalat=23.68,Dist= 488.36,BAZ=173.79,PGA(V)=   0.80,PGA(NS)=   1.69,PGA(EW)=   1.79,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.34,PGV(SUM)=   0.19
Stacode=EGC ,Staname=磯崎  ,Stalon=121.55,Stalat=23.71,Dist= 490.49,BAZ=185.67,PGA(V)=   0.36,PGA(NS)=   1.01,PGA(EW)=   0.93,PGV(V)=   0.04,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.01,PGV(SUM)=   0.09
Stacode=WTK ,Staname=土庫  ,Stalon=120.39,Stalat=23.69,Dist= 491.10,BAZ=171.61,PGA(V)=   2.01,PGA(NS)=   3.28,PGA(EW)=   4.46,PGV(V)=   0.11,PGV(NS)=   0.16,PGV(EW)=   0.18,Int= 2級,PGA(SUM)=   4.19,PGV(SUM)=   0.18
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 492.08,BAZ=173.45,PGA(V)=   1.16,PGA(NS)=   1.68,PGA(EW)=   1.69,PGV(V)=   0.10,PGV(NS)=   0.19,PGV(EW)=   0.15,Int= 1級,PGA(SUM)=   1.66,PGV(SUM)=   0.20
Stacode=PNG ,Staname=馬公市,Stalon=119.56,Stalat=23.57,Dist= 497.77,BAZ=161.60,PGA(V)=   1.00,PGA(NS)=   2.00,PGA(EW)=   2.13,PGV(V)=   0.04,PGV(NS)=   0.05,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.64,PGV(SUM)=   0.08
Stacode=SHUL,Staname=水璉  ,Stalon=121.56,Stalat=23.79,Dist= 499.42,BAZ=185.74,PGA(V)=   0.34,PGA(NS)=   0.68,PGA(EW)=   0.72,PGV(V)=   0.04,PGV(NS)=   0.06,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.82,PGV(SUM)=   0.09
Stacode=WML ,Staname=麥寮  ,Stalon=120.22,Stalat=23.80,Dist= 506.62,BAZ=169.91,PGA(V)=   1.93,PGA(NS)=   2.21,PGA(EW)=   2.27,PGV(V)=   0.05,PGV(NS)=   0.09,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.98,PGV(SUM)=   0.11
Stacode=SML ,Staname=日月潭,Stalon=120.91,Stalat=23.88,Dist= 507.62,BAZ=177.99,PGA(V)=   0.26,PGA(NS)=   0.82,PGA(EW)=   0.67,PGV(V)=   0.05,PGV(NS)=   0.11,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.11
