Origin Time:2024/04/23 05:14:47
Lon:121.52°E
Lat:23.75°N
Depth:5.7km
Mag:5.1
Stacode=CHN5,Staname=草嶺  ,Stalon=120.68,Stalat=23.60,Dist=  87.91,BAZ= 78.89,PGA(V)=   0.33,PGA(NS)=   0.83,PGA(EW)=   0.89,PGV(V)=   0.03,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   0.93,PGV(SUM)=   0.08
Stacode=EDH ,Staname=東河  ,Stalon=121.30,Stalat=22.97,Dist=  88.98,BAZ= 14.55,PGA(V)=   0.68,PGA(NS)=   1.46,PGA(EW)=   1.67,PGV(V)=   0.03,PGV(NS)=   0.08,PGV(EW)=   0.09,Int= 1級,PGA(SUM)=   1.75,PGV(SUM)=   0.09
Stacode=NDT ,Staname=大同  ,Stalon=121.51,Stalat=24.60,Dist=  94.41,BAZ=179.39,PGA(V)=   0.46,PGA(NS)=   0.54,PGA(EW)=   0.79,PGV(V)=   0.05,PGV(NS)=   0.05,PGV(EW)=   0.07,Int= 1級,PGA(SUM)=   0.85,PGV(SUM)=   0.07
Stacode=ENT ,Staname=牛鬥  ,Stalon=121.57,Stalat=24.64,Dist=  98.45,BAZ=183.02,PGA(V)=   0.37,PGA(NS)=   1.19,PGA(EW)=   0.75,PGV(V)=   0.06,PGV(NS)=   0.15,PGV(EW)=   0.06,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.16
Stacode=WYL ,Staname=員林  ,Stalon=120.58,Stalat=23.96,Dist=  98.81,BAZ=103.64,PGA(V)=   0.55,PGA(NS)=   1.04,PGA(EW)=   1.03,PGV(V)=   0.07,PGV(NS)=   0.13,PGV(EW)=   0.14,Int= 1級,PGA(SUM)=   1.07,PGV(SUM)=   0.17
Stacode=WCKO,Staname=番路  ,Stalon=120.60,Stalat=23.44,Dist=  99.83,BAZ= 69.78,PGA(V)=   0.47,PGA(NS)=   1.19,PGA(EW)=   0.91,PGV(V)=   0.04,PGV(NS)=   0.10,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.24,PGV(SUM)=   0.11
Stacode=NDS ,Staname=冬山  ,Stalon=121.72,Stalat=24.63,Dist=  99.86,BAZ=191.39,PGA(V)=   0.73,PGA(NS)=   1.32,PGA(EW)=   1.52,PGV(V)=   0.05,PGV(NS)=   0.12,PGV(EW)=   0.10,Int= 1級,PGA(SUM)=   1.58,PGV(SUM)=   0.12
Stacode=TWQ1,Staname=鯉魚潭,Stalon=120.78,Stalat=24.35,Dist= 100.27,BAZ=131.20,PGA(V)=   0.42,PGA(NS)=   0.85,PGA(EW)=   0.84,PGV(V)=   0.05,PGV(NS)=   0.07,PGV(EW)=   0.08,Int= 1級,PGA(SUM)=   1.21,PGV(SUM)=   0.10
Stacode=WDL ,Staname=斗六市,Stalon=120.54,Stalat=23.71,Dist= 100.41,BAZ= 87.77,PGA(V)=   0.39,PGA(NS)=   0.89,PGA(EW)=   0.82,PGV(V)=   0.05,PGV(NS)=   0.10,PGV(EW)=   0.13,Int= 1級,PGA(SUM)=   1.02,PGV(SUM)=   0.14
Stacode=NSK ,Staname=三光  ,Stalon=121.37,Stalat=24.67,Dist= 103.51,BAZ=171.19,PGA(V)=   0.51,PGA(NS)=   0.76,PGA(EW)=   1.12,PGV(V)=   0.05,PGV(NS)=   0.08,PGV(EW)=   0.12,Int= 1級,PGA(SUM)=   1.29,PGV(SUM)=   0.13
