Origin Time:2025/04/09 09:53:25
Lon:121.81¢XE
Lat:24.60¢XN
Depth:72.4km
Mag:5.8
Stacode=KSHI,Staname=Ãö¦è  ,Stalon=121.18,Stalat=24.78,Dist=  67.12,BAZ=107.22,PGA(V)=   3.05,PGA(NS)=   6.32,PGA(EW)=   5.85,PGV(V)=   0.15,PGV(NS)=   0.27,PGV(EW)=   0.34,Int= 2¯Å,PGA(SUM)=   6.40,PGV(SUM)=   0.35
Stacode=TWS1,Staname=¤­ªÑ  ,Stalon=121.42,Stalat=25.10,Dist=  68.05,BAZ=145.08,PGA(V)=   3.11,PGA(NS)=   6.60,PGA(EW)=   6.38,PGV(V)=   0.16,PGV(NS)=   0.30,PGV(EW)=   0.32,Int= 2¯Å,PGA(SUM)=   5.93,PGV(SUM)=   0.37
Stacode=NTY ,Staname=®ç¶é¥«,Stalon=121.30,Stalat=25.00,Dist=  68.23,BAZ=130.75,PGA(V)=   3.70,PGA(NS)=  10.49,PGA(EW)=  10.49,PGV(V)=   0.17,PGV(NS)=   0.27,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=   9.41,PGV(SUM)=   0.53
Stacode=NWR ,Staname=¸U¨½  ,Stalon=121.66,Stalat=25.20,Dist=  68.61,BAZ=167.39,PGA(V)=   2.44,PGA(NS)=   5.51,PGA(EW)=   4.56,PGV(V)=   0.10,PGV(NS)=   0.22,PGV(EW)=   0.20,Int= 2¯Å,PGA(SUM)=   5.43,PGV(SUM)=   0.23
Stacode=FUSS,Staname=±ù¤s  ,Stalon=121.24,Stalat=24.25,Dist=  69.18,BAZ= 55.91,PGA(V)=   3.61,PGA(NS)=   9.13,PGA(EW)=   7.91,PGV(V)=   0.15,PGV(NS)=   0.48,PGV(EW)=   0.30,Int= 3¯Å,PGA(SUM)=  11.82,PGV(SUM)=   0.54
Stacode=NFF ,Staname=¤­®p  ,Stalon=121.12,Stalat=24.63,Dist=  70.07,BAZ= 93.10,PGA(V)=   2.56,PGA(NS)=   7.68,PGA(EW)=   3.85,PGV(V)=   0.10,PGV(NS)=   0.35,PGV(EW)=   0.22,Int= 2¯Å,PGA(SUM)=   8.00,PGV(SUM)=   0.37
Stacode=ANP ,Staname=¶§©ú¤s,Stalon=121.53,Stalat=25.18,Dist=  70.70,BAZ=156.46,PGA(V)=   1.30,PGA(NS)=   2.95,PGA(EW)=   2.35,PGV(V)=   0.09,PGV(NS)=   0.29,PGV(EW)=   0.15,Int= 2¯Å,PGA(SUM)=   3.07,PGV(SUM)=   0.30
Stacode=HWA ,Staname=ªá½¬¥«,Stalon=121.61,Stalat=23.98,Dist=  71.76,BAZ= 16.04,PGA(V)=   4.42,PGA(NS)=  11.81,PGA(EW)=   9.73,PGV(V)=   0.15,PGV(NS)=   0.54,PGV(EW)=   0.39,Int= 3¯Å,PGA(SUM)=  13.18,PGV(SUM)=   0.59
Stacode=NTS ,Staname=²H¤ô  ,Stalon=121.45,Stalat=25.16,Dist=  72.53,BAZ=149.94,PGA(V)=   3.80,PGA(NS)=   9.01,PGA(EW)=   8.99,PGV(V)=   0.21,PGV(NS)=   0.45,PGV(EW)=   0.67,Int= 3¯Å,PGA(SUM)=   9.98,PGV(SUM)=   0.68
Stacode=WHF ,Staname=¦XÅw¤s,Stalon=121.27,Stalat=24.14,Dist=  74.11,BAZ= 47.24,PGA(V)=   3.93,PGA(NS)=  10.25,PGA(EW)=  15.51,PGV(V)=   0.20,PGV(NS)=   0.37,PGV(EW)=   0.66,Int= 3¯Å,PGA(SUM)=  15.55,PGV(SUM)=   0.69
Stacode=NJD ,Staname=¦ËªF  ,Stalon=121.09,Stalat=24.74,Dist=  74.53,BAZ=101.84,PGA(V)=   5.19,PGA(NS)=  12.19,PGA(EW)=  15.95,PGV(V)=   0.23,PGV(NS)=   0.57,PGV(EW)=   0.52,Int= 3¯Å,PGA(SUM)=  15.47,PGV(SUM)=   0.64
Stacode=NCU ,Staname=¤¤Ãc  ,Stalon=121.19,Stalat=24.97,Dist=  75.03,BAZ=123.05,PGA(V)=   1.66,PGA(NS)=   2.35,PGA(EW)=   5.78,PGV(V)=   0.06,PGV(NS)=   0.13,PGV(EW)=   0.42,Int= 2¯Å,PGA(SUM)=   5.99,PGV(SUM)=   0.44
